GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0031347	0.0183535721946	0.206900297051	BP	e	regulation of defense response	3/32	35/1952	5	3	OG_12769, OG_17827, OG_18398
GO:0060548	0.00654242996919	0.206900297051	BP	e	negative regulation of cell death	5/32	75/1952	5	5	OG_11775, OG_12769, OG_13842, OG_14413, OG_17827
GO:0051346	0.0131768375234	0.206900297051	BP	e	negative regulation of hydrolase activity	3/32	31/1952	5	3	OG_11609, OG_13842, OG_16681
GO:0052547	0.00567467700048	0.206900297051	BP	e	regulation of peptidase activity	3/32	23/1952	7	3	OG_11609, OG_13842, OG_17827
GO:0009888	0.0199788159095	0.206900297051	BP	e	tissue development	4/32	65/1952	3	4	OG_12501, OG_12614, OG_17827, OG_18398
GO:0032956	0.0120345669362	0.206900297051	BP	e	regulation of actin cytoskeleton organization	3/32	30/1952	7	3	OG_12501, OG_16681, OG_17827
GO:0080134	0.00367488672553	0.206900297051	BP	e	regulation of response to stress	6/32	95/1952	4	6	OG_12501, OG_12769, OG_16681, OG_17718, OG_17827, OG_18398
GO:0110053	0.00641351141213	0.206900297051	BP	e	regulation of actin filament organization	3/32	24/1952	8	3	OG_12501, OG_16681, OG_17827
GO:0034641	0.0139035382377	0.206900297051	BP	e	cellular nitrogen compound metabolic process	15/32	518/1952	3	15	OG_10971, OG_11467, OG_11775, OG_12569, OG_12652, OG_13493, OG_13950, OG_14265, OG_14413, OG_15275, OG_16608, OG_17176, OG_17549, OG_17736, OG_17827
GO:0051248	0.00141686916493	0.206900297051	BP	e	negative regulation of protein metabolic process	6/32	79/1952	6	6	OG_11609, OG_12501, OG_13842, OG_17549, OG_17827, OG_18398
GO:0051246	0.0218336996888	0.206900297051	BP	e	regulation of protein metabolic process	8/32	220/1952	5	8	OG_11609, OG_12501, OG_13842, OG_14413, OG_16681, OG_17549, OG_17827, OG_18398
GO:0048519	0.0168721666668	0.206900297051	BP	e	negative regulation of biological process	13/32	432/1952	3	13	OG_11609, OG_11775, OG_12501, OG_12769, OG_12775, OG_13493, OG_13842, OG_14413, OG_16681, OG_17549, OG_17718, OG_17827, OG_18398
GO:0006979	0.0120345669362	0.206900297051	BP	e	response to oxidative stress	3/32	30/1952	3	3	OG_17549, OG_17718, OG_18398
GO:1902903	0.0120345669362	0.206900297051	BP	e	regulation of supramolecular fiber organization	3/32	30/1952	5	3	OG_12501, OG_16681, OG_17827
GO:0010941	0.0161484041091	0.206900297051	BP	e	regulation of cell death	6/32	129/1952	4	6	OG_11775, OG_12769, OG_13842, OG_14413, OG_17718, OG_17827
GO:0043066	0.0179858993315	0.206900297051	BP	e	negative regulation of apoptotic process	4/32	63/1952	7	4	OG_11775, OG_12769, OG_14413, OG_17827
GO:0043069	0.01896588386	0.206900297051	BP	e	negative regulation of programmed cell death	4/32	64/1952	6	4	OG_11775, OG_12769, OG_14413, OG_17827
GO:0032970	0.0156428654888	0.206900297051	BP	e	regulation of actin filament-based process	3/32	33/1952	4	3	OG_12501, OG_16681, OG_17827
GO:0048193	0.0198014464026	0.206900297051	BP	e	Golgi vesicle transport	3/32	36/1952	5	3	OG_12010, OG_12614, OG_16681
GO:0052548	0.00567467700048	0.206900297051	BP	e	regulation of endopeptidase activity	3/32	23/1952	8	3	OG_11609, OG_13842, OG_17827
GO:0048523	0.0216243016141	0.206900297051	BP	e	negative regulation of cellular process	12/32	384/1952	4	12	OG_11609, OG_11775, OG_12501, OG_12769, OG_12775, OG_13493, OG_13842, OG_14413, OG_16681, OG_17549, OG_17827, OG_18398
GO:0048646	0.0257895997968	0.217355437346	BP	e	anatomical structure formation involved in morphogenesis	5/32	105/1952	2	5	OG_12010, OG_12614, OG_13950, OG_17827, OG_18398
GO:0044271	0.0259216844737	0.217355437346	BP	e	cellular nitrogen compound biosynthetic process	10/32	311/1952	4	10	OG_11467, OG_11775, OG_12652, OG_13950, OG_14265, OG_14413, OG_17176, OG_17549, OG_17736, OG_17827
GO:0030155	0.026213721087	0.217355437346	BP	e	regulation of cell adhesion	3/32	40/1952	3	3	OG_12010, OG_17827, OG_18398
GO:0051493	0.0297929549548	0.222246918841	BP	e	regulation of cytoskeleton organization	3/32	42/1952	6	3	OG_12501, OG_16681, OG_17827
GO:0050794	0.0301541045663	0.222246918841	BP	e	regulation of cellular process	21/32	887/1952	3	21	OG_11467, OG_11609, OG_11775, OG_12010, OG_12501, OG_12614, OG_12769, OG_12775, OG_13493, OG_13842, OG_14413, OG_15014, OG_16608, OG_16681, OG_17176, OG_17549, OG_17718, OG_17736, OG_17827, OG_18398, OG_18490
GO:0032269	0.0293019164625	0.222246918841	BP	e	negative regulation of cellular protein metabolic process	4/32	73/1952	7	4	OG_11609, OG_12501, OG_13842, OG_17549
GO:0030162	0.0398225294072	0.265325229521	BP	e	regulation of proteolysis	3/32	47/1952	6	3	OG_11609, OG_13842, OG_17827
GO:0051336	0.047512920111	0.265325229521	BP	e	regulation of hydrolase activity	4/32	85/1952	4	4	OG_11609, OG_13842, OG_16681, OG_17827
GO:0010557	0.0451863806535	0.265325229521	BP	e	positive regulation of macromolecule biosynthetic process	6/32	163/1952	6	6	OG_11467, OG_16681, OG_17176, OG_17549, OG_17736, OG_17827
GO:0051129	0.0420119311696	0.265325229521	BP	e	negative regulation of cellular component organization	3/32	48/1952	5	3	OG_12501, OG_16681, OG_18398
GO:0043086	0.0442617274635	0.265325229521	BP	e	negative regulation of catalytic activity	3/32	49/1952	4	3	OG_11609, OG_13842, OG_16681
GO:0009987	0.0479985339837	0.265325229521	BP	e	cellular process	28/32	1401/1952	1	28	OG_10971, OG_11467, OG_11775, OG_12010, OG_12501, OG_12569, OG_12614, OG_12652, OG_12769, OG_12775, OG_13493, OG_13842, OG_13950, OG_14265, OG_14413, OG_15014, OG_15275, OG_16608, OG_16681, OG_16906, OG_17176, OG_17549, OG_17718, OG_17736, OG_17827, OG_18398, OG_18416, OG_18490
GO:0032268	0.0407232767767	0.265325229521	BP	e	regulation of cellular protein metabolic process	7/32	202/1952	6	7	OG_11609, OG_12501, OG_13842, OG_14413, OG_16681, OG_17549, OG_17827
GO:0043933	0.0475405562477	0.265325229521	BP	e	protein-containing complex subunit organization	6/32	165/1952	3	6	OG_10971, OG_12010, OG_14265, OG_15275, OG_16906, OG_17827
GO:0009059	0.042769090849	0.265325229521	BP	e	macromolecule biosynthetic process	9/32	289/1952	4	9	OG_11467, OG_12652, OG_14265, OG_14413, OG_15275, OG_17176, OG_17549, OG_17736, OG_17827
GO:0048522	0.0499243643377	0.268512121708	BP	e	positive regulation of cellular process	12/32	431/1952	4	12	OG_11467, OG_11775, OG_12010, OG_12769, OG_13493, OG_14413, OG_16681, OG_17176, OG_17549, OG_17718, OG_17736, OG_17827
GO:0090407	0.0538563152244	0.273963048035	BP	e	organophosphate biosynthetic process	3/32	53/1952	5	3	OG_11775, OG_13950, OG_17549
GO:0031328	0.0550679493537	0.273963048035	BP	e	positive regulation of cellular biosynthetic process	6/32	171/1952	6	6	OG_11467, OG_16681, OG_17176, OG_17549, OG_17736, OG_17827
GO:0051172	0.0524808055859	0.273963048035	BP	e	negative regulation of nitrogen compound metabolic process	6/32	169/1952	5	6	OG_11609, OG_12501, OG_13842, OG_17549, OG_17827, OG_18398
GO:0009891	0.0604785053379	0.286788603728	BP	e	positive regulation of biosynthetic process	6/32	175/1952	5	6	OG_11467, OG_16681, OG_17176, OG_17549, OG_17736, OG_17827
GO:0034622	0.0605282480229	0.286788603728	BP	e	cellular protein-containing complex assembly	4/32	92/1952	5	4	OG_14265, OG_15275, OG_16906, OG_17827
GO:0048518	0.0623107266144	0.287599766293	BP	e	positive regulation of biological process	13/32	494/1952	3	13	OG_11467, OG_11775, OG_12010, OG_12769, OG_13493, OG_14413, OG_16681, OG_17176, OG_17549, OG_17718, OG_17736, OG_17827, OG_18490
GO:0065003	0.0635898980749	0.287599766293	BP	e	protein-containing complex assembly	5/32	134/1952	4	5	OG_12010, OG_14265, OG_15275, OG_16906, OG_17827
GO:0044092	0.0818200639654	0.312913692167	BP	e	negative regulation of molecular function	3/32	63/1952	3	3	OG_11609, OG_13842, OG_16681
