GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0051046	0.00679853157356	0.291197327479	BP	e	regulation of secretion	4/30	47/1800	5	4	OG_15200, OG_15587, OG_16176, OG_17746
GO:0051047	0.00668017056057	0.291197327479	BP	e	positive regulation of secretion	3/30	24/1800	6	3	OG_15587, OG_16176, OG_17746
GO:0051050	0.0111132913185	0.291197327479	BP	e	positive regulation of transport	4/30	54/1800	5	4	OG_15200, OG_15587, OG_16176, OG_17746
GO:0030163	0.0290771461425	0.291197327479	BP	e	protein catabolic process	3/30	41/1800	5	3	OG_14110, OG_16836, OG_17746
GO:0001505	0.0149633581183	0.291197327479	BP	e	regulation of neurotransmitter levels	3/30	32/1800	3	3	OG_15587, OG_16176, OG_16599
GO:0009894	0.0280377807353	0.291197327479	BP	e	regulation of catabolic process	4/30	71/1800	4	4	OG_13704, OG_15587, OG_16836, OG_17746
GO:1901575	0.0240321490647	0.291197327479	BP	e	organic substance catabolic process	6/30	139/1800	3	6	OG_12614, OG_14110, OG_15314, OG_16599, OG_16836, OG_17746
GO:0010498	0.01909210896	0.291197327479	BP	e	proteasomal protein catabolic process	3/30	35/1800	7	3	OG_14110, OG_16836, OG_17746
GO:1901565	0.0293454671103	0.291197327479	BP	e	organonitrogen compound catabolic process	4/30	72/1800	4	4	OG_14110, OG_15314, OG_16836, OG_17746
GO:0044248	0.0256114003133	0.291197327479	BP	e	cellular catabolic process	6/30	141/1800	3	6	OG_12614, OG_13704, OG_14110, OG_15314, OG_16599, OG_16836
GO:0010506	0.0149633581183	0.291197327479	BP	e	regulation of autophagy	3/30	32/1800	6	3	OG_13704, OG_15587, OG_16836
GO:0009056	0.0139768363008	0.291197327479	BP	e	catabolic process	7/30	161/1800	2	7	OG_12614, OG_13704, OG_14110, OG_15314, OG_16599, OG_16836, OG_17746
GO:0072657	0.0162761615447	0.291197327479	BP	e	protein localization to membrane	3/30	33/1800	5	3	OG_15200, OG_17742, OG_17777
GO:0009057	0.0364320103447	0.335694952462	BP	e	macromolecule catabolic process	4/30	77/1800	4	4	OG_12614, OG_14110, OG_16836, OG_17746
GO:0071840	0.0447486213047	0.38483814322	BP	p	cellular component organization or biogenesis	4/30	545/1800	1	4	OG_13475, OG_14700, OG_15587, OG_16900
GO:0051603	0.0483587121103	0.389892116389	BP	e	proteolysis involved in cellular protein catabolic process	3/30	50/1800	6	3	OG_14110, OG_16836, OG_17746
GO:0034613	0.0515242314255	0.390977991405	BP	e	cellular protein localization	4/30	86/1800	4	4	OG_15200, OG_15587, OG_17742, OG_17777
GO:0070727	0.0674711138183	0.458093351714	BP	e	cellular macromolecule localization	4/30	94/1800	3	4	OG_15200, OG_15587, OG_17742, OG_17777
GO:0016043	0.066764991389	0.458093351714	BP	p	cellular component organization	4/30	528/1800	2	4	OG_13475, OG_14700, OG_15587, OG_16900
GO:0048878	0.0816839155826	0.501772624293	BP	e	chemical homeostasis	3/30	62/1800	4	3	OG_14090, OG_15200, OG_18781
GO:0031329	0.0785959533865	0.501772624293	BP	e	regulation of cellular catabolic process	3/30	61/1800	5	3	OG_13704, OG_15587, OG_16836
GO:0034641	0.0984877523539	0.56614576047	BP	p	cellular nitrogen compound metabolic process	4/30	492/1800	3	4	OG_13475, OG_13704, OG_14090, OG_18514
GO:0042981	0.100940716983	0.56614576047	BP	e	regulation of apoptotic process	4/30	108/1800	6	4	OG_14110, OG_15200, OG_15587, OG_17746
GO:0008104	0.123609930816	0.603812734574	BP	e	protein localization	6/30	191/1800	3	6	OG_15200, OG_15587, OG_16176, OG_16900, OG_17742, OG_17777
GO:0043067	0.120172794827	0.603812734574	BP	e	regulation of programmed cell death	4/30	115/1800	5	4	OG_14110, OG_15200, OG_15587, OG_17746
GO:0016192	0.120172794827	0.603812734574	BP	e	vesicle-mediated transport	4/30	115/1800	4	4	OG_12614, OG_15587, OG_16176, OG_17742
GO:0071310	0.126379409562	0.603812734574	BP	e	cellular response to organic substance	3/30	75/1800	4	3	OG_12614, OG_15587, OG_17746
GO:0033036	0.131180509044	0.604367345238	BP	e	macromolecule localization	6/30	197/1800	2	6	OG_15200, OG_15587, OG_16176, OG_16900, OG_17742, OG_17777
GO:1901360	0.142690784009	0.605727435258	BP	p	organic cyclic compound metabolic process	4/30	458/1800	3	4	OG_13475, OG_13704, OG_14090, OG_18514
GO:0007154	0.149523911114	0.605727435258	BP	e	cell communication	3/30	81/1800	2	3	OG_14379, OG_15587, OG_16176
GO:0032879	0.136845683794	0.605727435258	BP	e	regulation of localization	6/30	201/1800	3	6	OG_14090, OG_15200, OG_15587, OG_16176, OG_16836, OG_17746
GO:0010941	0.150257968436	0.605727435258	BP	e	regulation of cell death	4/30	125/1800	4	4	OG_14110, OG_15200, OG_15587, OG_17746
GO:0051641	0.160325408621	0.626726597337	BP	e	cellular localization	6/30	215/1800	2	6	OG_12614, OG_15200, OG_15587, OG_16176, OG_17742, OG_17777
GO:0046907	0.176017667148	0.653640138997	BP	e	intracellular transport	5/30	156/1800	4	5	OG_12614, OG_15587, OG_16176, OG_17742, OG_17777
GO:0032501	0.177344223759	0.653640138997	BP	p	multicellular organismal process	3/30	367/1800	1	3	OG_15587, OG_15739, OG_16900
GO:0046483	0.199316337541	0.695571222239	BP	p	heterocycle metabolic process	4/30	437/1800	3	4	OG_13475, OG_13704, OG_14090, OG_18514
GO:0006725	0.199504924208	0.695571222239	BP	p	cellular aromatic compound metabolic process	4/30	448/1800	3	4	OG_13475, OG_13704, OG_14090, OG_18514
GO:0008150	0.20796829031	0.704866581447	BP	p	biological_process	23/30	1523/1800	0	23	OG_12614, OG_12693, OG_13475, OG_13704, OG_14081, OG_14090, OG_14110, OG_14379, OG_14700, OG_14936, OG_15200, OG_15314, OG_15587, OG_15739, OG_16176, OG_16599, OG_16836, OG_16900, OG_17742, OG_17746, OG_17777, OG_18514, OG_18781
GO:0051649	0.213099199042	0.704866581447	BP	e	establishment of localization in cell	5/30	179/1800	3	5	OG_12614, OG_15587, OG_16176, OG_17742, OG_17777
GO:0032502	0.236621930381	0.763105725479	BP	p	developmental process	6/30	548/1800	1	6	OG_12614, OG_14081, OG_14090, OG_15587, OG_16900, OG_17746
GO:0051049	0.269874591817	0.770908187906	BP	e	regulation of transport	4/30	130/1800	4	4	OG_15200, OG_15587, OG_16176, OG_17746
GO:0036211	0.273488153721	0.770908187906	BP	e	protein modification process	6/30	238/1800	5	6	OG_14110, OG_15200, OG_16836, OG_17742, OG_17746, OG_17777
GO:0050896	0.274707046387	0.770908187906	BP	p	response to stimulus	4/30	410/1800	1	4	OG_12614, OG_14090, OG_15587, OG_17746
GO:0070887	0.248621425424	0.770908187906	BP	e	cellular response to chemical stimulus	3/30	104/1800	3	3	OG_12614, OG_15587, OG_17746
GO:0006139	0.274897493362	0.770908187906	BP	p	nucleobase-containing compound metabolic process	4/30	419/1800	4	4	OG_13475, OG_13704, OG_14090, OG_18514
GO:0006464	0.273488153721	0.770908187906	BP	e	cellular protein modification process	6/30	238/1800	6	6	OG_14110, OG_15200, OG_16836, OG_17742, OG_17746, OG_17777
GO:0019220	0.43526954714	0.806821745395	BP	e	regulation of phosphate metabolic process	3/30	115/1800	6	3	OG_15200, OG_15587, OG_16836
GO:0007165	0.442525111951	0.806821745395	BP	e	signal transduction	6/30	274/1800	4	6	OG_12614, OG_14081, OG_14379, OG_15200, OG_16836, OG_18781
GO:0007166	0.459937640651	0.806821745395	BP	e	cell surface receptor signaling pathway	3/30	125/1800	5	3	OG_12614, OG_14081, OG_16836
GO:0044093	0.424679511574	0.806821745395	BP	e	positive regulation of molecular function	3/30	110/1800	3	3	OG_15200, OG_16836, OG_18781
GO:0048518	0.298525335538	0.806821745395	BP	p	positive regulation of biological process	5/30	463/1800	3	5	OG_15200, OG_15587, OG_16176, OG_16836, OG_17746
GO:0045184	0.482276323789	0.806821745395	BP	e	establishment of protein localization	3/30	133/1800	4	3	OG_16176, OG_17742, OG_17777
GO:2001141	0.459287431557	0.806821745395	BP	p	regulation of RNA biosynthetic process	3/30	293/1800	7	3	OG_14090, OG_16836, OG_18514
GO:0010033	0.476514405163	0.806821745395	BP	e	response to organic substance	3/30	131/1800	3	3	OG_12614, OG_15587, OG_17746
GO:0044267	0.318147599859	0.806821745395	BP	e	cellular protein metabolic process	7/30	296/1800	5	7	OG_13704, OG_14110, OG_15200, OG_16836, OG_17742, OG_17746, OG_17777
GO:0044260	0.426219386719	0.806821745395	BP	e	cellular macromolecule metabolic process	11/30	541/1800	4	11	OG_12614, OG_13475, OG_13704, OG_14090, OG_14110, OG_15200, OG_16836, OG_17742, OG_17746, OG_17777, OG_18514
GO:0065008	0.464266354206	0.806821745395	BP	e	regulation of biological quality	7/30	315/1800	2	7	OG_14090, OG_15200, OG_15587, OG_16176, OG_16599, OG_17742, OG_18781
GO:0009889	0.491108475709	0.806821745395	BP	p	regulation of biosynthetic process	4/30	363/1800	4	4	OG_14090, OG_14936, OG_16836, OG_18514
GO:0050794	0.46626783644	0.806821745395	BP	e	regulation of cellular process	16/30	837/1800	3	16	OG_12614, OG_13704, OG_14081, OG_14090, OG_14110, OG_14379, OG_14936, OG_15200, OG_15587, OG_15739, OG_16176, OG_16836, OG_16900, OG_17746, OG_18514, OG_18781
