GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0035107	0.0283972591992	0.462732181702	BP	e	appendage morphogenesis	3/29	38/1624	3	3	OG_11680, OG_15183, OG_16062
GO:0070727	0.0823353193942	0.462732181702	BP	e	cellular macromolecule localization	4/29	94/1624	3	4	OG_15267, OG_15386, OG_16380, OG_17917
GO:0045184	0.0801403203046	0.462732181702	BP	e	establishment of protein localization	5/29	132/1624	4	5	OG_12902, OG_15386, OG_16380, OG_17917, OG_18579
GO:0034641	0.0354263186225	0.462732181702	BP	p	cellular nitrogen compound metabolic process	3/29	458/1624	3	3	OG_11884, OG_16797, OG_17377
GO:0046483	0.0547737087298	0.462732181702	BP	p	heterocycle metabolic process	3/29	425/1624	3	3	OG_11884, OG_16797, OG_17377
GO:0120036	0.0248315502894	0.462732181702	BP	e	plasma membrane bounded cell projection organization	4/29	64/1624	4	4	OG_11680, OG_16018, OG_16062, OG_17917
GO:1901360	0.0364250615116	0.462732181702	BP	p	organic cyclic compound metabolic process	3/29	444/1624	3	3	OG_11884, OG_16797, OG_17377
GO:0009886	0.0288648896051	0.462732181702	BP	e	post-embryonic animal morphogenesis	4/29	67/1624	3	4	OG_11680, OG_15183, OG_16062, OG_17980
GO:0046907	0.0386867299932	0.462732181702	BP	e	intracellular transport	6/29	145/1624	4	6	OG_12902, OG_13989, OG_15386, OG_16380, OG_17917, OG_18309
GO:0015833	0.0608781531673	0.462732181702	BP	e	peptide transport	5/29	122/1624	6	5	OG_12902, OG_15386, OG_16380, OG_17917, OG_18579
GO:0006139	0.0818661199074	0.462732181702	BP	p	nucleobase-containing compound metabolic process	3/29	409/1624	4	3	OG_11884, OG_16797, OG_17377
GO:0042886	0.0626670059339	0.462732181702	BP	e	amide transport	5/29	123/1624	5	5	OG_12902, OG_15386, OG_16380, OG_17917, OG_18579
GO:0051649	0.0512240878908	0.462732181702	BP	e	establishment of localization in cell	6/29	155/1624	3	6	OG_12902, OG_13989, OG_15386, OG_16380, OG_17917, OG_18309
GO:0040011	0.0849049874683	0.462732181702	BP	e	locomotion	4/29	95/1624	1	4	OG_12902, OG_14657, OG_16018, OG_17377
GO:0050877	0.0568050317966	0.462732181702	BP	e	nervous system process	4/29	83/1624	3	4	OG_11680, OG_14657, OG_15267, OG_17485
GO:0006725	0.0544386189648	0.462732181702	BP	p	cellular aromatic compound metabolic process	3/29	432/1624	3	3	OG_11884, OG_16797, OG_17377
GO:0033365	0.0544035763311	0.462732181702	BP	e	protein localization to organelle	3/29	49/1624	5	3	OG_15267, OG_15386, OG_17917
GO:0034613	0.0677804979784	0.462732181702	BP	e	cellular protein localization	4/29	88/1624	4	4	OG_15267, OG_15386, OG_16380, OG_17917
GO:0051641	0.0813325598395	0.462732181702	BP	e	cellular localization	7/29	204/1624	2	7	OG_12902, OG_13989, OG_15267, OG_15386, OG_16380, OG_17917, OG_18309
GO:0015031	0.0608781531673	0.462732181702	BP	e	protein transport	5/29	122/1624	7	5	OG_12902, OG_15386, OG_16380, OG_17917, OG_18579
GO:0048869	0.0958313285918	0.497410229357	BP	e	cellular developmental process	9/29	306/1624	2	9	OG_11656, OG_11680, OG_11884, OG_13255, OG_15183, OG_16018, OG_16062, OG_16380, OG_17917
GO:0007010	0.101160812514	0.501205843819	BP	e	cytoskeleton organization	4/29	101/1624	4	4	OG_16380, OG_17917, OG_18632, OG_18866
GO:0048519	0.120413164209	0.506621817346	BP	p	negative regulation of biological process	3/29	384/1624	3	3	OG_13255, OG_17377, OG_17980
