GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1902667	0.000235321532334	0.04414222046	BP	e	regulation of axon guidance	3/49	6/2076	10	3	OG_11984, OG_14231, OG_15746
GO:0007589	0.000404974499633	0.04414222046	BP	e	body fluid secretion	3/49	7/2076	5	3	OG_11191, OG_12665, OG_15879
GO:0050920	0.00132056133142	0.0959607900832	BP	e	regulation of chemotaxis	3/49	10/2076	5	3	OG_11984, OG_14231, OG_15746
GO:0050878	0.00460681020064	0.200856924748	BP	e	regulation of body fluid levels	3/49	15/2076	3	3	OG_11191, OG_12665, OG_15879
GO:0050770	0.00460681020064	0.200856924748	BP	e	regulation of axonogenesis	3/49	15/2076	9	3	OG_11984, OG_14231, OG_15746
GO:0035107	0.0158640405608	0.576393473709	BP	e	appendage morphogenesis	4/49	42/2076	3	4	OG_11680, OG_12702, OG_15183, OG_15618
GO:0000902	0.0185879618307	0.57888223987	BP	e	cell morphogenesis	4/49	44/2076	4	4	OG_14231, OG_15183, OG_15618, OG_16473
GO:0032386	0.0832995086229	0.592689317558	BP	e	regulation of intracellular transport	3/49	44/2076	5	3	OG_12908, OG_16470, OG_17003
GO:0031344	0.0907802956086	0.592689317558	BP	e	regulation of cell projection organization	4/49	73/2076	5	4	OG_11984, OG_13306, OG_14231, OG_15746
GO:0051493	0.0872725588722	0.592689317558	BP	e	regulation of cytoskeleton organization	4/49	72/2076	6	4	OG_11984, OG_14231, OG_15618, OG_16470
GO:0051051	0.0703888169907	0.592689317558	BP	e	negative regulation of transport	3/49	41/2076	5	3	OG_11984, OG_12908, OG_16470
GO:0097485	0.0707822534138	0.592689317558	BP	e	neuron projection guidance	4/49	67/2076	3	4	OG_12702, OG_14231, OG_15618, OG_15746
GO:0098916	0.0703888169907	0.592689317558	BP	e	anterograde trans-synaptic signaling	3/49	41/2076	6	3	OG_11984, OG_16005, OG_17003
GO:0120035	0.0872725588722	0.592689317558	BP	e	regulation of plasma membrane bounded cell projection organization	4/49	72/2076	6	4	OG_11984, OG_13306, OG_14231, OG_15746
GO:0000904	0.0267519758379	0.592689317558	BP	e	cell morphogenesis involved in differentiation	3/49	28/2076	5	3	OG_14231, OG_15618, OG_16473
GO:0009886	0.0838337592792	0.592689317558	BP	e	post-embryonic animal morphogenesis	4/49	71/2076	3	4	OG_11680, OG_12702, OG_15183, OG_15618
GO:0046903	0.0432640455714	0.592689317558	BP	e	secretion	4/49	57/2076	4	4	OG_11191, OG_12665, OG_15445, OG_15879
GO:0099536	0.0788873577053	0.592689317558	BP	e	synaptic signaling	3/49	43/2076	4	3	OG_11984, OG_16005, OG_17003
GO:0099537	0.0788873577053	0.592689317558	BP	e	trans-synaptic signaling	3/49	43/2076	5	3	OG_11984, OG_16005, OG_17003
GO:0048638	0.0507385234023	0.592689317558	BP	e	regulation of developmental growth	4/49	60/2076	4	4	OG_11984, OG_12702, OG_14231, OG_15746
GO:0050808	0.074583030562	0.592689317558	BP	e	synapse organization	3/49	42/2076	3	3	OG_11984, OG_12540, OG_14231
GO:0032101	0.0924377834724	0.592689317558	BP	e	regulation of response to external stimulus	3/49	46/2076	4	3	OG_11984, OG_14231, OG_15746
GO:0007411	0.0676984937352	0.592689317558	BP	e	axon guidance	4/49	66/2076	4	4	OG_12702, OG_14231, OG_15618, OG_15746
GO:0043087	0.0703888169907	0.592689317558	BP	e	regulation of GTPase activity	3/49	41/2076	5	3	OG_11984, OG_12089, OG_15746
GO:0010769	0.0320825124293	0.592689317558	BP	e	regulation of cell morphogenesis involved in differentiation	3/49	30/2076	6	3	OG_11984, OG_14231, OG_15746
GO:0040012	0.0378709605221	0.592689317558	BP	e	regulation of locomotion	5/49	80/2076	3	5	OG_11984, OG_12702, OG_13789, OG_14231, OG_15746
GO:0007409	0.0320825124293	0.592689317558	BP	e	axonogenesis	3/49	30/2076	8	3	OG_14231, OG_15746, OG_16473
GO:0035120	0.0511438303459	0.592689317558	BP	e	post-embryonic appendage morphogenesis	3/49	36/2076	4	3	OG_12702, OG_15183, OG_15618
GO:0040008	0.0651819287126	0.592689317558	BP	e	regulation of growth	5/49	93/2076	3	5	OG_11984, OG_12702, OG_14231, OG_15746, OG_16473
GO:0007476	0.0267519758379	0.592689317558	BP	e	imaginal disc-derived wing morphogenesis	3/49	28/2076	5	3	OG_12702, OG_15183, OG_15618
GO:0032989	0.0651819287126	0.592689317558	BP	e	cellular component morphogenesis	5/49	93/2076	3	5	OG_14231, OG_15183, OG_15618, OG_15746, OG_16473
GO:0035114	0.0547560662715	0.592689317558	BP	e	imaginal disc-derived appendage morphogenesis	3/49	37/2076	4	3	OG_12702, OG_15183, OG_15618
GO:0007268	0.0703888169907	0.592689317558	BP	e	chemical synaptic transmission	3/49	41/2076	7	3	OG_11984, OG_16005, OG_17003
GO:0035295	0.0703888169907	0.592689317558	BP	e	tube development	3/49	41/2076	3	3	OG_13951, OG_14085, OG_15618
GO:0010975	0.116998400851	0.646829094936	BP	e	regulation of neuron projection development	3/49	51/2076	8	3	OG_11984, OG_14231, OG_15746
GO:0044267	0.121651343543	0.646829094936	BP	p	cellular protein metabolic process	4/49	346/2076	5	4	OG_13951, OG_14231, OG_17260, OG_19034
GO:0051336	0.121221481821	0.646829094936	BP	e	regulation of hydrolase activity	4/49	81/2076	4	4	OG_11984, OG_12089, OG_13131, OG_15746
GO:0050877	0.11856282034	0.646829094936	BP	e	nervous system process	6/49	127/2076	3	6	OG_11680, OG_14231, OG_15618, OG_16005, OG_16470, OG_17003
GO:0017144	0.11719371972	0.646829094936	BP	e	drug metabolic process	4/49	80/2076	3	4	OG_12908, OG_14985, OG_15879, OG_18886
GO:0007267	0.111900594918	0.646829094936	BP	e	cell-cell signaling	3/49	50/2076	3	3	OG_11984, OG_16005, OG_17003
GO:0051270	0.10932409627	0.646829094936	BP	e	regulation of cellular component movement	4/49	78/2076	4	4	OG_11984, OG_12702, OG_14231, OG_15746
GO:0030030	0.126767917597	0.657985858003	BP	e	cell projection organization	6/49	133/2076	3	6	OG_11680, OG_13306, OG_14231, OG_15746, OG_16470, OG_16473
GO:0023052	0.132806294901	0.673297029963	BP	e	signaling	3/49	54/2076	1	3	OG_11984, OG_16005, OG_17003
GO:0051962	0.138238047298	0.684906688886	BP	e	positive regulation of nervous system development	3/49	55/2076	6	3	OG_11984, OG_12702, OG_15746
GO:0010604	0.142094557048	0.688369187477	BP	p	positive regulation of macromolecule metabolic process	3/49	290/2076	5	3	OG_11984, OG_12702, OG_19034
GO:0019538	0.155728553302	0.70726717958	BP	p	protein metabolic process	6/49	440/2076	4	6	OG_11984, OG_13094, OG_13951, OG_14231, OG_17260, OG_19034
GO:0022604	0.149328831084	0.70726717958	BP	e	regulation of cell morphogenesis	3/49	57/2076	5	3	OG_11984, OG_14231, OG_15746
GO:0007154	0.155530111281	0.70726717958	BP	e	cell communication	4/49	89/2076	2	4	OG_11984, OG_12702, OG_16005, OG_17003
GO:0010243	0.172342662656	0.708881140736	BP	e	response to organonitrogen compound	3/49	61/2076	4	3	OG_11191, OG_15879, OG_16005
GO:0120039	0.166492026346	0.708881140736	BP	e	plasma membrane bounded cell projection morphogenesis	3/49	60/2076	6	3	OG_14231, OG_15746, OG_16473
GO:0048812	0.166492026346	0.708881140736	BP	e	neuron projection morphogenesis	3/49	60/2076	7	3	OG_14231, OG_15746, OG_16473
GO:0070925	0.16006209239	0.708881140736	BP	e	organelle assembly	4/49	90/2076	4	4	OG_13306, OG_15277, OG_15618, OG_16470
GO:0048858	0.172342662656	0.708881140736	BP	e	cell projection morphogenesis	3/49	61/2076	5	3	OG_14231, OG_15746, OG_16473
GO:1901698	0.184221931528	0.743710760613	BP	e	response to nitrogen compound	3/49	63/2076	3	3	OG_11191, OG_15879, OG_16005
GO:0051173	0.195952097849	0.74943083037	BP	p	positive regulation of nitrogen compound metabolic process	3/49	271/2076	5	3	OG_11984, OG_12702, OG_19034
GO:0032990	0.190245154737	0.74943083037	BP	e	cell part morphogenesis	3/49	64/2076	4	3	OG_14231, OG_15746, OG_16473
GO:0006357	0.193203442141	0.74943083037	BP	e	regulation of transcription by RNA polymerase II	7/49	182/2076	10	7	OG_11984, OG_12702, OG_13075, OG_13951, OG_14231, OG_15577, OG_16135
GO:0048523	0.206757096458	0.77712150048	BP	p	negative regulation of cellular process	6/49	419/2076	4	6	OG_12702, OG_13131, OG_13951, OG_14231, OG_15746, OG_16473
GO:1901362	0.216984652846	0.788377572007	BP	e	organic cyclic compound biosynthetic process	10/49	298/2076	4	10	OG_11191, OG_12702, OG_13951, OG_14401, OG_14985, OG_15577, OG_15879, OG_15897, OG_16473, OG_17922
GO:0007600	0.214833039779	0.788377572007	BP	e	sensory perception	3/49	68/2076	4	3	OG_11680, OG_15618, OG_16470
GO:0009893	0.224747961991	0.790242834097	BP	p	positive regulation of metabolic process	4/49	308/2076	4	4	OG_11984, OG_12702, OG_15277, OG_19034
GO:0048522	0.22378292778	0.790242834097	BP	p	positive regulation of cellular process	7/49	466/2076	4	7	OG_11191, OG_11984, OG_12702, OG_13075, OG_15277, OG_15746, OG_19034
GO:0043170	0.23961221493	0.829134331028	BP	p	macromolecule metabolic process	15/49	809/2076	3	15	OG_11984, OG_12702, OG_13094, OG_13951, OG_14231, OG_14401, OG_14780, OG_15577, OG_15897, OG_16473, OG_16688, OG_17075, OG_17260, OG_18886, OG_19034
GO:0044238	0.245660405303	0.836780755563	BP	p	primary metabolic process	18/49	950/2076	2	18	OG_11191, OG_11984, OG_12702, OG_12908, OG_13094, OG_13951, OG_14231, OG_14401, OG_14780, OG_14985, OG_15577, OG_15879, OG_15897, OG_16473, OG_16688, OG_17075, OG_17260, OG_19034
GO:0033043	0.264302087051	0.88642853811	BP	e	regulation of organelle organization	6/49	157/2076	5	6	OG_11191, OG_11984, OG_13306, OG_14231, OG_15618, OG_16470
GO:0044260	0.271799130773	0.897760765281	BP	p	cellular macromolecule metabolic process	11/49	636/2076	4	11	OG_11984, OG_12702, OG_13094, OG_13951, OG_14231, OG_14401, OG_15577, OG_15897, OG_16473, OG_17260, OG_19034
GO:0003008	0.28496600617	0.905172140218	BP	e	system process	6/49	169/2076	2	6	OG_11680, OG_14231, OG_15618, OG_16005, OG_16470, OG_17003
GO:0019438	0.290651604657	0.905172140218	BP	e	aromatic compound biosynthetic process	9/49	279/2076	4	9	OG_11191, OG_12702, OG_13951, OG_14401, OG_15577, OG_15879, OG_15897, OG_16473, OG_17922
GO:0018130	0.290651604657	0.905172140218	BP	e	heterocycle biosynthetic process	9/49	279/2076	4	9	OG_11191, OG_12702, OG_13951, OG_14401, OG_14985, OG_15577, OG_15879, OG_15897, OG_16473
GO:0050767	0.286323284866	0.905172140218	BP	e	regulation of neurogenesis	4/49	97/2076	6	4	OG_11984, OG_12702, OG_14231, OG_15746
GO:0036211	0.299273343234	0.906133178125	BP	p	protein modification process	4/49	291/2076	5	4	OG_13951, OG_14231, OG_17260, OG_19034
GO:0006464	0.299273343234	0.906133178125	BP	p	cellular protein modification process	4/49	291/2076	6	4	OG_13951, OG_14231, OG_17260, OG_19034
GO:0022603	0.312848305784	0.92163419812	BP	e	regulation of anatomical structure morphogenesis	4/49	106/2076	4	4	OG_11191, OG_11984, OG_14231, OG_15746
GO:0071704	0.311583807273	0.92163419812	BP	p	organic substance metabolic process	20/49	1013/2076	2	20	OG_11191, OG_11984, OG_12702, OG_12908, OG_13094, OG_13951, OG_14231, OG_14401, OG_14780, OG_14985, OG_15577, OG_15879, OG_15897, OG_16473, OG_16688, OG_17075, OG_17260, OG_17922, OG_18886, OG_19034
GO:0048518	0.319211790666	0.927842271536	BP	p	positive regulation of biological process	9/49	528/2076	3	9	OG_11191, OG_11984, OG_12702, OG_12908, OG_13075, OG_13789, OG_15277, OG_15746, OG_19034
GO:0044087	0.326703713768	0.937123810545	BP	e	regulation of cellular component biogenesis	4/49	110/2076	3	4	OG_11984, OG_13306, OG_14231, OG_15618
GO:1901564	0.331948370364	0.939801879732	BP	p	organonitrogen compound metabolic process	10/49	562/2076	3	10	OG_11191, OG_11984, OG_13094, OG_13951, OG_14231, OG_14985, OG_15879, OG_17260, OG_18886, OG_19034
GO:0048869	0.337939672339	0.944498058588	BP	e	cellular developmental process	11/49	358/2076	2	11	OG_11680, OG_13075, OG_13951, OG_14085, OG_14231, OG_15183, OG_15618, OG_15746, OG_16135, OG_16470, OG_16473
GO:0051716	0.362981232034	0.958953491084	BP	p	cellular response to stimulus	3/49	242/2076	2	3	OG_14985, OG_15879, OG_16005
GO:0051704	0.361507019397	0.958953491084	BP	e	multi-organism process	4/49	119/2076	1	4	OG_11191, OG_13951, OG_15897, OG_16135
