GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0032434	0.018373172355	0.827248034597	BP	e	regulation of proteasomal ubiquitin-dependent protein catabolic process	3/54	26/2451	10	3	OG_11401, OG_13111, OG_16737
GO:0031349	0.010155924728	0.827248034597	BP	e	positive regulation of defense response	3/54	21/2451	6	3	OG_11503, OG_12464, OG_14715
GO:0006812	0.0150749373619	0.827248034597	BP	e	cation transport	6/54	93/2451	5	6	OG_10904, OG_11218, OG_12056, OG_12693, OG_13830, OG_16342
GO:0006811	0.0386263673742	0.827248034597	BP	e	ion transport	7/54	146/2451	4	7	OG_10904, OG_11218, OG_12056, OG_12693, OG_13830, OG_14024, OG_16342
GO:1903827	0.03509916587	0.827248034597	BP	e	regulation of cellular protein localization	4/54	57/2451	5	4	OG_11401, OG_13830, OG_15280, OG_16737
GO:0008284	0.0277511723225	0.827248034597	BP	e	positive regulation of cell population proliferation	4/54	53/2451	5	4	OG_11218, OG_11401, OG_12464, OG_15794
GO:0050778	0.0373816026735	0.827248034597	BP	e	positive regulation of immune response	3/54	34/2451	5	3	OG_11503, OG_12464, OG_14715
GO:1902275	0.0131101087722	0.827248034597	BP	e	regulation of chromatin organization	3/54	23/2451	7	3	OG_13737, OG_15470, OG_18643
GO:2000058	0.0294055980113	0.827248034597	BP	e	regulation of ubiquitin-dependent protein catabolic process	3/54	31/2451	9	3	OG_11401, OG_13111, OG_16737
GO:0045089	0.00763298498521	0.827248034597	BP	e	positive regulation of innate immune response	3/54	19/2451	7	3	OG_11503, OG_12464, OG_14715
GO:0045088	0.0319519891329	0.827248034597	BP	e	regulation of innate immune response	3/54	32/2451	6	3	OG_11503, OG_12464, OG_14715
GO:0061136	0.0319519891329	0.827248034597	BP	e	regulation of proteasomal protein catabolic process	3/54	32/2451	9	3	OG_11401, OG_13111, OG_16737
GO:0007623	0.0463563077943	0.849218124875	BP	e	circadian rhythm	3/54	37/2451	2	3	OG_16200, OG_16737, OG_17708
GO:1903050	0.0432552979767	0.849218124875	BP	e	regulation of proteolysis involved in cellular protein catabolic process	3/54	36/2451	8	3	OG_11401, OG_13111, OG_16737
GO:1903362	0.0495652602067	0.849218124875	BP	e	regulation of cellular protein catabolic process	3/54	38/2451	7	3	OG_11401, OG_13111, OG_16737
GO:0030001	0.0529086333084	0.849844922516	BP	e	metal ion transport	4/54	65/2451	6	4	OG_10904, OG_11218, OG_12056, OG_16342
GO:0048511	0.0671818057522	0.886466061064	BP	e	rhythmic process	3/54	43/2451	1	3	OG_16200, OG_16737, OG_17708
GO:0051186	0.0689856856859	0.886466061064	BP	e	cofactor metabolic process	4/54	71/2451	3	4	OG_11746, OG_12978, OG_14631, OG_16660
GO:0044057	0.0634538895146	0.886466061064	BP	e	regulation of system process	3/54	42/2451	4	3	OG_10904, OG_13997, OG_16737
GO:1902903	0.0634538895146	0.886466061064	BP	e	regulation of supramolecular fiber organization	3/54	42/2451	5	3	OG_13830, OG_14717, OG_16737
GO:0048584	0.075115090165	0.919265627257	BP	e	positive regulation of response to stimulus	8/54	198/2451	4	8	OG_11218, OG_11401, OG_11503, OG_12464, OG_12686, OG_14715, OG_16737, OG_16740
GO:0072657	0.0830660508022	0.928172828529	BP	e	protein localization to membrane	3/54	47/2451	5	3	OG_13194, OG_13830, OG_16743
GO:0006810	0.0818358639977	0.928172828529	BP	e	transport	16/54	484/2451	3	16	OG_10904, OG_11218, OG_11401, OG_12056, OG_12693, OG_12978, OG_13111, OG_13536, OG_13830, OG_14024, OG_14947, OG_16342, OG_16737, OG_16740, OG_16743, OG_19271
GO:0033044	0.0872710422228	0.934527410469	BP	e	regulation of chromosome organization	3/54	48/2451	6	3	OG_13737, OG_15470, OG_18643
GO:0030534	0.0915657346485	0.941295752187	BP	e	adult behavior	3/54	49/2451	2	3	OG_12464, OG_16200, OG_16737
GO:0031347	0.100416125997	0.992574783893	BP	e	regulation of defense response	3/54	51/2451	5	3	OG_11503, OG_12464, OG_14715
GO:0044282	0.123966703769	0.995018644164	BP	e	small molecule catabolic process	3/54	56/2451	3	3	OG_12844, OG_12978, OG_16660
GO:0009967	0.154866715045	0.995018644164	BP	e	positive regulation of signal transduction	6/54	157/2451	6	6	OG_11218, OG_11401, OG_12686, OG_14715, OG_16737, OG_16740
GO:0051493	0.138987328432	0.995018644164	BP	e	regulation of cytoskeleton organization	3/54	59/2451	6	3	OG_13830, OG_14717, OG_16737
GO:0060548	0.122593753516	0.995018644164	BP	e	negative regulation of cell death	4/54	87/2451	5	4	OG_12464, OG_13830, OG_16737, OG_18643
GO:0002684	0.114312956137	0.995018644164	BP	e	positive regulation of immune system process	3/54	54/2451	4	3	OG_11503, OG_12464, OG_14715
GO:0071840	0.134562415106	0.995018644164	BP	p	cellular component organization or biogenesis	11/54	732/2451	1	11	OG_11401, OG_12978, OG_13194, OG_13536, OG_13737, OG_13830, OG_14947, OG_15470, OG_16737, OG_18643, OG_19271
GO:0006915	0.154602659666	0.995018644164	BP	e	apoptotic process	3/54	62/2451	4	3	OG_11556, OG_12464, OG_13194
GO:0051234	0.12340079158	0.995018644164	BP	e	establishment of localization	16/54	505/2451	2	16	OG_10904, OG_11218, OG_11401, OG_12056, OG_12693, OG_12978, OG_13111, OG_13536, OG_13830, OG_14024, OG_14947, OG_16342, OG_16737, OG_16740, OG_16743, OG_19271
GO:0033043	0.148459553936	0.995018644164	BP	e	regulation of organelle organization	6/54	154/2451	5	6	OG_13737, OG_13830, OG_14717, OG_15470, OG_16737, OG_18643
GO:0042176	0.104967685816	0.995018644164	BP	e	regulation of protein catabolic process	3/54	52/2451	6	3	OG_11401, OG_13111, OG_16737
GO:0050776	0.128903789209	0.995018644164	BP	e	regulation of immune response	3/54	57/2451	4	3	OG_11503, OG_12464, OG_14715
GO:0060341	0.154593200073	0.995018644164	BP	e	regulation of cellular localization	4/54	95/2451	4	4	OG_11401, OG_13830, OG_15280, OG_16737
GO:0034220	0.122593753516	0.995018644164	BP	e	ion transmembrane transport	4/54	87/2451	5	4	OG_10904, OG_11218, OG_12056, OG_12693
GO:0098655	0.154602659666	0.995018644164	BP	e	cation transmembrane transport	3/54	62/2451	6	3	OG_10904, OG_12056, OG_12693
GO:0008104	0.378282153933	1.0	BP	e	protein localization	8/54	272/2451	3	8	OG_11401, OG_12978, OG_13111, OG_13194, OG_13536, OG_13830, OG_16737, OG_16743
GO:0019220	0.392673092588	1.0	BP	e	regulation of phosphate metabolic process	5/54	158/2451	6	5	OG_11218, OG_12931, OG_13111, OG_16737, OG_17400
GO:0080090	0.535559325188	1.0	BP	e	regulation of primary metabolic process	16/54	643/2451	4	16	OG_11218, OG_11401, OG_11556, OG_12464, OG_12844, OG_12931, OG_13111, OG_13737, OG_13830, OG_13997, OG_15470, OG_15794, OG_16737, OG_17400, OG_17708, OG_18643
GO:0051049	0.592726051551	1.0	BP	e	regulation of transport	5/54	180/2451	4	5	OG_10904, OG_11401, OG_13830, OG_16737, OG_16740
GO:0048585	0.794730003276	1.0	BP	p	negative regulation of response to stimulus	3/54	182/2451	4	3	OG_11401, OG_12464, OG_16737
GO:0048583	0.853884283258	1.0	BP	e	regulation of response to stimulus	9/54	399/2451	3	9	OG_11218, OG_11401, OG_11503, OG_12464, OG_12686, OG_13111, OG_14715, OG_16737, OG_16740
GO:0007610	0.555821021599	1.0	BP	e	behavior	4/54	144/2451	1	4	OG_12464, OG_16200, OG_16557, OG_16737
GO:0007165	0.706968541459	1.0	BP	p	signal transduction	7/54	378/2451	4	7	OG_11218, OG_11401, OG_12686, OG_13830, OG_14024, OG_16737, OG_18643
GO:0032989	0.444952382741	1.0	BP	e	cellular component morphogenesis	3/54	89/2451	3	3	OG_11401, OG_13737, OG_18643
GO:1901362	0.549188211774	1.0	BP	e	organic cyclic compound biosynthetic process	9/54	340/2451	4	9	OG_11503, OG_12627, OG_13737, OG_13868, OG_13997, OG_14631, OG_15470, OG_15794, OG_18643
GO:0051716	0.673802404277	1.0	BP	p	cellular response to stimulus	5/54	297/2451	2	5	OG_12464, OG_12931, OG_13830, OG_16737, OG_19271
GO:0010605	0.241763044844	1.0	BP	e	negative regulation of macromolecule metabolic process	8/54	241/2451	5	8	OG_11401, OG_12464, OG_12931, OG_13111, OG_13830, OG_15470, OG_16737, OG_18643
GO:0019222	0.763281313671	1.0	BP	e	regulation of metabolic process	17/54	722/2451	3	17	OG_11218, OG_11401, OG_11556, OG_12464, OG_12844, OG_12931, OG_13111, OG_13737, OG_13830, OG_13997, OG_14715, OG_15470, OG_15794, OG_16737, OG_17400, OG_17708, OG_18643
GO:0070727	0.226981308898	1.0	BP	e	cellular macromolecule localization	5/54	138/2451	3	5	OG_12978, OG_13194, OG_13830, OG_16737, OG_16743
GO:0009966	1.0	1.0	BP	p	regulation of signal transduction	7/54	320/2451	5	7	OG_11218, OG_11401, OG_12686, OG_13111, OG_14715, OG_16737, OG_16740
GO:0048513	0.477080589846	1.0	BP	p	animal organ development	3/54	220/2451	3	3	OG_13544, OG_17708, OG_18643
GO:0044093	1.0	1.0	BP	p	positive regulation of molecular function	3/54	143/2451	3	3	OG_11218, OG_13536, OG_17400
GO:0048522	0.622138464568	1.0	BP	e	positive regulation of cellular process	14/54	558/2451	4	14	OG_11218, OG_11401, OG_12464, OG_12686, OG_13830, OG_13997, OG_14715, OG_14717, OG_15794, OG_16737, OG_16740, OG_17400, OG_17708, OG_18643
GO:0048518	0.348941091588	1.0	BP	e	positive regulation of biological process	17/54	637/2451	3	17	OG_11218, OG_11401, OG_11503, OG_12464, OG_12686, OG_13737, OG_13830, OG_13997, OG_14715, OG_14717, OG_15280, OG_15794, OG_16737, OG_16740, OG_17400, OG_17708, OG_18643
GO:0048519	0.868995823119	1.0	BP	e	negative regulation of biological process	12/54	533/2451	3	12	OG_11218, OG_11401, OG_12464, OG_12931, OG_13111, OG_13830, OG_13997, OG_15280, OG_15470, OG_16737, OG_16740, OG_18643
GO:0033036	0.517049907676	1.0	BP	e	macromolecule localization	8/54	286/2451	2	8	OG_11401, OG_12978, OG_13111, OG_13194, OG_13536, OG_13830, OG_16737, OG_16743
GO:0042127	0.218772649716	1.0	BP	e	regulation of cell population proliferation	5/54	135/2451	4	5	OG_11218, OG_11401, OG_12464, OG_13997, OG_15794
GO:0060255	0.645047345373	1.0	BP	e	regulation of macromolecule metabolic process	16/54	664/2451	4	16	OG_11218, OG_11401, OG_11556, OG_12464, OG_12931, OG_13111, OG_13737, OG_13830, OG_13997, OG_14715, OG_15470, OG_15794, OG_16737, OG_17400, OG_17708, OG_18643
GO:0045184	0.802418673574	1.0	BP	e	establishment of protein localization	5/54	206/2451	4	5	OG_12978, OG_13111, OG_13536, OG_13830, OG_16743
GO:0003006	1.0	1.0	BP	p	developmental process involved in reproduction	3/54	174/2451	2	3	OG_11401, OG_13544, OG_14717
GO:0032268	0.660901417958	1.0	BP	e	regulation of cellular protein metabolic process	7/54	274/2451	6	7	OG_11218, OG_11401, OG_12464, OG_13111, OG_16737, OG_17400, OG_18643
GO:0030162	0.221813475827	1.0	BP	e	regulation of proteolysis	3/54	74/2451	6	3	OG_11401, OG_13111, OG_16737
GO:2001141	0.5621553699	1.0	BP	p	regulation of RNA biosynthetic process	6/54	358/2451	7	6	OG_13737, OG_13997, OG_15470, OG_15794, OG_17708, OG_18643
GO:0043436	0.758817986779	1.0	BP	e	oxoacid metabolic process	3/54	128/2451	4	3	OG_12978, OG_14631, OG_16660
GO:0010033	1.0	1.0	BP	p	response to organic substance	3/54	170/2451	3	3	OG_12844, OG_13830, OG_19271
GO:0055114	0.75228998105	1.0	BP	e	oxidation-reduction process	3/54	124/2451	2	3	OG_11746, OG_12978, OG_13606
GO:0051704	0.364230731419	1.0	BP	e	multi-organism process	4/54	128/2451	1	4	OG_11503, OG_12464, OG_13194, OG_13737
GO:0042325	0.229826357692	1.0	BP	e	regulation of phosphorylation	5/54	139/2451	7	5	OG_11218, OG_12931, OG_13111, OG_16737, OG_17400
GO:0023056	0.284787912457	1.0	BP	e	positive regulation of signaling	6/54	180/2451	4	6	OG_11218, OG_11401, OG_12686, OG_14715, OG_16737, OG_16740
GO:1901564	0.45234381479	1.0	BP	p	organonitrogen compound metabolic process	13/54	715/2451	3	13	OG_13111, OG_13830, OG_13868, OG_14631, OG_14715, OG_14947, OG_15280, OG_15302, OG_15794, OG_16660, OG_16737, OG_16743, OG_17400
GO:1901565	0.529794881441	1.0	BP	e	organonitrogen compound catabolic process	4/54	130/2451	4	4	OG_14947, OG_15280, OG_15302, OG_16660
GO:0009605	0.425123995511	1.0	BP	e	response to external stimulus	5/54	172/2451	2	5	OG_11503, OG_12464, OG_13830, OG_14024, OG_16200
GO:0023057	1.0	1.0	BP	p	negative regulation of signaling	3/54	165/2451	4	3	OG_11401, OG_13830, OG_16737
GO:0019538	0.407899205443	1.0	BP	p	protein metabolic process	9/54	543/2451	4	9	OG_13111, OG_13830, OG_14715, OG_15280, OG_15302, OG_15794, OG_16737, OG_16743, OG_17400
GO:0015833	0.619744387943	1.0	BP	e	peptide transport	5/54	198/2451	6	5	OG_12978, OG_13111, OG_13536, OG_13830, OG_16743
GO:0048878	0.444952382741	1.0	BP	e	chemical homeostasis	3/54	89/2451	4	3	OG_11218, OG_12844, OG_16342
GO:0002376	0.747650313371	1.0	BP	e	immune system process	3/54	121/2451	1	3	OG_11503, OG_12464, OG_14947
GO:0044238	0.783125343344	1.0	BP	p	primary metabolic process	24/54	1158/2451	2	24	OG_11503, OG_11556, OG_12627, OG_12693, OG_12844, OG_12931, OG_12934, OG_12978, OG_13111, OG_13737, OG_13830, OG_13868, OG_13997, OG_14631, OG_14715, OG_15280, OG_15302, OG_15470, OG_15794, OG_16660, OG_16737, OG_16743, OG_17400, OG_18643
GO:0033554	0.477080589846	1.0	BP	p	cellular response to stress	3/54	220/2451	3	3	OG_12464, OG_12931, OG_13830
GO:0019637	1.0	1.0	BP	e	organophosphate metabolic process	3/54	134/2451	4	3	OG_12844, OG_13868, OG_14631
GO:0019438	0.682995445889	1.0	BP	e	aromatic compound biosynthetic process	8/54	321/2451	4	8	OG_11503, OG_13737, OG_13868, OG_13997, OG_14631, OG_15470, OG_15794, OG_18643
GO:0051649	1.0	1.0	BP	p	establishment of localization in cell	5/54	266/2451	3	5	OG_12978, OG_13111, OG_13536, OG_13830, OG_16743
GO:0044281	1.0	1.0	BP	p	small molecule metabolic process	5/54	241/2451	2	5	OG_12844, OG_12978, OG_13868, OG_14631, OG_16660
GO:0009894	0.74049886066	1.0	BP	e	regulation of catabolic process	3/54	116/2451	4	3	OG_11401, OG_13111, OG_16737
GO:0022607	0.539687876238	1.0	BP	p	cellular component assembly	5/54	314/2451	3	5	OG_11401, OG_13194, OG_14947, OG_15470, OG_19271
GO:0009892	0.371702734873	1.0	BP	e	negative regulation of metabolic process	8/54	266/2451	4	8	OG_11401, OG_12464, OG_12931, OG_13111, OG_13830, OG_15470, OG_16737, OG_18643
