GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008150	0.010385560892	0.820459310468	BP	p	biological_process	23/33	2114/2451	0	23	OG_11110, OG_11611, OG_12077, OG_12236, OG_12482, OG_13178, OG_13351, OG_13848, OG_13989, OG_14001, OG_14095, OG_14660, OG_15137, OG_15332, OG_15644, OG_15710, OG_15735, OG_16357, OG_17064, OG_17354, OG_17382, OG_17850, OG_18364
GO:0080090	0.0725758369207	0.830565562689	BP	p	regulation of primary metabolic process	4/33	643/2451	4	4	OG_12077, OG_12482, OG_13178, OG_17382
GO:0019222	0.341811809669	0.830565562689	BP	p	regulation of metabolic process	7/33	722/2451	3	7	OG_12077, OG_12482, OG_13178, OG_13848, OG_15735, OG_16357, OG_17382
GO:0031326	0.252602583512	0.830565562689	BP	p	regulation of cellular biosynthetic process	3/33	439/2451	5	3	OG_12077, OG_13178, OG_17382
GO:0031323	0.165720870154	0.830565562689	BP	p	regulation of cellular metabolic process	5/33	663/2451	4	5	OG_12077, OG_12482, OG_13178, OG_16357, OG_17382
GO:0042592	0.441566501683	0.830565562689	BP	e	homeostatic process	3/33	145/2451	3	3	OG_12077, OG_12482, OG_17354
GO:0044249	0.128254220698	0.830565562689	BP	p	cellular biosynthetic process	3/33	510/2451	3	3	OG_12077, OG_13178, OG_17850
GO:1901576	0.282636419285	0.830565562689	BP	p	organic substance biosynthetic process	4/33	522/2451	3	4	OG_12077, OG_13178, OG_14660, OG_17850
GO:0043085	0.172229996893	0.830565562689	BP	e	positive regulation of catalytic activity	3/33	107/2451	4	3	OG_12077, OG_12482, OG_13848
GO:0007389	0.238972345231	0.830565562689	BP	e	pattern specification process	3/33	126/2451	2	3	OG_11611, OG_12482, OG_14660
GO:0090304	0.377811366148	0.830565562689	BP	p	nucleic acid metabolic process	4/33	483/2451	5	4	OG_12236, OG_13178, OG_14001, OG_15735
GO:0044260	0.258618815579	0.830565562689	BP	p	cellular macromolecule metabolic process	7/33	764/2451	4	7	OG_12236, OG_13178, OG_13848, OG_14001, OG_15735, OG_16357, OG_17850
GO:0048869	0.345358616955	0.830565562689	BP	p	cellular developmental process	3/33	400/2451	2	3	OG_11611, OG_13178, OG_17064
GO:1901360	0.227579687692	0.830565562689	BP	p	organic cyclic compound metabolic process	5/33	614/2451	3	5	OG_12077, OG_12236, OG_13178, OG_14001, OG_15735
GO:0016043	0.181934729042	0.830565562689	BP	p	cellular component organization	6/33	715/2451	2	6	OG_11611, OG_12077, OG_13178, OG_14660, OG_17064, OG_18364
GO:0050790	0.308824065293	0.830565562689	BP	e	regulation of catalytic activity	4/33	185/2451	3	4	OG_12077, OG_12482, OG_13351, OG_13848
GO:0071704	0.38819809443	0.830565562689	BP	p	organic substance metabolic process	14/33	1226/2451	2	14	OG_11611, OG_12077, OG_12236, OG_13178, OG_13848, OG_13989, OG_14001, OG_14660, OG_15137, OG_15644, OG_15710, OG_15735, OG_16357, OG_17850
GO:0071840	0.179876612756	0.830565562689	BP	p	cellular component organization or biogenesis	6/33	732/2451	1	6	OG_11611, OG_12077, OG_13178, OG_14660, OG_17064, OG_18364
GO:0044093	0.437874999087	0.830565562689	BP	e	positive regulation of molecular function	3/33	143/2451	3	3	OG_12077, OG_12482, OG_13848
GO:0048518	0.423613677014	0.830565562689	BP	p	positive regulation of biological process	6/33	637/2451	3	6	OG_12077, OG_12482, OG_13848, OG_13989, OG_15735, OG_17064
GO:0010468	0.377718665265	0.830565562689	BP	p	regulation of gene expression	4/33	482/2451	5	4	OG_13178, OG_13848, OG_15735, OG_17382
GO:0032502	0.340693285581	0.830565562689	BP	p	developmental process	7/33	748/2451	1	7	OG_11611, OG_13178, OG_13848, OG_14660, OG_15332, OG_15710, OG_17064
GO:0009987	0.0272077846334	0.830565562689	BP	p	cellular process	18/33	1793/2451	1	18	OG_11110, OG_11611, OG_12077, OG_12236, OG_13178, OG_13351, OG_13848, OG_13989, OG_14001, OG_14660, OG_15332, OG_15710, OG_15735, OG_16357, OG_17064, OG_17354, OG_17850, OG_18364
GO:0006629	0.436075451721	0.830565562689	BP	e	lipid metabolic process	3/33	142/2451	3	3	OG_11611, OG_12077, OG_16357
GO:0006139	0.20758081625	0.830565562689	BP	p	nucleobase-containing compound metabolic process	4/33	559/2451	4	4	OG_12236, OG_13178, OG_14001, OG_15735
GO:0060255	0.165791765316	0.830565562689	BP	p	regulation of macromolecule metabolic process	5/33	664/2451	4	5	OG_12482, OG_13178, OG_13848, OG_15735, OG_17382
GO:0009889	0.253314320281	0.830565562689	BP	p	regulation of biosynthetic process	3/33	445/2451	4	3	OG_12077, OG_13178, OG_17382
GO:0006725	0.149458546601	0.830565562689	BP	p	cellular aromatic compound metabolic process	4/33	594/2451	3	4	OG_12236, OG_13178, OG_14001, OG_15735
GO:0048583	0.34539442895	0.830565562689	BP	p	regulation of response to stimulus	3/33	399/2451	3	3	OG_11611, OG_13989, OG_17064
GO:0009058	0.207699259736	0.830565562689	BP	p	biosynthetic process	4/33	533/2451	2	4	OG_12077, OG_13178, OG_14660, OG_17850
GO:0051171	0.105749651848	0.830565562689	BP	p	regulation of nitrogen compound metabolic process	4/33	630/2451	4	4	OG_12077, OG_12482, OG_13178, OG_17382
GO:0008152	0.380064935335	0.830565562689	BP	p	metabolic process	15/33	1325/2451	1	15	OG_11611, OG_12077, OG_12236, OG_13178, OG_13848, OG_13989, OG_14001, OG_14660, OG_15137, OG_15644, OG_15710, OG_15735, OG_16357, OG_17064, OG_17850
GO:0055085	0.422890723847	0.830565562689	BP	e	transmembrane transport	3/33	134/2451	4	3	OG_12077, OG_14095, OG_17354
GO:0046483	0.148389840656	0.830565562689	BP	p	heterocycle metabolic process	4/33	579/2451	3	4	OG_12236, OG_13178, OG_14001, OG_15735
GO:0044238	0.223694533928	0.830565562689	BP	p	primary metabolic process	12/33	1158/2451	2	12	OG_11611, OG_12077, OG_12236, OG_13178, OG_13848, OG_13989, OG_14001, OG_15137, OG_15644, OG_15735, OG_16357, OG_17850
GO:0043412	0.346207016177	0.830565562689	BP	p	macromolecule modification	3/33	392/2451	4	3	OG_12236, OG_16357, OG_17850
GO:1901135	0.253636242582	0.830565562689	BP	e	carbohydrate derivative metabolic process	3/33	130/2451	3	3	OG_14660, OG_15710, OG_17850
GO:0034641	0.0729836090022	0.830565562689	BP	p	cellular nitrogen compound metabolic process	4/33	662/2451	3	4	OG_12236, OG_13178, OG_14001, OG_15735
GO:0044237	0.16011106072	0.830565562689	BP	p	cellular metabolic process	12/33	1219/2451	2	12	OG_11611, OG_12077, OG_12236, OG_13178, OG_13848, OG_13989, OG_14001, OG_15710, OG_15735, OG_16357, OG_17064, OG_17850
GO:0006807	0.380784424034	0.830565562689	BP	p	nitrogen compound metabolic process	12/33	1096/2451	2	12	OG_12236, OG_13178, OG_13848, OG_13989, OG_14001, OG_14660, OG_15137, OG_15644, OG_15710, OG_15735, OG_16357, OG_17850
GO:0050896	0.403146426203	0.830565562689	BP	p	response to stimulus	5/33	559/2451	1	5	OG_11611, OG_12077, OG_13989, OG_17354, OG_17850
GO:0048523	0.377544195126	0.830565562689	BP	p	negative regulation of cellular process	4/33	475/2451	4	4	OG_13178, OG_14660, OG_17064, OG_17382
GO:0009893	0.464013505407	0.852489928538	BP	p	positive regulation of metabolic process	3/33	371/2451	4	3	OG_12077, OG_12482, OG_13848
GO:0010629	0.486397924243	0.873305363982	BP	e	negative regulation of gene expression	3/33	166/2451	6	3	OG_13178, OG_15735, OG_17382
GO:0009605	0.500738395475	0.879074072056	BP	e	response to external stimulus	3/33	172/2451	2	3	OG_11611, OG_12077, OG_17850
