GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1901361	0.0717084714699	0.677972635256	BP	e	organic cyclic compound catabolic process	3/43	43/1894	4	3	OG_11618, OG_11685, OG_14736
GO:0051050	0.049506702224	0.677972635256	BP	e	positive regulation of transport	4/43	62/1894	5	4	OG_12200, OG_12246, OG_16513, OG_18952
GO:0019637	0.0521297691585	0.677972635256	BP	e	organophosphate metabolic process	5/43	91/1894	4	5	OG_11732, OG_12200, OG_13919, OG_14736, OG_18952
GO:0098662	0.00800418255588	0.677972635256	BP	e	inorganic cation transmembrane transport	4/43	36/1894	7	4	OG_12282, OG_13919, OG_15565, OG_18952
GO:0098660	0.021707168859	0.677972635256	BP	e	inorganic ion transmembrane transport	4/43	48/1894	6	4	OG_12282, OG_13919, OG_15565, OG_18952
GO:0072507	0.0177053332783	0.677972635256	BP	e	divalent inorganic cation homeostasis	3/43	25/1894	7	3	OG_12200, OG_15565, OG_18952
GO:0006812	0.0520094173317	0.677972635256	BP	e	cation transport	4/43	63/1894	5	4	OG_12282, OG_13919, OG_15565, OG_18952
GO:0046700	0.0565066261003	0.677972635256	BP	e	heterocycle catabolic process	3/43	39/1894	4	3	OG_11618, OG_11685, OG_14736
GO:0019439	0.0601455251763	0.677972635256	BP	e	aromatic compound catabolic process	3/43	40/1894	4	3	OG_11618, OG_11685, OG_14736
GO:0051336	0.0776141983951	0.677972635256	BP	e	regulation of hydrolase activity	4/43	72/1894	4	4	OG_11685, OG_12902, OG_13669, OG_13762
GO:0044270	0.0529782537319	0.677972635256	BP	e	cellular nitrogen compound catabolic process	3/43	38/1894	4	3	OG_11618, OG_11685, OG_14736
GO:0048869	0.068261177384	0.677972635256	BP	p	cellular developmental process	3/43	338/1894	2	3	OG_12246, OG_13185, OG_18952
GO:0016310	0.0210102596957	0.677972635256	BP	e	phosphorylation	7/43	126/1894	5	7	OG_11732, OG_12013, OG_13919, OG_14736, OG_16513, OG_17240, OG_18952
GO:0055065	0.0462591849954	0.677972635256	BP	e	metal ion homeostasis	3/43	36/1894	7	3	OG_12200, OG_15565, OG_18952
GO:0034655	0.0462591849954	0.677972635256	BP	e	nucleobase-containing compound catabolic process	3/43	36/1894	5	3	OG_11618, OG_11685, OG_14736
GO:0072503	0.0124289532658	0.677972635256	BP	e	cellular divalent inorganic cation homeostasis	3/43	22/1894	8	3	OG_12200, OG_15565, OG_18952
GO:0006875	0.0264142205877	0.677972635256	BP	e	cellular metal ion homeostasis	3/43	29/1894	8	3	OG_12200, OG_15565, OG_18952
GO:0006873	0.0717084714699	0.677972635256	BP	e	cellular ion homeostasis	3/43	43/1894	6	3	OG_12200, OG_15565, OG_18952
GO:0060627	0.0799372781651	0.677972635256	BP	e	regulation of vesicle-mediated transport	3/43	45/1894	5	3	OG_12200, OG_12902, OG_16513
GO:0030003	0.0717084714699	0.677972635256	BP	e	cellular cation homeostasis	3/43	43/1894	7	3	OG_12200, OG_15565, OG_18952
