GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048519	0.000421171925687	0.0555955451104	BP	e	negative regulation of biological process	21/48	483/2311	3	21	OG_10851, OG_12658, OG_12769, OG_12965, OG_13394, OG_13574, OG_13609, OG_13864, OG_14031, OG_15041, OG_15157, OG_15357, OG_16148, OG_16248, OG_16750, OG_16836, OG_17128, OG_17741, OG_17775, OG_18082, OG_18352
GO:0050794	0.000557814833884	0.0555955451104	BP	e	regulation of cellular process	33/48	1001/2311	3	33	OG_10851, OG_11742, OG_11821, OG_12115, OG_12658, OG_12769, OG_12965, OG_13394, OG_13574, OG_13609, OG_13864, OG_13906, OG_14031, OG_14950, OG_15041, OG_15157, OG_16148, OG_16248, OG_16706, OG_16750, OG_16836, OG_16886, OG_17128, OG_17361, OG_17394, OG_17577, OG_17709, OG_17741, OG_17775, OG_18027, OG_18060, OG_18082, OG_18352
GO:0048523	0.000423678995381	0.0555955451104	BP	e	negative regulation of cellular process	19/48	420/2311	4	19	OG_10851, OG_12658, OG_12769, OG_12965, OG_13394, OG_13574, OG_13609, OG_13864, OG_14031, OG_15041, OG_15157, OG_16148, OG_16248, OG_16750, OG_16836, OG_17128, OG_17775, OG_18082, OG_18352
GO:0050789	0.00109725336311	0.0665419856895	BP	e	regulation of biological process	34/48	1088/2311	2	34	OG_10851, OG_11742, OG_11821, OG_12115, OG_12658, OG_12769, OG_12965, OG_13394, OG_13574, OG_13609, OG_13864, OG_13906, OG_14031, OG_14950, OG_15041, OG_15157, OG_15357, OG_16148, OG_16248, OG_16706, OG_16750, OG_16836, OG_16886, OG_17128, OG_17361, OG_17394, OG_17577, OG_17709, OG_17741, OG_17775, OG_18027, OG_18060, OG_18082, OG_18352
GO:0065007	0.00111274223561	0.0665419856895	BP	e	biological regulation	36/48	1189/2311	1	36	OG_10851, OG_11572, OG_11742, OG_11821, OG_12115, OG_12658, OG_12769, OG_12965, OG_13394, OG_13574, OG_13609, OG_13627, OG_13864, OG_13906, OG_14031, OG_14950, OG_15041, OG_15157, OG_15357, OG_16148, OG_16248, OG_16706, OG_16750, OG_16836, OG_16886, OG_17128, OG_17361, OG_17394, OG_17577, OG_17709, OG_17741, OG_17775, OG_18027, OG_18060, OG_18082, OG_18352
GO:0042592	0.0013811167989	0.0688256538118	BP	e	homeostatic process	10/48	162/2311	3	10	OG_10851, OG_11742, OG_11821, OG_12115, OG_13574, OG_13864, OG_14031, OG_14950, OG_17361, OG_18082
GO:0050805	0.0016227715406	0.0693155272342	BP	e	negative regulation of synaptic transmission	3/48	12/2311	7	3	OG_10851, OG_16248, OG_18082
GO:0019725	0.00201260461935	0.0752210976482	BP	e	cellular homeostasis	7/48	89/2311	4	7	OG_10851, OG_11742, OG_11821, OG_12115, OG_14031, OG_17361, OG_18082
GO:0022900	0.00232688512715	0.0773042947798	BP	e	electron transport chain	4/48	28/2311	4	4	OG_11821, OG_12115, OG_17036, OG_17361
GO:0007623	0.0026583211306	0.0794838018049	BP	e	circadian rhythm	4/48	29/2311	2	4	OG_10851, OG_11742, OG_13864, OG_13906
GO:0019222	0.00315446691815	0.0823847524085	BP	e	regulation of metabolic process	23/48	648/2311	3	23	OG_10851, OG_12658, OG_12965, OG_13394, OG_13574, OG_13609, OG_13864, OG_13906, OG_14950, OG_15041, OG_15157, OG_16148, OG_16248, OG_16750, OG_16836, OG_16886, OG_17128, OG_17577, OG_17741, OG_17775, OG_18027, OG_18060, OG_18352
GO:0080134	0.0033064114679	0.0823847524085	BP	e	regulation of response to stress	7/48	97/2311	4	7	OG_12769, OG_13394, OG_13574, OG_13864, OG_15041, OG_15357, OG_16248
GO:0048512	0.00389594572098	0.0832062693266	BP	e	circadian behavior	3/48	16/2311	3	3	OG_10851, OG_11742, OG_13906
GO:0065008	0.00363126562911	0.0832062693266	BP	e	regulation of biological quality	17/48	417/2311	2	17	OG_10851, OG_11572, OG_11742, OG_11821, OG_12115, OG_13574, OG_13609, OG_13627, OG_13864, OG_14031, OG_14950, OG_16248, OG_17361, OG_17741, OG_17775, OG_18027, OG_18082
GO:0007165	0.00621901705878	0.0838845527818	BP	e	signal transduction	14/48	332/2311	4	14	OG_11742, OG_12658, OG_13394, OG_13864, OG_14950, OG_15041, OG_16148, OG_16248, OG_16706, OG_16750, OG_16836, OG_17394, OG_17709, OG_18082
GO:0048511	0.00480981608794	0.0838845527818	BP	e	rhythmic process	4/48	34/2311	1	4	OG_10851, OG_11742, OG_13864, OG_13906
GO:0051052	0.00592609943942	0.0838845527818	BP	e	regulation of DNA metabolic process	4/48	36/2311	6	4	OG_12965, OG_13394, OG_13574, OG_15041
GO:2001020	0.0055136236438	0.0838845527818	BP	e	regulation of response to DNA damage stimulus	3/48	18/2311	6	3	OG_13574, OG_13864, OG_15041
