GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0006606	0.00111798020658	0.155702066047	BP	e	protein import into nucleus	3/37	12/2016	9	3	OG_12466, OG_13237, OG_15330
GO:0051170	0.00143504208338	0.155702066047	BP	e	import into nucleus	3/37	13/2016	7	3	OG_12466, OG_13237, OG_15330
GO:0017038	0.00384296423874	0.166784647961	BP	e	protein import	3/37	18/2016	8	3	OG_12466, OG_13237, OG_15330
GO:0034504	0.00270498428417	0.166784647961	BP	e	protein localization to nucleus	3/37	16/2016	6	3	OG_12466, OG_13237, OG_15330
GO:0032006	0.00384296423874	0.166784647961	BP	e	regulation of TOR signaling	3/37	18/2016	7	3	OG_10931, OG_12466, OG_17903
GO:0051169	0.00991501706315	0.239062078078	BP	e	nuclear transport	3/37	25/2016	5	3	OG_12466, OG_13237, OG_15330
GO:0023051	0.00825340571824	0.239062078078	BP	e	regulation of signaling	12/37	305/2016	3	12	OG_10931, OG_12466, OG_12614, OG_12753, OG_13265, OG_13592, OG_13733, OG_14132, OG_14636, OG_15522, OG_16676, OG_17903
GO:0033365	0.00902889974313	0.239062078078	BP	e	protein localization to organelle	5/37	72/2016	5	5	OG_10931, OG_12466, OG_13237, OG_14041, OG_15330
GO:0006913	0.00991501706315	0.239062078078	BP	e	nucleocytoplasmic transport	3/37	25/2016	6	3	OG_12466, OG_13237, OG_15330
GO:0051276	0.0135985522218	0.295088583213	BP	e	chromosome organization	3/37	28/2016	4	3	OG_12466, OG_14041, OG_16565
GO:1902531	0.0152492201288	0.300825524359	BP	e	regulation of intracellular signal transduction	7/37	147/2016	6	7	OG_10931, OG_12466, OG_13592, OG_14132, OG_15522, OG_16676, OG_17903
GO:0010646	0.018196550549	0.329054289094	BP	e	regulation of cell communication	11/37	302/2016	4	11	OG_10931, OG_12466, OG_12753, OG_13265, OG_13592, OG_13733, OG_14132, OG_14636, OG_15522, OG_16676, OG_17903
GO:0009966	0.023634497465	0.394514303839	BP	e	regulation of signal transduction	10/37	268/2016	5	10	OG_10931, OG_12466, OG_12753, OG_13265, OG_13592, OG_13733, OG_14132, OG_15522, OG_16676, OG_17903
GO:0071496	0.0288063529037	0.446498470007	BP	e	cellular response to external stimulus	3/37	37/2016	3	3	OG_10931, OG_13702, OG_14132
GO:0051716	0.0326091732497	0.471746039679	BP	e	cellular response to stimulus	9/37	236/2016	2	9	OG_10931, OG_12466, OG_12614, OG_13237, OG_13265, OG_13702, OG_14041, OG_14132, OG_15522
GO:1901566	0.0415327155545	0.541819230924	BP	e	organonitrogen compound biosynthetic process	6/37	142/2016	4	6	OG_12230, OG_12753, OG_13702, OG_14636, OG_16907, OG_18184
GO:0072594	0.0424466678604	0.541819230924	BP	e	establishment of protein localization to organelle	3/37	43/2016	6	3	OG_12466, OG_13237, OG_15330
