GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0070646	0.00175153882857	0.1471292616	BP	e	protein modification by small protein removal	3/34	10/1295	8	3	OG_12390, OG_14053, OG_14724
GO:0016579	0.00124845929442	0.1471292616	BP	e	protein deubiquitination	3/34	9/1295	9	3	OG_12390, OG_14053, OG_14724
GO:0042330	0.0181094405406	0.760596502705	BP	e	taxis	3/34	22/1295	2	3	OG_12226, OG_14396, OG_15984
GO:0016197	0.0138955152709	0.760596502705	BP	e	endosomal transport	3/34	20/1295	5	3	OG_11707, OG_12390, OG_14396
GO:0033044	0.0256317989174	0.861228443625	BP	e	regulation of chromosome organization	3/34	25/1295	6	3	OG_14263, OG_15768, OG_18686
GO:0008104	0.782614181649	1.0	BP	e	protein localization	4/34	142/1295	3	4	OG_12390, OG_14396, OG_15984, OG_18686
GO:0080090	0.849898308398	1.0	BP	e	regulation of primary metabolic process	11/34	390/1295	4	11	OG_11674, OG_11937, OG_12886, OG_14263, OG_15629, OG_15731, OG_15768, OG_15984, OG_15991, OG_16911, OG_18686
GO:0019222	1.0	1.0	BP	p	regulation of metabolic process	11/34	437/1295	3	11	OG_11674, OG_11937, OG_12886, OG_14263, OG_15629, OG_15731, OG_15768, OG_15984, OG_15991, OG_16911, OG_18686
GO:0048583	0.494854134255	1.0	BP	p	regulation of response to stimulus	4/34	225/1295	3	4	OG_12390, OG_15984, OG_16456, OG_18686
GO:0044281	0.327394636752	1.0	BP	e	small molecule metabolic process	4/34	100/1295	2	4	OG_13147, OG_15629, OG_15731, OG_17371
GO:1901362	1.0	1.0	BP	p	organic cyclic compound biosynthetic process	5/34	211/1295	4	5	OG_11937, OG_12886, OG_13147, OG_14724, OG_15768
GO:0071840	0.849767398149	1.0	BP	e	cellular component organization or biogenesis	11/34	389/1295	1	11	OG_11707, OG_11937, OG_12226, OG_12390, OG_14263, OG_14348, OG_14396, OG_15768, OG_15984, OG_16456, OG_18686
GO:0010605	0.798550137678	1.0	BP	e	negative regulation of macromolecule metabolic process	5/34	174/1295	5	5	OG_11937, OG_12886, OG_15984, OG_16911, OG_18686
GO:0010604	0.345063861244	1.0	BP	p	positive regulation of macromolecule metabolic process	3/34	212/1295	5	3	OG_12886, OG_15768, OG_16911
GO:0048869	0.138638888896	1.0	BP	e	cellular developmental process	11/34	280/1295	2	11	OG_11674, OG_11707, OG_11937, OG_12226, OG_12390, OG_12886, OG_14053, OG_15768, OG_15984, OG_16456, OG_16911
GO:0070647	0.0413225916861	1.0	BP	e	protein modification by small protein conjugation or removal	4/34	51/1295	7	4	OG_12390, OG_14053, OG_14724, OG_18686
GO:0048513	1.0	1.0	BP	p	animal organ development	4/34	156/1295	3	4	OG_12226, OG_15629, OG_15768, OG_16456
GO:0048518	0.850117321654	1.0	BP	p	positive regulation of biological process	9/34	370/1295	3	9	OG_12226, OG_12390, OG_12886, OG_14396, OG_15629, OG_15768, OG_16456, OG_16911, OG_18686
GO:0048519	0.422581592592	1.0	BP	p	negative regulation of biological process	6/34	325/1295	3	6	OG_11937, OG_12390, OG_12886, OG_15984, OG_16911, OG_18686
GO:0033036	0.789453846436	1.0	BP	e	macromolecule localization	4/34	147/1295	2	4	OG_12390, OG_14396, OG_15984, OG_18686
GO:0060255	0.578298942197	1.0	BP	p	regulation of macromolecule metabolic process	9/34	415/1295	4	9	OG_11674, OG_11937, OG_12886, OG_14263, OG_15768, OG_15984, OG_15991, OG_16911, OG_18686
GO:0045184	0.738768594144	1.0	BP	e	establishment of protein localization	3/34	98/1295	4	3	OG_12390, OG_14396, OG_15984
GO:0003006	0.760185210441	1.0	BP	e	developmental process involved in reproduction	3/34	109/1295	2	3	OG_11674, OG_15984, OG_16911
GO:0042221	1.0	1.0	BP	p	response to chemical	3/34	115/1295	2	3	OG_12886, OG_14396, OG_15629
