GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:1903203	6.64907856694e-06	0.00104390533501	BP	e	regulation of oxidative stress-induced neuron death	3/32	3/1649	8	3	OG_12464, OG_14538, OG_17718
GO:1903201	0.000127781430986	0.00866115289923	BP	e	regulation of oxidative stress-induced cell death	3/32	6/1649	7	3	OG_12464, OG_14538, OG_17718
GO:1900407	0.000220666315904	0.00866115289923	BP	e	regulation of cellular response to oxidative stress	3/32	7/1649	6	3	OG_12464, OG_14538, OG_17718
GO:1902882	0.000220666315904	0.00866115289923	BP	e	regulation of response to oxidative stress	3/32	7/1649	5	3	OG_12464, OG_14538, OG_17718
GO:1901214	0.00209146791243	0.0656720924503	BP	e	regulation of neuron death	3/32	14/1649	5	3	OG_12464, OG_14538, OG_17718
GO:0006979	0.00254673420269	0.0666395449704	BP	e	response to oxidative stress	4/32	31/1649	3	4	OG_11746, OG_12464, OG_13783, OG_17718
GO:0007264	0.0114283774785	0.256322180589	BP	e	small GTPase mediated signal transduction	3/32	25/1649	6	3	OG_12177, OG_14775, OG_15108
GO:0001709	0.0172253546402	0.300486742057	BP	e	cell fate determination	3/32	29/1649	3	3	OG_12177, OG_14775, OG_17505
GO:0008038	0.0172253546402	0.300486742057	BP	e	neuron recognition	3/32	29/1649	3	3	OG_13901, OG_14775, OG_17505
GO:0044260	0.0205042822342	0.321917231077	BP	p	cellular macromolecule metabolic process	4/32	511/1649	4	4	OG_12174, OG_13445, OG_15781, OG_16424
GO:0035107	0.0264172884247	0.345626190223	BP	e	appendage morphogenesis	3/32	34/1649	3	3	OG_14775, OG_15108, OG_17505
GO:0008037	0.0244042453724	0.345626190223	BP	e	cell recognition	3/32	33/1649	2	3	OG_13901, OG_14775, OG_17505
GO:0045165	0.0329802306213	0.398299708273	BP	e	cell fate commitment	3/32	37/1649	3	3	OG_13445, OG_14775, OG_17505
GO:0035556	0.0374409015741	0.419872967652	BP	e	intracellular signal transduction	5/32	98/1649	5	5	OG_12177, OG_14775, OG_15108, OG_16424, OG_17718
GO:0007165	0.0488505505915	0.473242102463	BP	e	signal transduction	9/32	252/1649	4	9	OG_12177, OG_13245, OG_14775, OG_15108, OG_15116, OG_16424, OG_16724, OG_17505, OG_17718
GO:1902531	0.0535240427576	0.473242102463	BP	e	regulation of intracellular signal transduction	5/32	108/1649	6	5	OG_13245, OG_14775, OG_15108, OG_15587, OG_17505
GO:0023052	0.0513039718701	0.473242102463	BP	e	signaling	3/32	44/1649	1	3	OG_15116, OG_15559, OG_17718
GO:0030029	0.0542570563333	0.473242102463	BP	e	actin filament-based process	3/32	45/1649	2	3	OG_12177, OG_15781, OG_18549
GO:0080135	0.0636013781171	0.52496520807	BP	e	regulation of cellular response to stress	3/32	48/1649	5	3	OG_12464, OG_14538, OG_17718
GO:1901701	0.0668745487987	0.52496520807	BP	e	cellular response to oxygen-containing compound	3/32	49/1649	4	3	OG_12464, OG_15587, OG_17718
GO:0006950	0.0704523954917	0.5267155282	BP	e	response to stress	8/32	227/1649	2	8	OG_11746, OG_12177, OG_12464, OG_13783, OG_14775, OG_15108, OG_15587, OG_17718
GO:0090407	0.0771541229344	0.550599877305	BP	e	organophosphate biosynthetic process	3/32	52/1649	5	3	OG_13783, OG_16724, OG_17532
GO:0035239	0.0807301251465	0.551070854261	BP	e	tube morphogenesis	3/32	53/1649	3	3	OG_14775, OG_15908, OG_17505
GO:0007610	0.0927743555713	0.585554974988	BP	e	behavior	4/32	90/1649	1	4	OG_12464, OG_15116, OG_15559, OG_17505
GO:0048583	0.0969708875776	0.585554974988	BP	e	regulation of response to stimulus	9/32	280/1649	3	9	OG_12177, OG_12464, OG_13245, OG_14538, OG_14775, OG_15108, OG_15587, OG_17505, OG_17718
GO:0010564	0.0957484229899	0.585554974988	BP	e	regulation of cell cycle process	3/32	57/1649	5	3	OG_12177, OG_14775, OG_18549
GO:0071840	0.11501666028	0.63257858156	BP	p	cellular component organization or biogenesis	5/32	484/1649	1	5	OG_12177, OG_14775, OG_15108, OG_15587, OG_15781
GO:0016043	0.117220096759	0.63257858156	BP	p	cellular component organization	5/32	466/1649	2	5	OG_12177, OG_14775, OG_15108, OG_15587, OG_15781
GO:0009886	0.128933214076	0.63257858156	BP	e	post-embryonic animal morphogenesis	3/32	65/1649	3	3	OG_14775, OG_15108, OG_17505
GO:1902533	0.111845907716	0.63257858156	BP	e	positive regulation of intracellular signal transduction	3/32	61/1649	7	3	OG_14775, OG_15587, OG_17505
GO:0050896	0.127433129075	0.63257858156	BP	e	response to stimulus	11/32	362/1649	1	11	OG_11746, OG_12177, OG_12464, OG_13783, OG_14775, OG_15108, OG_15116, OG_15559, OG_15587, OG_16724, OG_17718
GO:0007154	0.124573639575	0.63257858156	BP	e	cell communication	3/32	64/1649	2	3	OG_15116, OG_15587, OG_17718
GO:0043170	0.141767014487	0.674467311347	BP	p	macromolecule metabolic process	8/32	639/1649	3	8	OG_12174, OG_13445, OG_15781, OG_15908, OG_16424, OG_16834, OG_17532, OG_18006
GO:0071704	0.152038247947	0.702058968461	BP	p	organic substance metabolic process	11/32	796/1649	2	11	OG_11452, OG_12174, OG_13445, OG_13783, OG_15781, OG_15908, OG_16424, OG_16724, OG_16834, OG_17532, OG_18006
GO:0045597	0.160936249692	0.721914034333	BP	e	positive regulation of cell differentiation	3/32	72/1649	5	3	OG_13445, OG_15587, OG_15908
GO:0009887	0.175365618325	0.731128626292	BP	e	animal organ morphogenesis	3/32	75/1649	3	3	OG_13901, OG_15908, OG_17505
GO:0009653	0.176961068784	0.731128626292	BP	e	anatomical structure morphogenesis	7/32	215/1649	2	7	OG_12177, OG_13901, OG_14775, OG_15108, OG_15587, OG_15908, OG_17505
GO:0032989	0.17051274123	0.731128626292	BP	e	cellular component morphogenesis	3/32	74/1649	3	3	OG_12177, OG_15108, OG_15587
GO:0048584	0.187364085053	0.735404033833	BP	e	positive regulation of response to stimulus	5/32	141/1649	4	5	OG_12464, OG_14775, OG_15587, OG_17505, OG_17718
GO:0022603	0.185193166845	0.735404033833	BP	e	regulation of anatomical structure morphogenesis	3/32	77/1649	4	3	OG_15108, OG_15587, OG_18549
