GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0007610	0.00806379221678	0.218792980084	BP	e	behavior	5/24	90/1649	1	5	OG_11467, OG_12774, OG_15621, OG_17439, OG_17709
GO:0010638	0.0152187370024	0.218792980084	BP	e	positive regulation of organelle organization	3/24	37/1649	6	3	OG_12773, OG_14722, OG_16778
GO:0009890	0.025170873815	0.218792980084	BP	e	negative regulation of biosynthetic process	5/24	119/1649	5	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0051130	0.0249479014329	0.218792980084	BP	e	positive regulation of cellular component organization	4/24	79/1649	5	4	OG_10879, OG_12773, OG_14722, OG_16778
GO:0010558	0.020526727853	0.218792980084	BP	e	negative regulation of macromolecule biosynthetic process	5/24	113/1649	6	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0000122	0.00237428531149	0.218792980084	BP	e	negative regulation of transcription by RNA polymerase II	5/24	68/1649	11	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:1903507	0.0130401035914	0.218792980084	BP	e	negative regulation of nucleic acid-templated transcription	5/24	101/1649	9	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0045892	0.0125173993145	0.218792980084	BP	e	negative regulation of transcription, DNA-templated	5/24	100/1649	10	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0051253	0.0158806137463	0.218792980084	BP	e	negative regulation of RNA metabolic process	5/24	106/1649	7	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0031327	0.0243528484059	0.218792980084	BP	e	negative regulation of cellular biosynthetic process	5/24	118/1649	6	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:2000113	0.0198132338348	0.218792980084	BP	e	negative regulation of cellular macromolecule biosynthetic process	5/24	112/1649	7	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0045934	0.0177733055812	0.218792980084	BP	e	negative regulation of nucleobase-containing compound metabolic process	5/24	109/1649	6	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:1902679	0.0130401035914	0.218792980084	BP	e	negative regulation of RNA biosynthetic process	5/24	101/1649	8	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:0000226	0.0413172612383	0.333489322852	BP	e	microtubule cytoskeleton organization	3/24	54/1649	5	3	OG_10879, OG_16778, OG_18075
GO:0010629	0.0479191578824	0.360990989381	BP	e	negative regulation of gene expression	5/24	141/1649	6	5	OG_13970, OG_14510, OG_14722, OG_16329, OG_17439
GO:2001141	0.0648580682007	0.366448085334	BP	e	regulation of RNA biosynthetic process	8/24	303/1649	7	8	OG_11467, OG_13970, OG_14510, OG_14722, OG_15621, OG_15991, OG_16329, OG_17439
