GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008104	0.619531340991	0.91693898329	BP	p	protein localization	3/48	187/1927	3	3	OG_12669, OG_13010, OG_18177
GO:0080090	0.411196604446	0.91693898329	BP	p	regulation of primary metabolic process	10/48	516/1927	4	10	OG_11912, OG_12800, OG_13010, OG_13842, OG_14515, OG_15454, OG_16891, OG_16975, OG_17165, OG_18189
GO:0019222	0.340019663753	0.91693898329	BP	p	regulation of metabolic process	11/48	573/1927	3	11	OG_11912, OG_12800, OG_13010, OG_13842, OG_14408, OG_14515, OG_15454, OG_16891, OG_16975, OG_17165, OG_18189
GO:0048584	0.610065027118	0.91693898329	BP	e	positive regulation of response to stimulus	5/48	171/1927	4	5	OG_12769, OG_12800, OG_14305, OG_14515, OG_15454
GO:0048468	0.535501322549	0.91693898329	BP	e	cell development	4/48	119/1927	3	4	OG_13010, OG_13784, OG_14408, OG_18189
GO:0007610	0.321710695355	0.91693898329	BP	e	behavior	4/48	103/1927	1	4	OG_12481, OG_13663, OG_13842, OG_15639
GO:0006820	0.155073149095	0.91693898329	BP	e	anion transport	3/48	55/1927	5	3	OG_12481, OG_15639, OG_16539
GO:0007165	0.0279747671357	0.91693898329	BP	e	signal transduction	14/48	319/1927	4	14	OG_11912, OG_12216, OG_12727, OG_12800, OG_13010, OG_13245, OG_14305, OG_14408, OG_14515, OG_15630, OG_16539, OG_16891, OG_17165, OG_17854
GO:0007166	0.561288758991	0.91693898329	BP	e	cell surface receptor signaling pathway	4/48	130/1927	5	4	OG_11912, OG_12800, OG_14305, OG_14408
GO:0007167	0.0845824844462	0.91693898329	BP	e	enzyme linked receptor protein signaling pathway	3/48	42/1927	6	3	OG_12800, OG_14305, OG_14408
GO:1901362	0.300261936541	0.91693898329	BP	p	organic cyclic compound biosynthetic process	4/48	285/1927	4	4	OG_13328, OG_15454, OG_16975, OG_17165
GO:0071840	0.259557000086	0.91693898329	BP	p	cellular component organization or biogenesis	10/48	560/1927	1	10	OG_12800, OG_13010, OG_13107, OG_13589, OG_13842, OG_14305, OG_17040, OG_17165, OG_17854, OG_18189
GO:0051716	0.648465463101	0.91693898329	BP	p	cellular response to stimulus	4/48	225/1927	2	4	OG_13107, OG_14305, OG_14515, OG_17854
GO:0010605	0.357528219436	0.91693898329	BP	p	negative regulation of macromolecule metabolic process	3/48	212/1927	5	3	OG_13842, OG_14408, OG_15454
GO:0010604	0.670977479998	0.91693898329	BP	p	positive regulation of macromolecule metabolic process	5/48	255/1927	5	5	OG_11912, OG_12800, OG_13010, OG_14515, OG_17165
GO:0009966	0.522570332796	0.91693898329	BP	e	regulation of signal transduction	8/48	263/1927	5	8	OG_12481, OG_12727, OG_12769, OG_12800, OG_13245, OG_13589, OG_14515, OG_15454
GO:0048869	0.693458021065	0.91693898329	BP	e	cellular developmental process	9/48	319/1927	2	9	OG_11912, OG_12800, OG_13010, OG_13784, OG_13842, OG_14408, OG_14515, OG_15639, OG_18189
GO:0070647	0.434705956996	0.91693898329	BP	e	protein modification by small protein conjugation or removal	3/48	76/1927	7	3	OG_12769, OG_13784, OG_14110
GO:0048513	0.799236975154	0.91693898329	BP	e	animal organ development	5/48	179/1927	3	5	OG_12477, OG_14515, OG_15454, OG_17165, OG_17854
GO:0044093	0.752260849729	0.91693898329	BP	e	positive regulation of molecular function	3/48	110/1927	3	3	OG_12800, OG_13245, OG_14515
GO:0048518	0.505968848679	0.91693898329	BP	p	positive regulation of biological process	10/48	504/1927	3	10	OG_11912, OG_12769, OG_12800, OG_13010, OG_13469, OG_14305, OG_14515, OG_15454, OG_15576, OG_17165
GO:0048519	0.494196900113	0.91693898329	BP	p	negative regulation of biological process	9/48	455/1927	3	9	OG_12769, OG_12800, OG_13107, OG_13245, OG_13842, OG_14408, OG_15454, OG_15576, OG_18189
GO:0003008	0.0624255768116	0.91693898329	BP	e	system process	6/48	115/1927	2	6	OG_12477, OG_13663, OG_13842, OG_15639, OG_16202, OG_18635
GO:0051056	0.0469101023148	0.91693898329	BP	e	regulation of small GTPase mediated signal transduction	3/48	33/1927	7	3	OG_12727, OG_12800, OG_13245
GO:0060255	0.622464247494	0.91693898329	BP	p	regulation of macromolecule metabolic process	11/48	524/1927	4	11	OG_11912, OG_12800, OG_13010, OG_13842, OG_14408, OG_14515, OG_15454, OG_16891, OG_16975, OG_17165, OG_18189
GO:0048583	0.703284221708	0.91693898329	BP	e	regulation of response to stimulus	9/48	333/1927	3	9	OG_12481, OG_12727, OG_12769, OG_12800, OG_13245, OG_13589, OG_14305, OG_14515, OG_15454
GO:0015711	0.131682420699	0.91693898329	BP	e	organic anion transport	3/48	51/1927	6	3	OG_12481, OG_15639, OG_16539
GO:0003006	0.403309779363	0.91693898329	BP	e	developmental process involved in reproduction	5/48	145/1927	2	5	OG_13010, OG_13784, OG_14515, OG_15639, OG_18635
GO:0032268	0.473359112558	0.91693898329	BP	p	regulation of cellular protein metabolic process	3/48	196/1927	6	3	OG_12800, OG_13842, OG_14515
GO:0030163	0.149102843426	0.91693898329	BP	e	protein catabolic process	3/48	54/1927	5	3	OG_12769, OG_13010, OG_14110
GO:2001141	0.325917798566	0.91693898329	BP	p	regulation of RNA biosynthetic process	5/48	312/1927	7	5	OG_11912, OG_15454, OG_16891, OG_16975, OG_17165
GO:0097485	0.252014447901	0.91693898329	BP	e	neuron projection guidance	3/48	70/1927	3	3	OG_12800, OG_13245, OG_14408
GO:0051704	0.51061263322	0.91693898329	BP	e	multi-organism process	3/48	95/1927	1	3	OG_14080, OG_16202, OG_18189
GO:0044248	0.61794606314	0.91693898329	BP	p	cellular catabolic process	3/48	178/1927	3	3	OG_12769, OG_13010, OG_14110
GO:0065008	0.702766244425	0.91693898329	BP	p	regulation of biological quality	7/48	339/1927	2	7	OG_12216, OG_12481, OG_13589, OG_13784, OG_14305, OG_14515, OG_16202
GO:1901564	0.740028657483	0.91693898329	BP	p	organonitrogen compound metabolic process	11/48	495/1927	3	11	OG_12216, OG_12769, OG_13010, OG_13784, OG_14080, OG_14110, OG_14408, OG_14515, OG_15920, OG_16202, OG_17703
GO:1901565	0.448407459565	0.91693898329	BP	e	organonitrogen compound catabolic process	3/48	80/1927	4	3	OG_12769, OG_13010, OG_14110
GO:0048870	0.144381060325	0.91693898329	BP	e	cell motility	4/48	82/1927	3	4	OG_12800, OG_13010, OG_14305, OG_18635
GO:0010638	0.143212132156	0.91693898329	BP	e	positive regulation of organelle organization	3/48	53/1927	6	3	OG_12800, OG_14305, OG_14515
GO:0002376	0.501618240844	0.91693898329	BP	e	immune system process	3/48	93/1927	1	3	OG_12800, OG_14305, OG_18189
GO:0019438	0.395713548145	0.91693898329	BP	p	aromatic compound biosynthetic process	4/48	269/1927	4	4	OG_13328, OG_15454, OG_16975, OG_17165
GO:0022607	0.265313286344	0.91693898329	BP	p	cellular component assembly	3/48	234/1927	3	3	OG_13010, OG_13589, OG_17165
GO:0009892	0.265313286344	0.91693898329	BP	p	negative regulation of metabolic process	3/48	234/1927	4	3	OG_13842, OG_14408, OG_15454
GO:0009893	0.536573569604	0.91693898329	BP	p	positive regulation of metabolic process	5/48	287/1927	4	5	OG_11912, OG_12800, OG_13010, OG_14515, OG_17165
GO:0009891	0.618046264322	0.91693898329	BP	p	positive regulation of biosynthetic process	3/48	177/1927	5	3	OG_11912, OG_14515, OG_17165
GO:0006928	0.286303216843	0.91693898329	BP	e	movement of cell or subcellular component	6/48	161/1927	2	6	OG_12800, OG_13010, OG_13245, OG_14305, OG_14408, OG_18635
GO:0035556	0.123112928533	0.91693898329	BP	e	intracellular signal transduction	6/48	124/1927	5	6	OG_12800, OG_13010, OG_14515, OG_16891, OG_17165, OG_17854
GO:0042981	0.746932135227	0.91693898329	BP	e	regulation of apoptotic process	3/48	107/1927	6	3	OG_12769, OG_14110, OG_14515
