GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:2000146	0.0025708416249	0.0880513256528	BP	e	negative regulation of cell motility	3/36	14/1731	6	3	OG_11751, OG_15418, OG_17131
GO:0051271	0.0025708416249	0.0880513256528	BP	e	negative regulation of cellular component movement	3/36	14/1731	5	3	OG_11751, OG_15418, OG_17131
GO:0030336	0.00159905678444	0.0880513256528	BP	e	negative regulation of cell migration	3/36	12/1731	7	3	OG_11751, OG_15418, OG_17131
GO:0040013	0.0025708416249	0.0880513256528	BP	e	negative regulation of locomotion	3/36	14/1731	4	3	OG_11751, OG_15418, OG_17131
GO:0050789	0.0187829203739	0.389113425713	BP	p	regulation of biological process	11/36	866/1731	2	11	OG_11751, OG_12482, OG_13150, OG_14231, OG_14603, OG_15319, OG_15332, OG_15418, OG_16097, OG_16284, OG_17131
GO:0065007	0.0169683852003	0.389113425713	BP	p	biological regulation	12/36	932/1731	1	12	OG_11262, OG_11751, OG_12482, OG_13150, OG_14231, OG_14603, OG_15319, OG_15332, OG_15418, OG_16097, OG_16284, OG_17131
GO:0032502	0.0276711978159	0.389113425713	BP	p	developmental process	5/36	534/1731	1	5	OG_11751, OG_14231, OG_15332, OG_15418, OG_16625
GO:0051270	0.0252573872715	0.389113425713	BP	e	regulation of cellular component movement	4/36	55/1731	4	4	OG_11751, OG_14231, OG_15418, OG_17131
GO:1901135	0.0227051469359	0.389113425713	BP	e	carbohydrate derivative metabolic process	5/36	80/1731	3	5	OG_11644, OG_11693, OG_11751, OG_15319, OG_17107
GO:0040012	0.0284024398331	0.389113425713	BP	e	regulation of locomotion	4/36	57/1731	3	4	OG_11751, OG_14231, OG_15418, OG_17131
GO:0006520	0.0368568735508	0.459035606951	BP	e	cellular amino acid metabolic process	3/36	36/1731	6	3	OG_11644, OG_15207, OG_17131
GO:0048518	0.0879372205391	0.463767355758	BP	p	positive regulation of biological process	5/36	461/1731	3	5	OG_11751, OG_12482, OG_14603, OG_15319, OG_15418
GO:0043436	0.0811182222013	0.463767355758	BP	e	oxoacid metabolic process	4/36	80/1731	4	4	OG_11644, OG_15207, OG_15526, OG_17131
GO:1901564	0.0880142426986	0.463767355758	BP	e	organonitrogen compound metabolic process	14/36	456/1731	3	14	OG_11262, OG_11644, OG_11693, OG_11751, OG_13094, OG_13521, OG_14231, OG_15050, OG_15207, OG_15319, OG_15526, OG_16284, OG_17107, OG_17131
GO:0051186	0.0753952035785	0.463767355758	BP	e	cofactor metabolic process	3/36	48/1731	3	3	OG_11644, OG_15526, OG_17131
GO:0050794	0.0638475207242	0.463767355758	BP	p	regulation of cellular process	11/36	799/1731	3	11	OG_11751, OG_12482, OG_13150, OG_14231, OG_14603, OG_15319, OG_15332, OG_15418, OG_16097, OG_16284, OG_17131
GO:2000145	0.06805529125	0.463767355758	BP	e	regulation of cell motility	3/36	46/1731	5	3	OG_11751, OG_15418, OG_17131
GO:0006753	0.0716817708153	0.463767355758	BP	e	nucleoside phosphate metabolic process	3/36	47/1731	6	3	OG_11644, OG_15319, OG_17107
GO:0043603	0.0725228952042	0.463767355758	BP	e	cellular amide metabolic process	4/36	77/1731	4	4	OG_11262, OG_11644, OG_13521, OG_17131
GO:0017144	0.0830769713571	0.463767355758	BP	e	drug metabolic process	3/36	50/1731	3	3	OG_11644, OG_11693, OG_17131
GO:0019752	0.067072958047	0.463767355758	BP	e	carboxylic acid metabolic process	4/36	75/1731	5	4	OG_11644, OG_15207, OG_15526, OG_17131
GO:0006082	0.0811182222013	0.463767355758	BP	e	organic acid metabolic process	4/36	80/1731	3	4	OG_11644, OG_15207, OG_15526, OG_17131
GO:0030334	0.0544466236391	0.463767355758	BP	e	regulation of cell migration	3/36	42/1731	6	3	OG_11751, OG_15418, OG_17131
GO:0009117	0.0716817708153	0.463767355758	BP	e	nucleotide metabolic process	3/36	47/1731	7	3	OG_11644, OG_15319, OG_17107
GO:0048856	0.0627777959068	0.463767355758	BP	p	anatomical structure development	3/36	372/1731	2	3	OG_11751, OG_15332, OG_16625
GO:0048522	0.0762408019513	0.463767355758	BP	p	positive regulation of cellular process	4/36	412/1731	4	4	OG_11751, OG_12482, OG_14603, OG_15319
GO:0034641	0.0950042018725	0.482058357649	BP	e	cellular nitrogen compound metabolic process	15/36	499/1731	3	15	OG_11262, OG_11644, OG_11693, OG_13521, OG_13649, OG_14603, OG_15050, OG_15207, OG_15319, OG_15418, OG_16097, OG_16139, OG_16284, OG_17107, OG_17131
GO:0048519	0.108255296882	0.494365855761	BP	p	negative regulation of biological process	4/36	400/1731	3	4	OG_11751, OG_14231, OG_15418, OG_17131
GO:0055086	0.103694405261	0.494365855761	BP	e	nucleobase-containing small molecule metabolic process	3/36	55/1731	5	3	OG_11644, OG_15319, OG_17107
GO:0010468	0.108227532979	0.494365855761	BP	p	regulation of gene expression	4/36	396/1731	5	4	OG_14231, OG_15418, OG_16097, OG_16284
GO:0044281	0.118133869765	0.522075488961	BP	e	small molecule metabolic process	6/36	147/1731	2	6	OG_11644, OG_15207, OG_15319, OG_15526, OG_17107, OG_17131
GO:0065008	0.131704919622	0.532073468332	BP	p	regulation of biological quality	3/36	317/1731	2	3	OG_11262, OG_12482, OG_15418
GO:0051338	0.130857258502	0.532073468332	BP	e	regulation of transferase activity	3/36	61/1731	4	3	OG_12482, OG_14603, OG_15418
GO:0051252	0.132047430097	0.532073468332	BP	p	regulation of RNA metabolic process	3/36	335/1731	6	3	OG_14231, OG_16097, OG_16284
GO:2001141	0.18400111197	0.547240451354	BP	p	regulation of RNA biosynthetic process	3/36	303/1731	7	3	OG_14231, OG_16097, OG_16284
GO:0046483	0.174323790195	0.547240451354	BP	e	heterocycle metabolic process	13/36	442/1731	3	13	OG_11644, OG_11693, OG_13649, OG_14603, OG_15050, OG_15207, OG_15319, OG_15418, OG_16097, OG_16139, OG_16284, OG_17107, OG_17131
GO:0019637	0.202398225121	0.547240451354	BP	e	organophosphate metabolic process	3/36	75/1731	4	3	OG_11644, OG_15319, OG_17107
GO:0050790	0.19369934422	0.547240451354	BP	e	regulation of catalytic activity	5/36	134/1731	3	5	OG_12482, OG_14603, OG_15319, OG_15418, OG_17131
GO:0009889	0.211706160013	0.547240451354	BP	p	regulation of biosynthetic process	4/36	363/1731	4	4	OG_14231, OG_14603, OG_16097, OG_16284
GO:0006355	0.184226859318	0.547240451354	BP	p	regulation of transcription, DNA-templated	3/36	300/1731	9	3	OG_14231, OG_16097, OG_16284
