GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0008104	0.695307371365	1.0	BP	p	protein localization	6/66	272/2376	3	6	OG_12815, OG_13010, OG_16518, OG_16856, OG_17600, OG_18590
GO:0019220	0.19274975318	1.0	BP	e	regulation of phosphate metabolic process	7/66	152/2376	6	7	OG_11663, OG_11664, OG_12077, OG_13703, OG_15772, OG_16863, OG_18553
GO:0080090	0.390094956863	1.0	BP	e	regulation of primary metabolic process	20/66	606/2376	4	20	OG_11398, OG_11664, OG_11895, OG_11912, OG_12020, OG_12077, OG_12105, OG_12397, OG_13010, OG_13055, OG_13446, OG_13632, OG_13703, OG_14625, OG_14912, OG_15497, OG_15772, OG_16863, OG_17600, OG_18553
GO:0019222	0.269355852455	1.0	BP	e	regulation of metabolic process	23/66	679/2376	3	23	OG_11398, OG_11663, OG_11664, OG_11895, OG_11907, OG_11912, OG_12020, OG_12077, OG_12105, OG_12397, OG_13010, OG_13055, OG_13446, OG_13632, OG_13703, OG_14625, OG_14912, OG_15497, OG_15772, OG_16339, OG_16863, OG_17600, OG_18553
GO:0051049	0.466844761699	1.0	BP	e	regulation of transport	6/66	169/2376	4	6	OG_11895, OG_11907, OG_12077, OG_12815, OG_17600, OG_18553
GO:0032386	0.13376627429	1.0	BP	e	regulation of intracellular transport	3/66	46/2376	5	3	OG_11895, OG_11907, OG_17600
GO:0048584	0.148032512863	1.0	BP	e	positive regulation of response to stimulus	8/66	176/2376	4	8	OG_11663, OG_11895, OG_12397, OG_12531, OG_13703, OG_15497, OG_16518, OG_16863
GO:0048468	0.280101390661	1.0	BP	e	cell development	6/66	140/2376	3	6	OG_11495, OG_12397, OG_12531, OG_13010, OG_16273, OG_16863
GO:0007610	0.787468596168	1.0	BP	e	behavior	4/66	135/2376	1	4	OG_11495, OG_12604, OG_16437, OG_17335
GO:0007165	0.213353719971	1.0	BP	e	signal transduction	13/66	342/2376	4	13	OG_11664, OG_11675, OG_11895, OG_11912, OG_12105, OG_12397, OG_13010, OG_13150, OG_14194, OG_16437, OG_16518, OG_17335, OG_18553
GO:0007166	1.0	1.0	BP	p	cell surface receptor signaling pathway	4/66	152/2376	5	4	OG_11895, OG_11912, OG_12397, OG_16518
GO:1901576	1.0	1.0	BP	p	organic substance biosynthetic process	14/66	506/2376	3	14	OG_11398, OG_12020, OG_12059, OG_12077, OG_12105, OG_13055, OG_13632, OG_13834, OG_14625, OG_15175, OG_15772, OG_16462, OG_16770, OG_19027
GO:1901362	0.858138026642	1.0	BP	e	organic cyclic compound biosynthetic process	10/66	340/2376	4	10	OG_11398, OG_12020, OG_12077, OG_12105, OG_13055, OG_13632, OG_14625, OG_15772, OG_16462, OG_19027
GO:1901360	1.0	1.0	BP	e	organic cyclic compound metabolic process	17/66	608/2376	3	17	OG_11398, OG_11907, OG_12020, OG_12077, OG_12105, OG_12121, OG_12435, OG_13055, OG_13446, OG_13632, OG_14625, OG_14912, OG_15772, OG_16339, OG_16462, OG_17283, OG_19027
GO:1901361	0.194923063866	1.0	BP	e	organic cyclic compound catabolic process	3/66	55/2376	4	3	OG_12077, OG_16339, OG_19027
GO:0051716	0.431157172585	1.0	BP	p	cellular response to stimulus	5/66	268/2376	2	5	OG_12020, OG_12105, OG_15772, OG_16437, OG_17680
GO:0010605	1.0	1.0	BP	p	negative regulation of macromolecule metabolic process	6/66	240/2376	5	6	OG_11398, OG_11664, OG_12020, OG_13703, OG_15497, OG_16339
GO:0010604	0.712721333085	1.0	BP	e	positive regulation of macromolecule metabolic process	10/66	318/2376	5	10	OG_11664, OG_11912, OG_12105, OG_12397, OG_13010, OG_13703, OG_14625, OG_15497, OG_15772, OG_16863
GO:0009968	1.0	1.0	BP	p	negative regulation of signal transduction	4/66	144/2376	6	4	OG_11398, OG_13703, OG_15497, OG_15772
GO:0009966	0.43886830707	1.0	BP	e	regulation of signal transduction	10/66	284/2376	5	10	OG_11398, OG_11895, OG_12397, OG_12531, OG_13703, OG_15497, OG_15772, OG_16518, OG_16863, OG_17335
GO:0009967	0.101125276414	1.0	BP	e	positive regulation of signal transduction	7/66	137/2376	6	7	OG_11895, OG_12397, OG_12531, OG_13703, OG_15497, OG_16518, OG_16863
GO:0043043	0.422422224481	1.0	BP	e	peptide biosynthetic process	3/66	64/2376	6	3	OG_12059, OG_13834, OG_15175
GO:0032446	0.481267625386	1.0	BP	e	protein modification by small protein conjugation	3/66	79/2376	8	3	OG_11895, OG_16518, OG_17680
GO:0048513	0.653263931659	1.0	BP	p	animal organ development	4/66	194/2376	3	4	OG_11663, OG_12397, OG_12477, OG_16518
GO:0044093	0.606205818773	1.0	BP	e	positive regulation of molecular function	5/66	150/2376	3	5	OG_11895, OG_12077, OG_13703, OG_15772, OG_16863
GO:0044092	0.292752425409	1.0	BP	e	negative regulation of molecular function	4/66	84/2376	3	4	OG_11663, OG_13703, OG_15497, OG_18553
GO:0048518	0.884584901727	1.0	BP	p	positive regulation of biological process	15/66	582/2376	3	15	OG_11663, OG_11664, OG_11895, OG_11912, OG_12077, OG_12105, OG_12397, OG_12531, OG_13010, OG_13703, OG_14625, OG_15497, OG_15772, OG_16518, OG_16863
GO:0048519	0.446659079131	1.0	BP	p	negative regulation of biological process	11/66	511/2376	3	11	OG_11398, OG_11663, OG_11664, OG_12020, OG_12105, OG_12397, OG_13703, OG_15497, OG_15772, OG_16339, OG_18553
GO:0033036	0.696518143073	1.0	BP	p	macromolecule localization	6/66	278/2376	2	6	OG_12815, OG_13010, OG_16518, OG_16856, OG_17600, OG_18590
GO:0048585	1.0	1.0	BP	p	negative regulation of response to stimulus	4/66	171/2376	4	4	OG_11398, OG_13703, OG_15497, OG_15772
GO:0040011	1.0	1.0	BP	p	locomotion	3/66	118/2376	1	3	OG_12077, OG_13010, OG_18702
GO:0019725	0.326144049913	1.0	BP	e	cellular homeostasis	4/66	93/2376	4	4	OG_11495, OG_15772, OG_15979, OG_16462
GO:0060255	0.477207459953	1.0	BP	e	regulation of macromolecule metabolic process	20/66	621/2376	4	20	OG_11398, OG_11664, OG_11895, OG_11907, OG_11912, OG_12020, OG_12105, OG_12397, OG_13010, OG_13055, OG_13446, OG_13632, OG_13703, OG_14625, OG_14912, OG_15497, OG_15772, OG_16339, OG_16863, OG_17600
GO:0048583	0.600753107884	1.0	BP	e	regulation of response to stimulus	11/66	351/2376	3	11	OG_11398, OG_11663, OG_11895, OG_12397, OG_12531, OG_13703, OG_15497, OG_15772, OG_16518, OG_16863, OG_17335
GO:0007281	0.209377404807	1.0	BP	e	germ cell development	3/66	57/2376	4	3	OG_13010, OG_16273, OG_16863
GO:0003006	0.622367512135	1.0	BP	p	developmental process involved in reproduction	3/66	159/2376	2	3	OG_13010, OG_16273, OG_16863
GO:0032268	0.310674783763	1.0	BP	p	regulation of cellular protein metabolic process	4/66	256/2376	6	4	OG_11664, OG_13703, OG_15497, OG_16863
GO:0003002	0.246483180353	1.0	BP	e	regionalization	3/66	62/2376	3	3	OG_12397, OG_13010, OG_18702
GO:0022412	1.0	1.0	BP	p	cellular process involved in reproduction in multicellular organism	4/66	168/2376	2	4	OG_13010, OG_15955, OG_16273, OG_16863
GO:2001141	0.106301467881	1.0	BP	e	regulation of RNA biosynthetic process	14/66	337/2376	7	14	OG_11398, OG_11664, OG_11895, OG_11912, OG_12020, OG_12105, OG_12397, OG_13055, OG_13632, OG_13703, OG_14625, OG_15497, OG_15772, OG_17600
GO:0009628	1.0	1.0	BP	p	response to abiotic stimulus	3/66	123/2376	2	3	OG_11180, OG_11495, OG_11895
GO:0010033	0.807790685668	1.0	BP	e	response to organic substance	5/66	169/2376	3	5	OG_11664, OG_12077, OG_14194, OG_15772, OG_16437
GO:0046483	0.884556875292	1.0	BP	e	heterocycle metabolic process	16/66	566/2376	3	16	OG_11398, OG_11907, OG_12020, OG_12105, OG_12121, OG_12435, OG_13055, OG_13446, OG_13632, OG_14625, OG_14912, OG_15772, OG_16339, OG_16462, OG_17283, OG_19027
GO:0042325	0.424791646147	1.0	BP	e	regulation of phosphorylation	5/66	136/2376	7	5	OG_11664, OG_13703, OG_15772, OG_16863, OG_18553
GO:0023056	0.207563824811	1.0	BP	e	positive regulation of signaling	7/66	160/2376	4	7	OG_11895, OG_12397, OG_12531, OG_13703, OG_15497, OG_16518, OG_16863
GO:0042327	0.158177922505	1.0	BP	e	positive regulation of phosphorylation	4/66	76/2376	8	4	OG_11664, OG_13703, OG_15772, OG_16863
GO:0042326	0.187796018526	1.0	BP	e	negative regulation of phosphorylation	3/66	54/2376	8	3	OG_11664, OG_13703, OG_18553
GO:1901564	0.334484243571	1.0	BP	p	organonitrogen compound metabolic process	15/66	678/2376	3	15	OG_11895, OG_12059, OG_12121, OG_12815, OG_13010, OG_13703, OG_13834, OG_15175, OG_15497, OG_15899, OG_16462, OG_16518, OG_17680, OG_18702, OG_19027
GO:0016192	0.131161345144	1.0	BP	e	vesicle-mediated transport	8/66	164/2376	4	8	OG_12077, OG_12531, OG_13674, OG_16518, OG_16856, OG_16863, OG_17600, OG_18553
GO:1901566	1.0	1.0	BP	p	organonitrogen compound biosynthetic process	4/66	168/2376	4	4	OG_12059, OG_13834, OG_15175, OG_16462
GO:0048870	0.739071722596	1.0	BP	e	cell motility	3/66	91/2376	3	3	OG_12077, OG_13010, OG_18702
GO:0019538	0.547541478509	1.0	BP	p	protein metabolic process	12/66	514/2376	4	12	OG_11895, OG_12059, OG_12815, OG_13010, OG_13703, OG_13834, OG_15175, OG_15497, OG_15899, OG_16518, OG_17680, OG_18702
GO:0034641	0.779266770365	1.0	BP	e	cellular nitrogen compound metabolic process	19/66	645/2376	3	19	OG_11398, OG_11907, OG_12020, OG_12059, OG_12105, OG_12121, OG_12435, OG_13055, OG_13446, OG_13632, OG_13834, OG_14625, OG_14912, OG_15175, OG_15772, OG_16339, OG_16462, OG_17283, OG_19027
GO:0048878	0.209659920769	1.0	BP	e	chemical homeostasis	5/66	104/2376	4	5	OG_11495, OG_11664, OG_12077, OG_15979, OG_19027
GO:0002376	1.0	1.0	BP	p	immune system process	3/66	110/2376	1	3	OG_11895, OG_12397, OG_18553
GO:0033554	0.481073178367	1.0	BP	p	cellular response to stress	3/66	184/2376	3	3	OG_12020, OG_12105, OG_17680
GO:0019438	1.0	1.0	BP	e	aromatic compound biosynthetic process	9/66	321/2376	4	9	OG_11398, OG_12020, OG_12105, OG_13055, OG_13632, OG_14625, OG_15772, OG_16462, OG_19027
GO:1901135	1.0	1.0	BP	p	carbohydrate derivative metabolic process	3/66	133/2376	3	3	OG_12121, OG_16462, OG_19027
GO:0044281	0.403456100377	1.0	BP	p	small molecule metabolic process	4/66	239/2376	2	4	OG_12077, OG_12121, OG_16462, OG_19027
GO:0009896	0.21669609718	1.0	BP	e	positive regulation of catabolic process	3/66	58/2376	5	3	OG_11664, OG_13010, OG_15497
GO:0009894	0.122232331615	1.0	BP	e	regulation of catabolic process	6/66	109/2376	4	6	OG_11664, OG_12077, OG_13010, OG_13703, OG_15497, OG_18553
GO:0022607	0.579589090875	1.0	BP	e	cellular component assembly	10/66	311/2376	3	10	OG_12105, OG_13010, OG_13834, OG_15955, OG_16273, OG_16339, OG_16340, OG_17600, OG_18590, OG_18702
GO:0009892	0.841945808256	1.0	BP	e	negative regulation of metabolic process	8/66	265/2376	4	8	OG_11398, OG_11663, OG_11664, OG_12020, OG_13703, OG_15497, OG_16339, OG_18553
GO:0009893	0.72470530639	1.0	BP	e	positive regulation of metabolic process	11/66	353/2376	4	11	OG_11664, OG_11912, OG_12077, OG_12105, OG_12397, OG_13010, OG_13703, OG_14625, OG_15497, OG_15772, OG_16863
GO:0009890	0.579768962601	1.0	BP	e	negative regulation of biosynthetic process	4/66	122/2376	5	4	OG_11398, OG_11664, OG_12020, OG_15497
GO:0009891	0.241802486236	1.0	BP	e	positive regulation of biosynthetic process	8/66	189/2376	5	8	OG_11664, OG_11912, OG_12077, OG_12105, OG_13703, OG_14625, OG_15497, OG_15772
GO:0001932	1.0	1.0	BP	p	regulation of protein phosphorylation	3/66	122/2376	8	3	OG_11664, OG_13703, OG_16863
GO:0006928	1.0	1.0	BP	p	movement of cell or subcellular component	5/66	181/2376	2	5	OG_12077, OG_12531, OG_13010, OG_16273, OG_18702
GO:0008152	0.316573670023	1.0	BP	p	metabolic process	31/66	1277/2376	1	31	OG_11398, OG_11895, OG_11907, OG_12020, OG_12059, OG_12077, OG_12105, OG_12121, OG_12435, OG_12815, OG_13010, OG_13055, OG_13446, OG_13632, OG_13703, OG_13834, OG_14625, OG_14912, OG_15175, OG_15497, OG_15772, OG_15899, OG_16339, OG_16462, OG_16518, OG_16770, OG_17283, OG_17680, OG_18553, OG_18702, OG_19027
GO:0032940	0.104126370349	1.0	BP	e	secretion by cell	4/66	65/2376	5	4	OG_12815, OG_13674, OG_16856, OG_17600
GO:0010628	0.34925728069	1.0	BP	e	positive regulation of gene expression	7/66	184/2376	6	7	OG_11664, OG_11912, OG_12105, OG_12397, OG_13703, OG_14625, OG_15772
GO:1902679	0.753825164577	1.0	BP	e	negative regulation of RNA biosynthetic process	3/66	99/2376	8	3	OG_11398, OG_11664, OG_12020
GO:0035556	0.169061615012	1.0	BP	e	intracellular signal transduction	6/66	129/2376	5	6	OG_11664, OG_11895, OG_12105, OG_13010, OG_14194, OG_18553
GO:0050789	0.708143195645	1.0	BP	e	regulation of biological process	33/66	1123/2376	2	33	OG_11180, OG_11398, OG_11663, OG_11664, OG_11675, OG_11895, OG_11907, OG_11912, OG_12020, OG_12077, OG_12105, OG_12397, OG_12531, OG_12815, OG_13010, OG_13055, OG_13150, OG_13446, OG_13632, OG_13703, OG_14194, OG_14625, OG_14912, OG_15497, OG_15772, OG_16339, OG_16437, OG_16462, OG_16518, OG_16863, OG_17335, OG_17600, OG_18553
GO:0097659	0.509523606119	1.0	BP	e	nucleic acid-templated transcription	7/66	207/2376	8	7	OG_11398, OG_12020, OG_12105, OG_13055, OG_13632, OG_14625, OG_15772
