GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0030335	0.00860483152974	0.310254067786	BP	e	positive regulation of cell migration	3/21	40/1919	7	3	OG_12301, OG_13960, OG_15479
GO:0051272	0.0112140024501	0.310254067786	BP	e	positive regulation of cellular component movement	3/21	44/1919	5	3	OG_12301, OG_13960, OG_15479
GO:2000147	0.00985835951854	0.310254067786	BP	e	positive regulation of cell motility	3/21	42/1919	6	3	OG_12301, OG_13960, OG_15479
GO:0007275	0.0195723151586	0.324900431633	BP	e	multicellular organism development	4/21	98/1919	3	4	OG_12937, OG_13960, OG_15110, OG_15768
GO:0040017	0.0159089786621	0.324900431633	BP	e	positive regulation of locomotion	3/21	50/1919	4	3	OG_12301, OG_13960, OG_15479
GO:0030334	0.0345015528246	0.41524108473	BP	e	regulation of cell migration	3/21	67/1919	6	3	OG_12301, OG_13960, OG_15479
GO:0009888	0.0372081857672	0.41524108473	BP	e	tissue development	3/21	69/1919	3	3	OG_13714, OG_15110, OG_15768
GO:2000145	0.0400232370824	0.41524108473	BP	e	regulation of cell motility	3/21	71/1919	5	3	OG_12301, OG_13960, OG_15479
GO:0032501	0.0579553080852	0.437299142825	BP	e	multicellular organismal process	8/21	397/1919	1	8	OG_12436, OG_12937, OG_13147, OG_13714, OG_13960, OG_15110, OG_15768, OG_18389
GO:0051270	0.0523531909386	0.437299142825	BP	e	regulation of cellular component movement	3/21	79/1919	4	3	OG_12301, OG_13960, OG_15479
GO:0040012	0.0574099470825	0.437299142825	BP	e	regulation of locomotion	3/21	82/1919	3	3	OG_12301, OG_13960, OG_15479
GO:1901566	0.112687836155	0.779424200072	BP	e	organonitrogen compound biosynthetic process	3/21	109/1919	4	3	OG_12890, OG_13147, OG_15682
GO:0008104	0.725257056474	1.0	BP	e	protein localization	3/21	219/1919	3	3	OG_12436, OG_15514, OG_18389
GO:0034645	0.517225348231	1.0	BP	e	cellular macromolecule biosynthetic process	4/21	263/1919	5	4	OG_12890, OG_15682, OG_15768, OG_17432
GO:0019222	0.245725871914	1.0	BP	p	regulation of metabolic process	4/21	612/1919	3	4	OG_12301, OG_15768, OG_17432, OG_18389
GO:0031326	0.595078599491	1.0	BP	p	regulation of cellular biosynthetic process	3/21	402/1919	5	3	OG_15768, OG_17432, OG_18389
GO:0031323	0.344815145565	1.0	BP	p	regulation of cellular metabolic process	4/21	569/1919	4	4	OG_12301, OG_15768, OG_17432, OG_18389
GO:0006139	1.0	1.0	BP	p	nucleobase-containing compound metabolic process	4/21	424/1919	4	4	OG_13085, OG_13147, OG_15768, OG_17432
GO:0008152	1.0	1.0	BP	e	metabolic process	11/21	965/1919	1	11	OG_12301, OG_12890, OG_13085, OG_13147, OG_13714, OG_13960, OG_15682, OG_15768, OG_16892, OG_17432, OG_18389
GO:0044249	0.592280678875	1.0	BP	e	cellular biosynthetic process	5/21	385/1919	3	5	OG_12890, OG_13147, OG_15682, OG_15768, OG_17432
GO:0034641	0.800440714355	1.0	BP	e	cellular nitrogen compound metabolic process	6/21	484/1919	3	6	OG_12890, OG_13085, OG_13147, OG_15682, OG_15768, OG_17432
GO:0006807	0.825528402701	1.0	BP	p	nitrogen compound metabolic process	8/21	811/1919	2	8	OG_12301, OG_12890, OG_13085, OG_13147, OG_13960, OG_15682, OG_15768, OG_17432
GO:0007165	1.0	1.0	BP	e	signal transduction	4/21	349/1919	4	4	OG_12301, OG_12937, OG_15479, OG_17690
GO:0007166	0.246574811208	1.0	BP	e	cell surface receptor signaling pathway	3/21	158/1919	5	3	OG_12301, OG_12937, OG_15479
GO:0071840	1.0	1.0	BP	p	cellular component organization or biogenesis	6/21	584/1919	1	6	OG_12436, OG_12937, OG_13714, OG_15110, OG_15479, OG_15768
GO:0009653	0.520616133324	1.0	BP	e	anatomical structure morphogenesis	4/21	267/1919	2	4	OG_12436, OG_12937, OG_13714, OG_15768
GO:1901362	1.0	1.0	BP	p	organic cyclic compound biosynthetic process	3/21	278/1919	4	3	OG_13147, OG_15768, OG_17432
GO:2000112	0.783122087372	1.0	BP	p	regulation of cellular macromolecule biosynthetic process	3/21	383/1919	6	3	OG_15768, OG_17432, OG_18389
GO:0080090	0.46748277247	1.0	BP	p	regulation of primary metabolic process	4/21	552/1919	4	4	OG_12301, OG_15768, OG_17432, OG_18389
GO:0044267	0.763022418473	1.0	BP	e	cellular protein metabolic process	4/21	308/1919	5	4	OG_12301, OG_12890, OG_13960, OG_15682
GO:0090304	0.782112059672	1.0	BP	p	nucleic acid metabolic process	3/21	373/1919	5	3	OG_13085, OG_15768, OG_17432
GO:0051234	1.0	1.0	BP	p	establishment of localization	4/21	400/1919	2	4	OG_15029, OG_15110, OG_15514, OG_18389
GO:0044260	0.811549644887	1.0	BP	e	cellular macromolecule metabolic process	7/21	578/1919	4	7	OG_12301, OG_12890, OG_13714, OG_13960, OG_15682, OG_15768, OG_17432
GO:0071704	0.826929058035	1.0	BP	p	organic substance metabolic process	9/21	906/1919	2	9	OG_12301, OG_12890, OG_13085, OG_13147, OG_13714, OG_13960, OG_15682, OG_15768, OG_17432
GO:0048869	1.0	1.0	BP	p	cellular developmental process	3/21	340/1919	2	3	OG_12436, OG_15479, OG_15768
GO:0046483	0.799508906363	1.0	BP	p	heterocycle metabolic process	4/21	436/1919	3	4	OG_13085, OG_13147, OG_15768, OG_17432
GO:0051246	0.738889847956	1.0	BP	e	regulation of protein metabolic process	3/21	239/1919	5	3	OG_12301, OG_15768, OG_18389
