GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0010921	0.00017666764952	0.0376302093478	BP	e	regulation of phosphatase activity	4/46	13/1919	8	4	OG_13408, OG_15257, OG_17721, OG_18569
GO:0035303	0.000426516816587	0.0454240409665	BP	e	regulation of dephosphorylation	4/46	16/1919	7	4	OG_13408, OG_15257, OG_17721, OG_18569
GO:0051017	0.000979501465734	0.0695446040671	BP	e	actin filament bundle assembly	3/46	9/1919	6	3	OG_11988, OG_13198, OG_17871
GO:0061572	0.00137583991932	0.0732634757038	BP	e	actin filament bundle organization	3/46	10/1919	5	3	OG_11988, OG_13198, OG_17871
GO:0044262	0.0039011151679	0.13848958846	BP	e	cellular carbohydrate metabolic process	3/46	14/1919	4	3	OG_13576, OG_14750, OG_17721
GO:0051346	0.00338906107963	0.13848958846	BP	e	negative regulation of hydrolase activity	4/46	27/1919	5	4	OG_13131, OG_13408, OG_16798, OG_18569
GO:0007169	0.00878824847469	0.254219726115	BP	e	transmembrane receptor protein tyrosine kinase signaling pathway	4/46	35/1919	7	4	OG_11988, OG_13198, OG_13576, OG_14123
GO:0050821	0.00954815872734	0.254219726115	BP	e	protein stabilization	3/46	19/1919	4	3	OG_13408, OG_14920, OG_15257
GO:0006793	0.0126596057474	0.299610669355	BP	e	phosphorus metabolic process	11/46	207/1919	3	11	OG_12393, OG_12449, OG_13198, OG_13408, OG_13576, OG_14750, OG_15257, OG_16798, OG_17860, OG_17908, OG_18431
GO:0051336	0.0167185758301	0.323732422892	BP	e	regulation of hydrolase activity	6/46	88/1919	4	6	OG_13131, OG_13408, OG_15257, OG_16798, OG_17721, OG_18569
GO:0005975	0.0153056640318	0.323732422892	BP	e	carbohydrate metabolic process	4/46	41/1919	3	4	OG_13576, OG_14750, OG_15564, OG_17721
GO:0007167	0.022605240262	0.373401167887	BP	e	enzyme linked receptor protein signaling pathway	4/46	46/1919	6	4	OG_11988, OG_13198, OG_13576, OG_14123
GO:0007391	0.022789742641	0.373401167887	BP	e	dorsal closure	3/46	26/1919	6	3	OG_11988, OG_12393, OG_13198
GO:0006796	0.0257501826401	0.391770635882	BP	e	phosphate-containing compound metabolic process	10/46	206/1919	4	10	OG_12393, OG_12449, OG_13198, OG_13408, OG_14750, OG_15257, OG_16798, OG_17860, OG_17908, OG_18431
GO:0016331	0.0304681721265	0.405607541434	BP	e	morphogenesis of embryonic epithelium	3/46	29/1919	5	3	OG_11988, OG_12393, OG_13198
GO:0007265	0.0304681721265	0.405607541434	BP	e	Ras protein signal transduction	3/46	29/1919	7	3	OG_12393, OG_12636, OG_13198
GO:0031647	0.0332956614995	0.417175052905	BP	e	regulation of protein stability	3/46	30/1919	3	3	OG_13408, OG_14920, OG_15257
GO:0007281	0.0381254483236	0.427406341733	BP	e	germ cell development	4/46	54/1919	4	4	OG_12780, OG_14123, OG_14920, OG_17076
GO:0007015	0.0362561538513	0.427406341733	BP	e	actin filament organization	3/46	31/1919	4	3	OG_11988, OG_13198, OG_17871
GO:0019941	0.0427707135376	0.43381723731	BP	e	modification-dependent protein catabolic process	4/46	56/1919	7	4	OG_13408, OG_13490, OG_14474, OG_17705
GO:0006511	0.0427707135376	0.43381723731	BP	e	ubiquitin-dependent protein catabolic process	4/46	56/1919	8	4	OG_13408, OG_13490, OG_14474, OG_17705
GO:0043632	0.0477255565474	0.462070161118	BP	e	modification-dependent macromolecule catabolic process	4/46	58/1919	6	4	OG_13408, OG_13490, OG_14474, OG_17705
GO:0019637	0.0541028089917	0.474883980846	BP	e	organophosphate metabolic process	5/46	87/1919	4	5	OG_12449, OG_13408, OG_14750, OG_17860, OG_18431
GO:0043086	0.0557375564373	0.474883980846	BP	e	negative regulation of catalytic activity	4/46	61/1919	4	4	OG_13131, OG_13408, OG_16798, OG_18569
GO:0007264	0.0530156482346	0.474883980846	BP	e	small GTPase mediated signal transduction	3/46	36/1919	6	3	OG_12393, OG_12636, OG_13198
GO:0051603	0.0644403965471	0.527915556328	BP	e	proteolysis involved in cellular protein catabolic process	4/46	64/1919	6	4	OG_13408, OG_13490, OG_14474, OG_17705
GO:0048598	0.0804513707942	0.634671925154	BP	e	embryonic morphogenesis	4/46	69/1919	3	4	OG_11988, OG_12393, OG_13198, OG_17705
GO:0051252	0.085542641785	0.650735096436	BP	p	regulation of RNA metabolic process	4/46	359/1919	6	4	OG_12393, OG_14474, OG_17076, OG_17128
GO:0009889	0.099391664043	0.684515375839	BP	p	regulation of biosynthetic process	5/46	405/1919	4	5	OG_12393, OG_13198, OG_14474, OG_17076, OG_17128
GO:0031326	0.0996243035258	0.684515375839	BP	p	regulation of cellular biosynthetic process	5/46	402/1919	5	5	OG_12393, OG_13198, OG_14474, OG_17076, OG_17128
GO:0002009	0.0945728213882	0.684515375839	BP	e	morphogenesis of an epithelium	4/46	73/1919	4	4	OG_11988, OG_12393, OG_13198, OG_13576
GO:0019220	0.167326623023	0.68539559046	BP	e	regulation of phosphate metabolic process	6/46	150/1919	6	6	OG_13198, OG_13408, OG_14750, OG_15257, OG_17721, OG_18569
