GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0019220	0.0111545100271	0.435353432875	BP	e	regulation of phosphate metabolic process	5/22	57/872	6	5	OG_12835, OG_13954, OG_15700, OG_16836, OG_17662
GO:0080090	0.113826763062	0.435353432875	BP	e	regulation of primary metabolic process	12/22	318/872	4	12	OG_11531, OG_12702, OG_12835, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17662, OG_17838, OG_17840
GO:0019222	0.0747430938749	0.435353432875	BP	e	regulation of metabolic process	13/22	342/872	3	13	OG_11531, OG_12702, OG_12835, OG_13259, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17662, OG_17838, OG_17840
GO:0048583	0.0967451778425	0.435353432875	BP	e	regulation of response to stimulus	7/22	158/872	3	7	OG_12702, OG_13954, OG_15700, OG_16505, OG_16836, OG_17662, OG_17838
GO:0071840	0.152052692368	0.435353432875	BP	p	cellular component organization or biogenesis	3/22	255/872	1	3	OG_13954, OG_15110, OG_16331
GO:0009966	0.062887693367	0.435353432875	BP	e	regulation of signal transduction	7/22	133/872	5	7	OG_12702, OG_13954, OG_15700, OG_16505, OG_16836, OG_17662, OG_17838
GO:0009967	0.0886196876529	0.435353432875	BP	e	positive regulation of signal transduction	4/22	69/872	6	4	OG_13954, OG_15700, OG_17662, OG_17838
GO:0042127	0.116904768425	0.435353432875	BP	e	regulation of cell population proliferation	4/22	76/872	4	4	OG_12702, OG_15700, OG_16505, OG_16836
GO:0060255	0.120961391749	0.435353432875	BP	e	regulation of macromolecule metabolic process	12/22	331/872	4	12	OG_11531, OG_12702, OG_12835, OG_13259, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17838, OG_17840
GO:2001141	0.0856061804312	0.435353432875	BP	e	regulation of RNA biosynthetic process	10/22	238/872	7	10	OG_11531, OG_12702, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17838, OG_17840
GO:0010033	0.0442566156755	0.435353432875	BP	e	response to organic substance	4/22	55/872	3	4	OG_13259, OG_15700, OG_16331, OG_17662
GO:0042325	0.126722019565	0.435353432875	BP	e	regulation of phosphorylation	3/22	50/872	7	3	OG_13954, OG_15700, OG_16836
GO:0009892	0.158190167104	0.435353432875	BP	e	negative regulation of metabolic process	7/22	162/872	4	7	OG_12702, OG_12835, OG_15700, OG_16331, OG_16505, OG_16836, OG_17840
GO:0009893	0.165470605673	0.435353432875	BP	e	positive regulation of metabolic process	7/22	168/872	4	7	OG_11531, OG_12702, OG_13954, OG_15700, OG_16836, OG_17662, OG_17840
GO:0009890	0.195317545822	0.435353432875	BP	e	negative regulation of biosynthetic process	5/22	115/872	5	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0009891	0.102455778314	0.435353432875	BP	e	positive regulation of biosynthetic process	6/22	117/872	5	6	OG_11531, OG_12702, OG_13954, OG_15700, OG_17662, OG_17840
GO:0016043	0.151794878122	0.435353432875	BP	p	cellular component organization	3/22	252/872	2	3	OG_13954, OG_15110, OG_16331
GO:0009886	0.201381843319	0.435353432875	BP	e	post-embryonic animal morphogenesis	3/22	62/872	3	3	OG_12702, OG_17838, OG_17840
GO:0050790	0.208073331889	0.435353432875	BP	e	regulation of catalytic activity	3/22	63/872	3	3	OG_12835, OG_15700, OG_17662
GO:0009889	0.0535762715119	0.435353432875	BP	e	regulation of biosynthetic process	11/22	254/872	4	11	OG_11531, OG_12702, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17662, OG_17838, OG_17840
GO:0050794	0.197848547735	0.435353432875	BP	e	regulation of cellular process	15/22	469/872	3	15	OG_11531, OG_11821, OG_12702, OG_12790, OG_12835, OG_13259, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17662, OG_17838, OG_17840
GO:1902531	0.208073331889	0.435353432875	BP	e	regulation of intracellular signal transduction	3/22	63/872	6	3	OG_13954, OG_15700, OG_16836
GO:1902679	0.175205282138	0.435353432875	BP	e	negative regulation of RNA biosynthetic process	5/22	107/872	8	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0006355	0.0851938678142	0.435353432875	BP	e	regulation of transcription, DNA-templated	10/22	237/872	9	10	OG_11531, OG_12702, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17838, OG_17840
GO:0010557	0.189727087028	0.435353432875	BP	e	positive regulation of macromolecule biosynthetic process	5/22	113/872	6	5	OG_11531, OG_12702, OG_13954, OG_15700, OG_17840
GO:0010556	0.0931318825123	0.435353432875	BP	e	regulation of macromolecule biosynthetic process	10/22	249/872	5	10	OG_11531, OG_12702, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17838, OG_17840
GO:0010558	0.189727087028	0.435353432875	BP	e	negative regulation of macromolecule biosynthetic process	5/22	113/872	6	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0023056	0.096305049485	0.435353432875	BP	e	positive regulation of signaling	4/22	71/872	4	4	OG_13954, OG_15700, OG_17662, OG_17838
GO:0070887	0.0995154889569	0.435353432875	BP	e	cellular response to chemical stimulus	3/22	45/872	3	3	OG_13259, OG_16331, OG_17662
GO:0023051	0.0735116622624	0.435353432875	BP	e	regulation of signaling	7/22	144/872	3	7	OG_12702, OG_13954, OG_15700, OG_16505, OG_16836, OG_17662, OG_17838
GO:0010647	0.096305049485	0.435353432875	BP	e	positive regulation of cell communication	4/22	71/872	5	4	OG_13954, OG_15700, OG_17662, OG_17838
GO:0010646	0.0735116622624	0.435353432875	BP	e	regulation of cell communication	7/22	144/872	4	7	OG_12702, OG_13954, OG_15700, OG_16505, OG_16836, OG_17662, OG_17838
GO:0000122	0.0375279553913	0.435353432875	BP	e	negative regulation of transcription by RNA polymerase II	5/22	77/872	11	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0031399	0.067552071924	0.435353432875	BP	e	regulation of protein modification process	4/22	63/872	7	4	OG_12835, OG_13954, OG_15700, OG_16836
GO:1903508	0.182031564551	0.435353432875	BP	e	positive regulation of nucleic acid-templated transcription	5/22	110/872	9	5	OG_11531, OG_12702, OG_13954, OG_15700, OG_17840
GO:0008285	0.0430170113877	0.435353432875	BP	e	negative regulation of cell population proliferation	3/22	32/872	5	3	OG_15700, OG_16505, OG_16836
GO:1903506	0.0856061804312	0.435353432875	BP	e	regulation of nucleic acid-templated transcription	10/22	238/872	8	10	OG_11531, OG_12702, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17838, OG_17840
GO:1903507	0.175205282138	0.435353432875	BP	e	negative regulation of nucleic acid-templated transcription	5/22	107/872	9	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0045892	0.171160159253	0.435353432875	BP	e	negative regulation of transcription, DNA-templated	5/22	105/872	10	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0045893	0.182031564551	0.435353432875	BP	e	positive regulation of transcription, DNA-templated	5/22	110/872	10	5	OG_11531, OG_12702, OG_13954, OG_15700, OG_17840
GO:0032268	0.148857865696	0.435353432875	BP	e	regulation of cellular protein metabolic process	4/22	83/872	6	4	OG_12835, OG_13954, OG_15700, OG_16836
GO:0051253	0.179657273515	0.435353432875	BP	e	negative regulation of RNA metabolic process	5/22	109/872	7	5	OG_12702, OG_15700, OG_16331, OG_16505, OG_17840
GO:0051252	0.100729740495	0.435353432875	BP	e	regulation of RNA metabolic process	10/22	256/872	6	10	OG_11531, OG_12702, OG_13954, OG_15461, OG_15700, OG_16331, OG_16505, OG_16836, OG_17838, OG_17840
