GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0009790	0.00316562916903	0.123459537592	BP	e	embryo development	3/16	22/1115	4	3	OG_12343, OG_16855, OG_17869
GO:0009792	0.00316562916903	0.123459537592	BP	e	embryo development ending in birth or egg hatching	3/16	22/1115	5	3	OG_12343, OG_16855, OG_17869
GO:0015833	0.0160854566047	0.215714836463	BP	e	peptide transport	4/16	72/1115	6	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0042886	0.0185039484923	0.215714836463	BP	e	amide transport	4/16	75/1115	5	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0071702	0.0177839787509	0.215714836463	BP	e	organic substance transport	5/16	114/1115	4	5	OG_12605, OG_14214, OG_14528, OG_18579, OG_19024
GO:0045184	0.0193590237851	0.215714836463	BP	e	establishment of protein localization	4/16	76/1115	4	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0015031	0.0160854566047	0.215714836463	BP	e	protein transport	4/16	72/1115	7	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0048878	0.0224172785036	0.21856846541	BP	e	chemical homeostasis	3/16	44/1115	4	3	OG_12605, OG_14214, OG_19024
GO:0071705	0.0328123659056	0.284373837849	BP	e	nitrogen compound transport	4/16	89/1115	4	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0008104	0.064289996128	0.417884974832	BP	e	protein localization	4/16	110/1115	3	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0006811	0.0614120423226	0.417884974832	BP	e	ion transport	3/16	65/1115	4	3	OG_12605, OG_14214, OG_19024
GO:0055085	0.0637704708953	0.417884974832	BP	e	transmembrane transport	3/16	66/1115	4	3	OG_12605, OG_14214, OG_19024
GO:0042592	0.101179031057	0.437089348915	BP	e	homeostatic process	3/16	80/1115	3	3	OG_12605, OG_14214, OG_19024
GO:0007275	0.0869099719161	0.437089348915	BP	e	multicellular organism development	3/16	75/1115	3	3	OG_12343, OG_16855, OG_17869
GO:1902531	0.0869099719161	0.437089348915	BP	e	regulation of intracellular signal transduction	3/16	75/1115	6	3	OG_12605, OG_16304, OG_16855
GO:0009966	0.117677901631	0.437089348915	BP	e	regulation of signal transduction	4/16	135/1115	5	4	OG_12343, OG_12605, OG_16304, OG_16855
GO:0033036	0.0736070456252	0.437089348915	BP	e	macromolecule localization	4/16	115/1115	2	4	OG_12605, OG_14528, OG_18579, OG_19024
GO:0006810	0.0976974157601	0.437089348915	BP	e	transport	6/16	211/1115	3	6	OG_12605, OG_14214, OG_14528, OG_16855, OG_18579, OG_19024
GO:0050790	0.113270115652	0.437089348915	BP	e	regulation of catalytic activity	3/16	84/1115	3	3	OG_12343, OG_16304, OG_16855
GO:0051234	0.10301597513	0.437089348915	BP	e	establishment of localization	6/16	218/1115	2	6	OG_12605, OG_14214, OG_14528, OG_16855, OG_18579, OG_19024
