GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0061162	3.59996230081e-05	0.00207597826013	BP	e	establishment of monopolar cell polarity	3/41	4/1914	4	3	OG_13549, OG_15633, OG_15829
GO:0035089	3.59996230081e-05	0.00207597826013	BP	e	establishment of apical/basal cell polarity	3/41	4/1914	5	3	OG_13549, OG_15633, OG_15829
GO:0061339	3.59996230081e-05	0.00207597826013	BP	e	establishment or maintenance of monopolar cell polarity	3/41	4/1914	3	3	OG_13549, OG_15633, OG_15829
GO:0045197	0.000987070097343	0.0341526253681	BP	e	establishment or maintenance of epithelial cell apical/basal polarity	3/41	10/1914	5	3	OG_13549, OG_15633, OG_15829
GO:0030010	0.000987070097343	0.0341526253681	BP	e	establishment of cell polarity	3/41	10/1914	3	3	OG_13549, OG_15633, OG_15829
GO:0061245	0.00175629768256	0.0434056427261	BP	e	establishment or maintenance of bipolar cell polarity	3/41	12/1914	3	3	OG_13549, OG_15633, OG_15829
GO:0035088	0.00175629768256	0.0434056427261	BP	e	establishment or maintenance of apical/basal cell polarity	3/41	12/1914	4	3	OG_13549, OG_15633, OG_15829
GO:0007162	0.00282034478633	0.0542132942261	BP	e	negative regulation of cell adhesion	3/41	14/1914	5	3	OG_12610, OG_15633, OG_15829
GO:0016073	0.00282034478633	0.0542132942261	BP	e	snRNA metabolic process	3/41	14/1914	8	3	OG_14220, OG_15247, OG_15946
GO:0031123	0.00347321159959	0.0600865606729	BP	e	RNA 3'-end processing	3/41	15/1914	8	3	OG_13739, OG_14220, OG_15247
GO:0007163	0.0058724152129	0.0923570756211	BP	e	establishment or maintenance of cell polarity	4/41	35/1914	2	4	OG_13549, OG_15633, OG_15829, OG_16191
GO:0008152	0.00668288661841	0.0963449487487	BP	p	metabolic process	12/41	971/1914	1	12	OG_11412, OG_11881, OG_13445, OG_13571, OG_13739, OG_13922, OG_14220, OG_15247, OG_15622, OG_15635, OG_15946, OG_15950
GO:0099003	0.00807764220184	0.107494776994	BP	e	vesicle-mediated transport in synapse	3/41	20/1914	5	3	OG_14747, OG_16064, OG_17323
GO:0060491	0.0105924234626	0.117088791677	BP	e	regulation of cell projection assembly	3/41	22/1914	6	3	OG_15633, OG_16134, OG_16191
GO:0120032	0.0105924234626	0.117088791677	BP	e	regulation of plasma membrane bounded cell projection assembly	3/41	22/1914	7	3	OG_15633, OG_16134, OG_16191
GO:0071704	0.0108290211956	0.117088791677	BP	p	organic substance metabolic process	11/41	895/1914	2	11	OG_11412, OG_11881, OG_13445, OG_13739, OG_13922, OG_14220, OG_15247, OG_15622, OG_15635, OG_15946, OG_15950
