GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0048869	0.000193677352172	0.0267274745997	BP	e	cellular developmental process	13/29	304/1914	2	13	OG_12026, OG_12246, OG_12659, OG_13415, OG_13557, OG_13814, OG_14359, OG_14999, OG_15787, OG_16360, OG_16651, OG_17971, OG_18163
GO:0003006	0.000490014104186	0.0338109731888	BP	e	developmental process involved in reproduction	8/29	131/1914	2	8	OG_12246, OG_12659, OG_13415, OG_13557, OG_13814, OG_14359, OG_14999, OG_16360
GO:0042127	0.000787284300311	0.0362150778143	BP	e	regulation of cell population proliferation	7/29	107/1914	4	7	OG_13415, OG_13557, OG_13814, OG_14999, OG_15787, OG_16360, OG_18163
GO:0035282	0.00153516215488	0.0432713909415	BP	e	segmentation	3/29	16/1914	4	3	OG_13415, OG_15787, OG_16360
GO:0022412	0.00156780401962	0.0432713909415	BP	e	cellular process involved in reproduction in multicellular organism	7/29	120/1914	2	7	OG_12246, OG_12659, OG_13415, OG_13814, OG_14359, OG_16360, OG_18163
GO:0048468	0.00438731969497	0.0747972316729	BP	e	cell development	6/29	107/1914	3	6	OG_12246, OG_12659, OG_13415, OG_13814, OG_14359, OG_16360
GO:0007281	0.00348847695729	0.0747972316729	BP	e	germ cell development	4/29	43/1914	4	4	OG_12246, OG_12659, OG_13814, OG_16360
GO:0030154	0.00505214037543	0.0747972316729	BP	e	cell differentiation	7/29	147/1914	3	7	OG_13415, OG_13557, OG_14999, OG_15787, OG_16360, OG_16651, OG_18163
GO:0008283	0.00446963749249	0.0747972316729	BP	e	cell population proliferation	4/29	46/1914	1	4	OG_13415, OG_13814, OG_16360, OG_18163
GO:0022414	0.00542008925166	0.0747972316729	BP	e	reproductive process	9/29	232/1914	1	9	OG_12246, OG_12659, OG_13415, OG_13557, OG_13814, OG_14359, OG_14999, OG_16360, OG_18163
GO:0007292	0.00877313341938	0.100891034323	BP	e	female gamete generation	3/29	29/1914	4	3	OG_12246, OG_12659, OG_16360
GO:0048477	0.00877313341938	0.100891034323	BP	e	oogenesis	3/29	29/1914	5	3	OG_12246, OG_12659, OG_16360
GO:0007276	0.0108749012602	0.115441259531	BP	e	gamete generation	4/29	59/1914	3	4	OG_12246, OG_12659, OG_13814, OG_16360
GO:0007283	0.0136552070818	0.131015957498	BP	e	spermatogenesis	3/29	34/1914	5	3	OG_12659, OG_13814, OG_16360
GO:0048232	0.0147844490974	0.131015957498	BP	e	male gamete generation	3/29	35/1914	4	3	OG_12659, OG_13814, OG_16360
GO:0040008	0.0151902559418	0.131015957498	BP	e	regulation of growth	4/29	65/1914	3	4	OG_12026, OG_13557, OG_13814, OG_16360
GO:0001654	0.0198228175429	0.160914636525	BP	e	eye development	3/29	39/1914	5	3	OG_13415, OG_15787, OG_16651
GO:0018193	0.0267737826938	0.205265667319	BP	e	peptidyl-amino acid modification	4/29	77/1914	7	4	OG_13415, OG_13557, OG_16284, OG_17866
GO:0008285	0.0289637976745	0.210368635741	BP	e	negative regulation of cell population proliferation	3/29	45/1914	5	3	OG_13557, OG_14999, OG_16360
GO:0007423	0.0380348561547	0.238582279516	BP	e	sensory organ development	3/29	50/1914	4	3	OG_13415, OG_15787, OG_16651
GO:0008284	0.0361156625793	0.238582279516	BP	e	positive regulation of cell population proliferation	3/29	49/1914	5	3	OG_13814, OG_15787, OG_18163
GO:0032502	0.0369800116646	0.238582279516	BP	e	developmental process	14/29	559/1914	1	14	OG_12026, OG_12246, OG_12659, OG_13415, OG_13557, OG_13814, OG_14359, OG_14999, OG_15787, OG_16159, OG_16360, OG_16651, OG_17971, OG_18163
GO:0048609	0.0441237069877	0.253711315179	BP	e	multicellular organismal reproductive process	4/29	90/1914	2	4	OG_12246, OG_12659, OG_13814, OG_16360
GO:0007389	0.0441237069877	0.253711315179	BP	e	pattern specification process	4/29	90/1914	2	4	OG_13415, OG_15787, OG_16360, OG_16651
GO:0003002	0.0625148370528	0.323700117026	BP	e	regionalization	3/29	61/1914	3	3	OG_13415, OG_15787, OG_16360
GO:0048856	0.0633326315921	0.323700117026	BP	e	anatomical structure development	10/29	388/1914	2	10	OG_12246, OG_12659, OG_13415, OG_13557, OG_13814, OG_14359, OG_15787, OG_16159, OG_16360, OG_16651
GO:0044087	0.0591723143752	0.323700117026	BP	e	regulation of cellular component biogenesis	4/29	99/1914	3	4	OG_12026, OG_13415, OG_16144, OG_16360
GO:0007166	0.0692934705207	0.341517818995	BP	e	cell surface receptor signaling pathway	5/29	149/1914	5	5	OG_13415, OG_13557, OG_13814, OG_15787, OG_16651
GO:0010556	0.0810454833337	0.360783119356	BP	e	regulation of macromolecule biosynthetic process	9/29	339/1914	5	9	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16360, OG_16651, OG_18163
GO:0016477	0.0783483928601	0.360783119356	BP	e	cell migration	3/29	67/1914	4	3	OG_13415, OG_13557, OG_14359
GO:2000112	0.0800076432609	0.360783119356	BP	e	regulation of cellular macromolecule biosynthetic process	9/29	337/1914	6	9	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16360, OG_16651, OG_18163
GO:0031326	0.0851685257554	0.36728926732	BP	e	regulation of cellular biosynthetic process	9/29	346/1914	5	9	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16360, OG_16651, OG_18163
GO:0009889	0.090046644344	0.376558694529	BP	e	regulation of biosynthetic process	9/29	353/1914	4	9	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16360, OG_16651, OG_18163
GO:0048870	0.0988476945915	0.401205348636	BP	e	cell motility	3/29	74/1914	3	3	OG_13415, OG_13557, OG_14359
GO:0032989	0.105078505463	0.414309535826	BP	e	cellular component morphogenesis	3/29	76/1914	3	3	OG_12026, OG_13415, OG_13814
GO:2001141	0.11547435821	0.419354248236	BP	e	regulation of RNA biosynthetic process	8/29	300/1914	7	8	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16651, OG_18163
GO:0006355	0.114986167902	0.419354248236	BP	e	regulation of transcription, DNA-templated	8/29	299/1914	9	8	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16651, OG_18163
GO:1903506	0.114986167902	0.419354248236	BP	e	regulation of nucleic acid-templated transcription	8/29	299/1914	8	8	OG_12659, OG_14999, OG_15787, OG_16144, OG_16159, OG_16284, OG_16651, OG_18163
