GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0019222	0.0661494911414	0.705306009467	BP	e	regulation of metabolic process	16/36	625/2085	3	16	OG_11312, OG_11817, OG_11998, OG_12123, OG_12355, OG_12493, OG_13704, OG_13721, OG_13854, OG_14176, OG_14198, OG_14800, OG_14823, OG_16310, OG_16712, OG_17561
GO:1901360	0.0573957625816	0.705306009467	BP	e	organic cyclic compound metabolic process	15/36	564/2085	3	15	OG_11266, OG_11312, OG_11817, OG_12435, OG_12493, OG_13704, OG_13721, OG_13854, OG_14800, OG_14823, OG_15741, OG_16310, OG_16712, OG_17561, OG_18310
GO:0010604	0.0870541143845	0.705306009467	BP	e	positive regulation of macromolecule metabolic process	9/36	298/2085	5	9	OG_11817, OG_11998, OG_12123, OG_12355, OG_13721, OG_14800, OG_16310, OG_16712, OG_17561
GO:0048518	0.253193362862	0.705306009467	BP	e	positive regulation of biological process	12/36	529/2085	3	12	OG_11817, OG_11998, OG_12123, OG_12355, OG_12585, OG_13721, OG_13854, OG_14176, OG_14800, OG_16310, OG_16712, OG_17561
GO:0051704	0.0666720823926	0.705306009467	BP	e	multi-organism process	4/36	90/2085	1	4	OG_11998, OG_14176, OG_14800, OG_16957
GO:0060255	0.18836213789	0.705306009467	BP	e	regulation of macromolecule metabolic process	14/36	585/2085	4	14	OG_11312, OG_11817, OG_11998, OG_12123, OG_12355, OG_12493, OG_13721, OG_13854, OG_14198, OG_14800, OG_14823, OG_16310, OG_16712, OG_17561
GO:0046483	0.175316467594	0.705306009467	BP	e	heterocycle metabolic process	13/36	533/2085	3	13	OG_11312, OG_11817, OG_12435, OG_12493, OG_13704, OG_13721, OG_13854, OG_14800, OG_14823, OG_16310, OG_16712, OG_17561, OG_18310
GO:0044782	0.0282222667191	0.705306009467	BP	e	cilium organization	3/36	39/2085	5	3	OG_12585, OG_14369, OG_15003
GO:0007165	0.255842566871	0.705306009467	BP	p	signal transduction	3/36	338/2085	4	3	OG_11998, OG_12314, OG_12355
GO:0009893	0.0565509541206	0.705306009467	BP	e	positive regulation of metabolic process	10/36	319/2085	4	10	OG_11817, OG_11998, OG_12123, OG_12355, OG_13721, OG_14176, OG_14800, OG_16310, OG_16712, OG_17561
GO:0010629	0.225119209264	0.705306009467	BP	e	negative regulation of gene expression	5/36	177/2085	6	5	OG_11312, OG_12355, OG_12493, OG_14198, OG_16712
GO:0120036	0.141213250777	0.705306009467	BP	e	plasma membrane bounded cell projection organization	3/36	76/2085	4	3	OG_12585, OG_14369, OG_15003
GO:0097659	0.258682238431	0.705306009467	BP	e	nucleic acid-templated transcription	6/36	214/2085	8	6	OG_11817, OG_14800, OG_14823, OG_16310, OG_16712, OG_17561
GO:0120031	0.0431819215379	0.705306009467	BP	e	plasma membrane bounded cell projection assembly	3/36	46/2085	5	3	OG_12585, OG_14369, OG_15003
GO:1901576	0.0982707072769	0.705306009467	BP	e	organic substance biosynthetic process	12/36	446/2085	3	12	OG_11266, OG_11759, OG_11817, OG_13704, OG_13721, OG_14198, OG_14800, OG_14823, OG_16310, OG_16712, OG_17561, OG_18310
GO:0060271	0.0263594287532	0.705306009467	BP	e	cilium assembly	3/36	38/2085	6	3	OG_12585, OG_14369, OG_15003
GO:0008150	0.153324996234	0.705306009467	BP	e	biological_process	34/36	1781/2085	0	34	OG_11266, OG_11312, OG_11759, OG_11817, OG_11888, OG_11998, OG_12123, OG_12314, OG_12355, OG_12435, OG_12493, OG_12585, OG_12945, OG_12957, OG_13704, OG_13721, OG_13854, OG_14176, OG_14198, OG_14369, OG_14800, OG_14823, OG_15003, OG_15339, OG_15741, OG_16131, OG_16310, OG_16712, OG_16721, OG_16957, OG_17035, OG_17561, OG_17912, OG_18310
GO:0008152	0.242275032872	0.705306009467	BP	e	metabolic process	23/36	1124/2085	1	23	OG_11266, OG_11312, OG_11759, OG_11817, OG_11888, OG_12123, OG_12355, OG_12435, OG_12493, OG_12957, OG_13704, OG_13721, OG_13854, OG_14176, OG_14198, OG_14800, OG_14823, OG_15741, OG_16310, OG_16712, OG_17561, OG_17912, OG_18310
