GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0032436	0.00138270322926	0.088547589525	BP	e	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3/40	13/2212	11	3	OG_13781, OG_14072, OG_16248
GO:0080090	0.00988084689979	0.088547589525	BP	e	regulation of primary metabolic process	18/40	577/2212	4	18	OG_12827, OG_12859, OG_13667, OG_13781, OG_13849, OG_14072, OG_15157, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_17308, OG_17577, OG_17741, OG_18001, OG_18027
GO:0019222	0.00751181984832	0.088547589525	BP	e	regulation of metabolic process	20/40	649/2212	3	20	OG_12827, OG_12859, OG_12950, OG_13667, OG_13781, OG_13849, OG_14072, OG_15157, OG_15439, OG_16076, OG_16148, OG_16248, OG_16561, OG_17201, OG_17210, OG_17308, OG_17577, OG_17741, OG_18001, OG_18027
GO:0032434	0.00370484571967	0.088547589525	BP	e	regulation of proteasomal ubiquitin-dependent protein catabolic process	3/40	18/2212	10	3	OG_13781, OG_14072, OG_16248
GO:0042127	0.00400492006576	0.088547589525	BP	e	regulation of cell population proliferation	7/40	116/2212	4	7	OG_12827, OG_13518, OG_13781, OG_13849, OG_15439, OG_17201, OG_17210
GO:0009894	0.00281087255105	0.088547589525	BP	e	regulation of catabolic process	7/40	109/2212	4	7	OG_12859, OG_13781, OG_14072, OG_16248, OG_16561, OG_17741, OG_18001
GO:1903052	0.00504768615183	0.088547589525	BP	e	positive regulation of proteolysis involved in cellular protein catabolic process	3/40	20/2212	9	3	OG_13781, OG_14072, OG_16248
GO:0006364	0.00524209448815	0.088547589525	BP	e	rRNA processing	4/40	40/2212	9	4	OG_13090, OG_13849, OG_17536, OG_17741
GO:1901800	0.00260718825816	0.088547589525	BP	e	positive regulation of proteasomal protein catabolic process	3/40	16/2212	10	3	OG_13781, OG_14072, OG_16248
GO:0034655	0.00934003270544	0.088547589525	BP	e	nucleobase-containing compound catabolic process	4/40	47/2212	5	4	OG_12859, OG_12950, OG_14736, OG_17741
GO:0016072	0.00739145441367	0.088547589525	BP	e	rRNA metabolic process	4/40	44/2212	8	4	OG_13090, OG_13849, OG_17536, OG_17741
GO:2000060	0.00312636442171	0.088547589525	BP	e	positive regulation of ubiquitin-dependent protein catabolic process	3/40	17/2212	10	3	OG_13781, OG_14072, OG_16248
GO:0042176	0.00739145441367	0.088547589525	BP	e	regulation of protein catabolic process	4/40	44/2212	6	4	OG_13781, OG_14072, OG_16248, OG_18001
GO:0090501	0.00434466211884	0.088547589525	BP	e	RNA phosphodiester bond hydrolysis	3/40	19/2212	7	3	OG_12859, OG_15283, OG_17741
GO:0000956	0.00504768615183	0.088547589525	BP	e	nuclear-transcribed mRNA catabolic process	3/40	20/2212	9	3	OG_12859, OG_12950, OG_17741
GO:0045862	0.00228947343854	0.088547589525	BP	e	positive regulation of proteolysis	4/40	32/2212	8	4	OG_13667, OG_13781, OG_14072, OG_16248
GO:0031329	0.00142292402399	0.088547589525	BP	e	regulation of cellular catabolic process	7/40	97/2212	5	7	OG_12859, OG_13781, OG_14072, OG_16248, OG_16561, OG_17741, OG_18001
GO:0031325	0.00977015334376	0.088547589525	BP	e	positive regulation of cellular metabolic process	12/40	317/2212	5	12	OG_13667, OG_13781, OG_13849, OG_14072, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_17577, OG_18027
GO:0031323	0.00655250319446	0.088547589525	BP	e	regulation of cellular metabolic process	19/40	606/2212	4	19	OG_12827, OG_12859, OG_13667, OG_13781, OG_13849, OG_14072, OG_15157, OG_15439, OG_16076, OG_16148, OG_16248, OG_16561, OG_17201, OG_17210, OG_17308, OG_17577, OG_17741, OG_18001, OG_18027
GO:0090305	0.00956615446642	0.088547589525	BP	e	nucleic acid phosphodiester bond hydrolysis	3/40	25/2212	6	3	OG_12859, OG_15283, OG_17741
GO:0006402	0.00956615446642	0.088547589525	BP	e	mRNA catabolic process	3/40	25/2212	8	3	OG_12859, OG_12950, OG_17741
GO:1903364	0.00581563870207	0.088547589525	BP	e	positive regulation of cellular protein catabolic process	3/40	21/2212	8	3	OG_13781, OG_14072, OG_16248
GO:1903362	0.00202961544057	0.088547589525	BP	e	regulation of cellular protein catabolic process	4/40	31/2212	7	4	OG_13781, OG_14072, OG_16248, OG_18001
GO:0061136	0.00581563870207	0.088547589525	BP	e	regulation of proteasomal protein catabolic process	3/40	21/2212	9	3	OG_13781, OG_14072, OG_16248
GO:0051171	0.0090022131089	0.088547589525	BP	e	regulation of nitrogen compound metabolic process	18/40	563/2212	4	18	OG_12827, OG_12859, OG_13667, OG_13781, OG_13849, OG_14072, OG_15157, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_17308, OG_17577, OG_17741, OG_18001, OG_18027
GO:0051173	0.00768740657439	0.088547589525	BP	e	positive regulation of nitrogen compound metabolic process	12/40	299/2212	5	12	OG_13667, OG_13781, OG_13849, OG_14072, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_17577, OG_18027
GO:0060255	0.0105479568566	0.0888698608544	BP	e	regulation of macromolecule metabolic process	18/40	584/2212	4	18	OG_12827, OG_12859, OG_12950, OG_13667, OG_13781, OG_13849, OG_14072, OG_15157, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_17308, OG_17741, OG_18001, OG_18027
GO:2000058	0.010679639931	0.0888698608544	BP	e	regulation of ubiquitin-dependent protein catabolic process	3/40	26/2212	9	3	OG_13781, OG_14072, OG_16248
GO:0031330	0.0131245384955	0.101933915648	BP	e	negative regulation of cellular catabolic process	3/40	28/2212	6	3	OG_13781, OG_16561, OG_18001
GO:0006401	0.0131245384955	0.101933915648	BP	e	RNA catabolic process	3/40	28/2212	7	3	OG_12859, OG_12950, OG_17741
GO:0009893	0.0148009549482	0.10450371221	BP	e	positive regulation of metabolic process	12/40	340/2212	4	12	OG_13667, OG_13781, OG_13849, OG_14072, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_17577, OG_18027
GO:0010629	0.0144251407171	0.10450371221	BP	e	negative regulation of gene expression	7/40	147/2212	6	7	OG_12827, OG_12859, OG_12950, OG_13781, OG_15157, OG_17308, OG_17741
GO:1903050	0.0144574570125	0.10450371221	BP	e	regulation of proteolysis involved in cellular protein catabolic process	3/40	29/2212	8	3	OG_13781, OG_14072, OG_16248
GO:0009895	0.0158648449257	0.10872084905	BP	e	negative regulation of catabolic process	3/40	30/2212	5	3	OG_13781, OG_16561, OG_18001
GO:0044270	0.0171116639104	0.110862355859	BP	e	cellular nitrogen compound catabolic process	4/40	56/2212	4	4	OG_12859, OG_12950, OG_14736, OG_17741
GO:0051254	0.0171289476864	0.110862355859	BP	e	positive regulation of RNA metabolic process	7/40	152/2212	7	7	OG_13781, OG_13849, OG_15439, OG_16076, OG_16148, OG_17201, OG_18027
GO:0046700	0.0192604007183	0.116467559485	BP	e	heterocycle catabolic process	4/40	58/2212	4	4	OG_12859, OG_12950, OG_14736, OG_17741
GO:0010604	0.0194945700425	0.116467559485	BP	e	positive regulation of macromolecule metabolic process	11/40	308/2212	5	11	OG_13667, OG_13781, OG_13849, OG_14072, OG_15439, OG_16076, OG_16148, OG_16248, OG_17201, OG_17210, OG_18027
