GOterm	pval	FDR_p	NS	enrichm	name	ratio_in_study	ratio_in_pop	depth	study_count	study_items
GO:0019221	0.000817634565147	0.134909703249	BP	e	cytokine-mediated signaling pathway	3/27	16/2212	6	3	OG_16170, OG_17086, OG_17686
GO:0019220	0.0329259892744	0.236208183925	BP	e	regulation of phosphate metabolic process	5/27	151/2212	6	5	OG_12496, OG_12522, OG_16170, OG_17086, OG_17686
GO:0048584	0.0191234548569	0.236208183925	BP	e	positive regulation of response to stimulus	6/27	181/2212	4	6	OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0048583	0.00872706933912	0.236208183925	BP	e	regulation of response to stimulus	10/27	370/2212	3	10	OG_11632, OG_12496, OG_12504, OG_12522, OG_12560, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0009966	0.0185250892969	0.236208183925	BP	e	regulation of signal transduction	8/27	290/2212	5	8	OG_12496, OG_12504, OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0009967	0.0067070705011	0.236208183925	BP	e	positive regulation of signal transduction	6/27	145/2212	6	6	OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0051052	0.0144646702299	0.236208183925	BP	e	regulation of DNA metabolic process	3/27	43/2212	6	3	OG_11632, OG_12522, OG_12560
GO:0050776	0.0173647021413	0.236208183925	BP	e	regulation of immune response	3/27	46/2212	4	3	OG_12560, OG_16170, OG_17686
GO:0042325	0.0189656853028	0.236208183925	BP	e	regulation of phosphorylation	5/27	131/2212	7	5	OG_12496, OG_12522, OG_16170, OG_17086, OG_17686
GO:0023056	0.0114290925001	0.236208183925	BP	e	positive regulation of signaling	6/27	162/2212	4	6	OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0051239	0.032547753415	0.236208183925	BP	e	regulation of multicellular organismal process	7/27	261/2212	3	7	OG_11632, OG_14143, OG_16729, OG_17086, OG_17440, OG_17686, OG_19482
GO:0031400	0.0265945105246	0.236208183925	BP	e	negative regulation of protein modification process	3/27	54/2212	8	3	OG_11632, OG_12496, OG_12522
GO:1903827	0.0205695741071	0.236208183925	BP	e	regulation of cellular protein localization	3/27	49/2212	5	3	OG_12555, OG_16170, OG_17686
GO:0010647	0.0110990703741	0.236208183925	BP	e	positive regulation of cell communication	6/27	161/2212	5	6	OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0051246	0.0290419449168	0.236208183925	BP	e	regulation of protein metabolic process	7/27	255/2212	5	7	OG_11632, OG_12496, OG_12522, OG_13824, OG_16170, OG_17086, OG_17686
GO:0051247	0.0329259892744	0.236208183925	BP	e	positive regulation of protein metabolic process	5/27	151/2212	6	5	OG_11632, OG_13824, OG_16170, OG_17086, OG_17686
GO:0031399	0.0104597685001	0.236208183925	BP	e	regulation of protein modification process	6/27	159/2212	7	6	OG_11632, OG_12496, OG_12522, OG_16170, OG_17086, OG_17686
GO:0008284	0.0228767870058	0.236208183925	BP	e	positive regulation of cell population proliferation	3/27	51/2212	5	3	OG_12504, OG_12522, OG_16170
GO:0032268	0.0233174342203	0.236208183925	BP	e	regulation of cellular protein metabolic process	7/27	244/2212	6	7	OG_11632, OG_12496, OG_12522, OG_13824, OG_16170, OG_17086, OG_17686
GO:0040008	0.0319975788445	0.236208183925	BP	e	regulation of growth	4/27	101/2212	3	4	OG_12496, OG_16170, OG_17440, OG_17686
GO:0051174	0.0329259892744	0.236208183925	BP	e	regulation of phosphorus metabolic process	5/27	151/2212	5	5	OG_12496, OG_12522, OG_16170, OG_17086, OG_17686
GO:0006259	0.0299977217824	0.236208183925	BP	e	DNA metabolic process	4/27	99/2212	6	4	OG_11632, OG_12504, OG_12522, OG_13096
GO:0001932	0.0142538758365	0.236208183925	BP	e	regulation of protein phosphorylation	5/27	122/2212	8	5	OG_12496, OG_12522, OG_16170, OG_17086, OG_17686
GO:0030030	0.0419715361282	0.288554310881	BP	e	cell projection organization	4/27	110/2212	3	4	OG_12555, OG_16729, OG_16739, OG_17686
GO:0044282	0.049772638071	0.297707673039	BP	e	small molecule catabolic process	3/27	69/2212	3	3	OG_11855, OG_12615, OG_14143
GO:0023051	0.0505200899702	0.297707673039	BP	e	regulation of signaling	8/27	331/2212	3	8	OG_12496, OG_12504, OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0010646	0.0492530645492	0.297707673039	BP	e	regulation of cell communication	8/27	328/2212	4	8	OG_12496, OG_12504, OG_12522, OG_13369, OG_16170, OG_17086, OG_17686, OG_19482
GO:0043408	0.0462470865416	0.297707673039	BP	e	regulation of MAPK cascade	3/27	67/2212	9	3	OG_12496, OG_16170, OG_17686
GO:0010604	0.087447776887	0.301387837312	BP	e	positive regulation of macromolecule metabolic process	7/27	308/2212	5	7	OG_11632, OG_12504, OG_12560, OG_13824, OG_16170, OG_17086, OG_17686
GO:0048518	0.0778291840225	0.301387837312	BP	e	positive regulation of biological process	11/27	567/2212	3	11	OG_11632, OG_12504, OG_12522, OG_12555, OG_12560, OG_13369, OG_13824, OG_16170, OG_17086, OG_17686, OG_19482
GO:0045859	0.0553048643187	0.301387837312	BP	e	regulation of protein kinase activity	3/27	72/2212	9	3	OG_12522, OG_17086, OG_17686
GO:0042327	0.0714463512277	0.301387837312	BP	e	positive regulation of phosphorylation	3/27	80/2212	8	3	OG_16170, OG_17086, OG_17686
GO:0043549	0.0672259437598	0.301387837312	BP	e	regulation of kinase activity	3/27	78/2212	8	3	OG_12522, OG_17086, OG_17686
GO:0002682	0.0651613569492	0.301387837312	BP	e	regulation of immune system process	3/27	77/2212	3	3	OG_12560, OG_16170, OG_17686
GO:0032880	0.0693210314212	0.301387837312	BP	e	regulation of protein localization	3/27	79/2212	4	3	OG_12555, OG_16170, OG_17686
GO:0051338	0.087146256191	0.301387837312	BP	e	regulation of transferase activity	3/27	87/2212	4	3	OG_12522, OG_17086, OG_17686
GO:0051173	0.0810040327704	0.301387837312	BP	e	positive regulation of nitrogen compound metabolic process	7/27	299/2212	5	7	OG_11632, OG_12504, OG_12560, OG_13824, OG_16170, OG_17086, OG_17686
GO:0007049	0.080244362095	0.301387837312	BP	e	cell cycle	3/27	84/2212	2	3	OG_12522, OG_12555, OG_17686
GO:0009719	0.089503054717	0.301387837312	BP	e	response to endogenous stimulus	3/27	88/2212	2	3	OG_12560, OG_17086, OG_17686
GO:0010562	0.089503054717	0.301387837312	BP	e	positive regulation of phosphorus metabolic process	3/27	88/2212	6	3	OG_16170, OG_17086, OG_17686
GO:0032270	0.0886162868921	0.301387837312	BP	e	positive regulation of cellular protein metabolic process	4/27	141/2212	7	4	OG_13824, OG_16170, OG_17086, OG_17686
GO:0006974	0.0757865811274	0.301387837312	BP	e	cellular response to DNA damage stimulus	3/27	82/2212	4	3	OG_11632, OG_12504, OG_17686
GO:0032269	0.089503054717	0.301387837312	BP	e	negative regulation of cellular protein metabolic process	3/27	88/2212	7	3	OG_11632, OG_12496, OG_12522
GO:0080134	0.0549452923125	0.301387837312	BP	e	regulation of response to stress	4/27	120/2212	4	4	OG_11632, OG_12496, OG_12560, OG_17686
GO:0080135	0.0591531883236	0.301387837312	BP	e	regulation of cellular response to stress	3/27	74/2212	5	3	OG_11632, OG_12496, OG_12560
GO:0060341	0.0693210314212	0.301387837312	BP	e	regulation of cellular localization	3/27	79/2212	4	3	OG_12555, OG_16170, OG_17686
GO:0045937	0.089503054717	0.301387837312	BP	e	positive regulation of phosphate metabolic process	3/27	88/2212	7	3	OG_16170, OG_17086, OG_17686
GO:0051726	0.063686237335	0.301387837312	BP	e	regulation of cell cycle	4/27	126/2212	4	4	OG_12504, OG_12522, OG_12555, OG_17686
GO:0001934	0.0611247275239	0.301387837312	BP	e	positive regulation of protein phosphorylation	3/27	75/2212	9	3	OG_16170, OG_17086, OG_17686
GO:0051248	0.0942990092867	0.311186730646	BP	e	negative regulation of protein metabolic process	3/27	90/2212	6	3	OG_11632, OG_12496, OG_12522
GO:0048522	0.099072715955	0.320529375149	BP	e	positive regulation of cellular process	10/27	494/2212	4	10	OG_12504, OG_12522, OG_12555, OG_12560, OG_13369, OG_13824, OG_16170, OG_17086, OG_17686, OG_19482
GO:0007166	0.119813914217	0.37308657167	BP	e	cell surface receptor signaling pathway	4/27	157/2212	5	4	OG_13369, OG_16170, OG_17086, OG_17686
GO:0031401	0.119839929082	0.37308657167	BP	e	positive regulation of protein modification process	3/27	100/2212	8	3	OG_16170, OG_17086, OG_17686
GO:0048585	0.12402657059	0.375723500814	BP	e	negative regulation of response to stimulus	4/27	159/2212	4	4	OG_11632, OG_12496, OG_12560, OG_17686
GO:0017144	0.125241166938	0.375723500814	BP	e	drug metabolic process	3/27	102/2212	3	3	OG_12615, OG_14143, OG_17986
GO:1901566	0.137056439889	0.403827010387	BP	e	organonitrogen compound biosynthetic process	4/27	165/2212	4	4	OG_11855, OG_12615, OG_14143, OG_17986
GO:0051128	0.142752237437	0.413230161002	BP	e	regulation of cellular component organization	6/27	281/2212	4	6	OG_11632, OG_12522, OG_12555, OG_16170, OG_17440, OG_17686
GO:0042127	0.165438387981	0.464493327034	BP	e	regulation of cell population proliferation	3/27	116/2212	4	3	OG_12504, OG_12522, OG_16170
GO:1901565	0.171486999961	0.464493327034	BP	e	organonitrogen compound catabolic process	3/27	118/2212	4	3	OG_11855, OG_12615, OG_14143
GO:0042981	0.174536886522	0.464493327034	BP	e	regulation of apoptotic process	3/27	119/2212	6	3	OG_12496, OG_12522, OG_12560
GO:0043412	0.172372577689	0.464493327034	BP	e	macromolecule modification	7/27	341/2212	4	7	OG_11632, OG_12496, OG_12504, OG_12522, OG_13824, OG_17086, OG_17686
GO:0009893	0.171794086698	0.464493327034	BP	e	positive regulation of metabolic process	7/27	340/2212	4	7	OG_11632, OG_12504, OG_12560, OG_13824, OG_16170, OG_17086, OG_17686
GO:0043067	0.183784469225	0.473819334721	BP	e	regulation of programmed cell death	3/27	122/2212	5	3	OG_12496, OG_12522, OG_12560
