OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11608	A9UNF9_DROME	LOC725632	pairfail	lac	0.513324415875	0.502692876803	0.715520182762
11815	Orco	Or2	pairfail	lac	0.238557787407	0.19719541393	0.472693510663
12190	FoxP	Foxp	pairwise	alc	0.284747134215	0.73659545312	0.886511835005
12388	Dmel\\CG10383	LOC725516	pairwise	lac	0.808789007118	0.62637638331	0.839842724219
12474	grh	LOC411079	pairwise	alc	0.178300503735	0.498939284111	0.753807220594
12702	sbb	NA	pairwise	lac	0.470869855339	0.201351134781	0.698630788229
12822	Dmel\\CG1703	LOC413390	pairfail	lac	0.493748517388	0.352783641767	0.688608632333
12931	Rad17	LOC724559	pairwise	lac	0.659036795477	0.417325319102	0.660784991289
13033	Sf3a1	SF3A1	pairfail	lac	0.699820288937	0.487271115409	0.788602771335
13183	NA	LOC727156	pairwise	alc	0.795635007166	0.79638808231	0.90596115575
13394	Mkk4	Mkk4	pairfail	lac	0.98350768766	0.95802048817	0.987667545974
13589	Rbcn-3A	LOC725436	pairfail	alc	0.394804363412	0.442023737137	0.719898895219
13651	disp	NA	pairwise	lac	0.527822429104	0.315287109081	0.639877527779
13733	ken	ken	pairwise	lac	0.50715664893	0.363942615923	0.705355386959
13805	ari-1	LOC413468	pairfail	alc	0.546482876103	0.694745594036	0.932532117927
14055	FBpp0311171	NA	pairfail	alc	0.233465959351	0.339651531861	0.665917659121
14372	NA	Prx5	pairwise	lac	0.382258825678	0.170705733423	0.586826442383
14394	FBpp0083611	LOC552007	pairfail	alc	0.447229347809	0.458372797753	0.824241108286
14405	eIF4B	LOC409560	pairfail	alc	0.319672274216	0.323717961403	0.53181673216
14775	Sos	LOC552718	pairwise	lac	0.530724859015	0.425144948826	0.804890785269
14854	NA	LOC411714	pairfail	alc	0.44887600563	0.67716168183	0.798952321779
14879	NA	LOC724772	pairfail	lac	0.491311403725	0.41868305681	0.641923683499
14998	CG7706-RA	LOC412637	pairfail	alc	0.327674697123	0.39349673344	0.696952101745
15164	Tusp	LOC409680	pairfail	alc	0.245460210084	0.38824036683	0.596958389755
15180	AdipoR	LOC550659	pairfail	alc	0.616068238627	0.658401449044	0.838246891953
15309	Adi1	LOC551839	pairfail	lac	0.616417603046	0.415317038015	0.730237091915
15603	B5RIL2_DROME	LOC726034	pairfail	alc	0.391721485231	0.660113121339	0.815361965347
15684	dsh	LOC409050	pairwise	alc	0.403857936524	0.49652479933	0.72312405384
15776	Tsp29Fb	LOC727570	pairfail	lac	0.531650281143	0.443712945222	0.762130585271
16202	NA	SPH54	pairwise	alc	0.474789543771	0.552080597478	0.834701490253
16318	NA	LOC100578586	pairwise	lac	0.681355236513	0.522237658864	0.761619473317
16442	AOX4	NA	pairfail	lca	0.988860303923	0.608808056498	0.915411618491
16703	NA	LOC552371	pairwise	lac	0.789585475058	0.610057162231	0.832142866893
16724	142335_at	LOC409693	pairwise	alc	0.450350591285	0.565126319118	0.798423282324
16786	NA	LOC408900	pairfail	lac	0.681035798604	0.598137883512	0.73154015797
17151	Efr	LOC725569	pairwise	lac	0.647981455628	0.303726773354	0.653836674063
17156	NA	LOC102654345	pairfail	alc	0.609132124824	0.643590518214	0.807808836511
17483	NA	LOC100577026	pairwise	lac	0.53118234742	0.445523181015	0.78524135907
17564	NA	LOC408322	pairwise	alc	0.330854440342	0.523419491703	0.720007570045
17568	Sse	NA	pairfail	lac	0.45908506062	0.293300378671	0.683910052703
17729	Mms19	Mms19	pairwise	cla	0.853395092204	0.83828775803	0.763959045946
17852	NA	LOC724829	pairwise	lac	0.611511987228	0.435206390469	0.708500714863
17867	NA	NA	pairwise	lac	0.278870213167	0.185098295854	0.607370628763
18159	ICA69	LOC409351	pairfail	lca	0.690058571924	0.569371323144	0.634456607466
18369	alt	LOC409414	pairwise	alc	0.549508709283	0.772559057486	0.959595241547
18547	polo	polo	pairwise	lac	0.539515560099	0.221468951509	0.900744737928
18888	NA	LOC552529	pairfail	lac	0.424774526054	0.238081407258	0.619046677908
