OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10971	glu	LOC413418	pairwise	lac	0.462416600759	0.30721802842	0.589622491374
11085	CG33958-RA	LOC100576683	pairwise	alc	0.230096425081	0.344997969871	0.742870952076
11504	pasi2	LOC100577753	pairwise	lac	0.607911022053	0.312868293091	0.66588750005
11736	FBpp0084917	LOC551599	pairwise	lac	0.525504929285	0.368668668328	0.707785044126
11778	NA	LOC100577877	pairfail	lac	0.532709868406	0.498940758735	0.578866572142
11809	ATP8B	LOC413328	pairwise	alc	0.386332258876	0.452779871501	0.656654669329
11867	Blimp-1	LOC408295	pairfail	alc	0.334471661469	0.367942890269	0.711720329198
11982	NA	LOC102655007	pairfail	alc	0.343561494102	0.390094833759	0.687691729028
12085	FBpp0085155	LOC412083	pairwise	lac	0.809908684711	0.807656823435	0.902390210929
12172	ZnT63C	LOC552634	pairfail	lca	0.607531227713	0.224736533425	0.508130481144
12178	NA	NA	pairwise	lac	0.607768415995	0.56317767631	0.754275190711
12295	gig	gig	pairwise	lac	0.853596028252	0.532572203686	0.913245698451
12379	AspRS-m	LOC725136	pairwise	alc	0.451383808641	0.730592616551	0.859257199451
12578	NA	LOC413721	pairfail	alc	0.207506784773	0.526776515568	0.845642963985
12833	NA	LOC413376	pairwise	alc	0.348640413703	0.438804550932	0.642877477621
13077	NA	LOC412650	pairfail	alc	0.429779674969	0.614811250586	0.832137125222
13439	NA	LOC100576116	pairfail	lac	0.65822385	0.622539481729	0.806744929084
13662	Dmel\\CG9986	LOC410871	pairfail	lac	0.77031165075	0.76539530021	0.927479460167
13732	CG1814-RA	LOC410189	pairfail	lac	0.662626892488	0.379793989654	0.715806509309
14128	NA	LOC100576666	pairwise	lac	0.280718685496	0.263552774614	0.650505151837
14273	robl	robl	pairfail	alc	0.614149307241	0.636428375285	0.726642714807
14587	Idh	LOC551276	pairwise	alc	0.610877278147	0.80140528633	0.942843926816
14633	NA	PROH2_APIME	pairfail	alc	0.43828288464	0.444914881457	0.690238977881
14636	NA	LOC409919	pairfail	lac	0.394559809898	0.305612153794	0.604807071712
15201	Golgin104	LOC726416	pairwise	alc	0.429767921902	0.668371301331	0.902105157504
15325	Sema5c	LOC410589	pairwise	lac	0.61854491185	0.333445974215	0.725746508251
15378	spel1	spel1	pairfail	lca	0.922439000476	0.592353115232	0.844829499702
15503	NA	LOC100577521	pairfail	alc	0.353045413695	0.562917026815	0.82358871143
15543	Ime4	LOC551911	pairfail	lac	0.707479380005	0.705958800371	0.851438479682
15772	srl	LOC727127	pairfail	lac	0.736594370731	0.505840804539	0.810537115894
16076	CrebA	LOC100576912	pairfail	lac	0.678148535728	0.438857095867	0.753463931898
16197	NA	LOC727028	pairfail	lca	0.553744233153	0.206751583782	0.513298492264
16215	A9YJX8_DROME	Trf2	pairwise	lca	0.869185950362	0.13527925932	0.560855186655
16509	NA	LOC413984	pairwise	alc	0.449001397023	0.815610899126	0.963077376836
16514	Rep	Rep	pairwise	alc	0.633042942063	0.848610800473	0.927265506585
16526	Dmel\\CG9171	LOC409245	pairfail	lca	0.845038996119	0.510995875323	0.764846211034
16650	NA	LOC726725	pairfail	alc	0.38413717638	0.573121919731	0.779200461824
16696	NA	LOC100578629	pairfail	alc	0.718250978808	0.816087481266	0.945607342165
16890	mgr	LOC551893	pairwise	alc	0.41174941298	0.518857506253	0.658738280268
17161	snky	LOC724561	pairfail	alc	0.0974749615517	0.239386826133	0.617390376248
17736	Taf8	LOC411742	pairfail	lac	0.539396156043	0.298636390192	0.720184356817
17859	Dmel\\CG9706	LOC408402	pairfail	lac	0.551855491241	0.431611065563	0.589808238828
17938	NA	LOC724121	pairfail	alc	0.541207519479	0.612297220779	0.797212891469
18075	Ntmt	LOC550780	pairwise	lca	0.888177190992	0.639961188008	0.880284078894
18713	NA	LOC727010	pairfail	lac	0.492908476185	0.223392367965	0.507565550159
18714	NA	LOC551428	pairfail	lac	0.607494319422	0.329236370132	0.633543402982
18961	NA	NA	pairwise	alc	0.0921812883197	0.287137039266	0.694000590264
18974	CG13510-RA	LOC725688	pairfail	alc	0.192382665459	0.325873661224	0.589737669934
19056	mdlc	LOC725161	pairfail	cla	0.898159502232	0.82591740831	0.467194351581
