OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11267	A8E714_DROME	PANK4	pairfail	lac	0.388993089581	0.360847362649	0.533067610052
11421	Fak	LOC724973	pairfail	lac	0.372260374051	0.34279512738	0.6576269418
11731	CG3192-RB	LOC551660	pairfail	alc	0.275127216921	0.30916496208	0.582750496424
11836	NA	LOC552509	pairfail	lca	0.809299674777	0.267945989762	0.726307497057
12032	Dmel\\CG7564	LOC551987	pairfail	lac	0.526679869444	0.507708700408	0.648750801865
12172	ZnT63C	LOC552634	pairfail	lca	0.641770372938	0.312920706678	0.568101121582
12637	RpA-70	LOC725934	pairfail	lac	0.43367313435	0.314575384899	0.615422625953
12879	CG7112	LOC410970	pairfail	alc	0.283440438031	0.645926017578	0.845326612295
13011	NA	LOC725698	pairwise	alc	0.290134602951	0.437366846543	0.801274138642
14278	Dmel\\CG6195	LOC552085	pairfail	lca	0.683939367433	0.448366346462	0.62642992498
14609	FBpp0306158	LOC409068	pairfail	alc	0.6936021079	0.833007697193	0.925006794427
15190	NA	LOC551946	pairwise	lac	0.247776517959	0.114365027406	0.640007145491
15209	NA	LOC411746	pairfail	alc	0.528973786726	0.557627464659	0.774912241315
15264	NA	CYP343A1	pairwise	lac	0.437761064976	0.363496893042	0.571188083552
15302	NA	LOC410148	pairwise	lac	0.359933382847	0.356323343485	0.734635402735
15647	Eogt	LOC408434	pairwise	lac	0.537288651739	0.353713987622	0.631352128101
15919	NA	LOC100577180	pairfail	alc	0.471095168452	0.590891927075	0.889492005131
15975	A1Z9F4_DROME	LOC408470	pairfail	lac	0.610103192978	0.555548281481	0.830518466973
16240	Dmel\\CG12123	LOC725638	pairfail	alc	0.792829106956	0.902533526296	0.941223413214
16289	Gdi	Gdi	pairfail	alc	0.598380096415	0.617010795143	0.838728902839
16291	NA	LOC411766	pairwise	lac	0.361049278927	0.227702329904	0.564966786544
16493	NA	LOC107965773	pairwise	lac	0.697596620073	0.48118699808	0.784694617273
16625	FBpp0099887	LOC100579062	pairfail	lac	0.431694747816	0.178313550591	0.481846154668
16716	FBpp0075581	LOC412495	pairwise	lac	0.71930561676	0.555243068322	0.846360948304
16845	Chd64	Chd64	pairfail	lac	0.757793305419	0.459879389093	0.857662304517
16974	CG31159-RA	LOC408831	pairfail	lac	0.554035587945	0.214729983977	0.565465901356
17561	Dmel\\CG12104	LOC551624	pairfail	lac	0.720764690749	0.449680430729	0.829053516394
17598	Dmel\\CG10237	LOC408361	pairfail	lac	0.459482150777	0.416449199555	0.729453331314
17619	Dmel\\CG31122	LOC551702	pairfail	alc	0.355792096433	0.521282813342	0.623962423928
17913	CG1231-RA	NA	pairfail	alc	0.534590244975	0.606201309687	0.871532272126
17914	NA	LOC727151	pairfail	alc	0.410435016527	0.495662320462	0.889597916745
17974	PIG-T	LOC410132	pairfail	alc	0.104203975725	0.368350275848	0.674092413755
17979	NA	LOC726304	pairfail	alc	0.298029451497	0.559619785062	0.742947766661
18597	NA	NA	pairfail	alc	0.365957448901	0.384604578596	0.847326894716
18677	NA	LOC727135	pairfail	alc	0.309788128257	0.591115221946	0.889820830629
