OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10834	D5AEL9_DROME	LOC411468	pairwise	cla	0.946583940438	0.857116748573	0.776472203817
10838	Su(var)2-10	D-PIAS	pairwise	cal	0.691876936961	0.722927386631	0.639817962501
12099	Dmel\\CG6983	LOC100577418	pairfail	alc	0.289972470857	0.446103632468	0.526211155604
12290	Dmel\\CG12531	LOC409565	pairfail	alc	0.114309423759	0.322689898683	0.49744922785
12388	Dmel\\CG10383	LOC725516	pairfail	lac	0.659223755067	0.63197239525	0.80585046877
12431	Sec10	LOC552574	pairwise	lac	0.890849745341	0.843178110784	0.911891785129
12470	ZFPL1_DROME	LOC411081	pairwise	lac	0.804187342417	0.739958393616	0.896901797956
12539	NA	LOC724138	pairwise	lac	0.203349245258	0.191195966765	0.517299485976
12544	Stt3B	STT3B	pairfail	alc	0.63125447784	0.746647919213	0.838888035502
12620	NA	LOC725550	pairfail	alc	0.643047418043	0.720546539563	0.853934208813
12622	NA	Adam	pairfail	lac	0.754565767255	0.749861681225	0.897467281671
12689	Dmel\\CG43778	LOC100577335	pairfail	alc	0.239808170215	0.392726978156	0.746899257723
12794	CG8841	LOC550991	pairwise	alc	0.544546685025	0.626025032145	0.751990482163
12969	NA	cl	pairwise	alc	0.804258263663	0.844642050556	0.961652314232
12981	S6k	412419	pairwise	alc	0.805230330627	0.844615914191	0.96167880981
13561	Dmel\\CG9855	LOC552063	pairwise	lac	0.876202393482	0.806425550409	0.89894882285
13609	NA	NA	pairfail	lca	0.965728277561	0.792095731457	0.874518002325
13651	disp	NA	pairfail	alc	0.775856320799	0.795460988412	0.890476736496
13707	rec	LOC412034	pairfail	lac	0.847758681819	0.773533304424	0.867715621696
13733	ken	ken	pairwise	lac	0.393884649979	0.317566636197	0.743576865103
13800	GalNAc-T2	GalNAc-T2	pairwise	alc	0.62732240184	0.660062865053	0.802364039155
13811	ND-B8	LOC727049	pairwise	lac	0.860507992057	0.731515387291	0.884168205162
13873	botv	LOC550726	pairfail	lac	0.868028663124	0.832428699374	0.882889833998
13910	Rab10	Rab10	pairfail	alc	0.355981491394	0.471822084109	0.744169159691
13975	Dmel\\CG14830	LOC725577	pairwise	alc	0.464411154181	0.820843403885	0.872647900152
14108	DNApol-iota	LOC551219	pairwise	alc	0.691911090596	0.866063103243	0.937228644504
14334	alc	alc	pairwise	alc	0.289451692795	0.422711282271	0.708184193747
14470	NA	LOC102654911	pairfail	lac	0.907861279342	0.694328273401	0.913619053349
14471	ECM29_DROME	LOC725156	pairfail	lac	0.938372148312	0.888256249825	0.94128248897
14475	CG9485	NA	pairfail	lca	0.949800292641	0.888337869558	0.941152507469
14492	312	LOC100577644	pairwise	lac	0.794443216624	0.768927450131	0.888298964987
14504	Prosbeta2	LOC408353	pairwise	alc	0.751485046996	0.768200913538	0.888285956099
14530	Madm	Madm	pairwise	lac	0.847746005339	0.719080249084	0.891658415745
14535	NA	LOC724842	pairwise	lac	0.847724661507	0.718035689447	0.891455450044
14612	Dmel\\CG11241	LOC100576186	pairfail	alc	0.523263133955	0.606187190896	0.803692591495
14810	NA	LOC724999	pairwise	alc	0.844209061463	0.864342576464	0.918671961683
14932	NitFhit	LOC413852	pairwise	lac	0.660431272239	0.577916822682	0.761058259857
15340	Dmel\\CG6013	LOC410897	pairwise	lac	0.603551826181	0.5214910224	0.662010437035
15441	eIF6	eIF6	pairfail	lac	0.721468992352	0.551224690031	0.735032970151
15783	Dmel\\CG10075	LOC726341	pairwise	alc	0.758817559127	0.823414378714	0.926602082795
16071	eIF3d1	eIF-3p66	pairwise	alc	0.483197242879	0.737900026477	0.861280577739
16259	DNApol-eta	DNApol-eta	pairwise	lac	0.936137592838	0.870769153783	0.948437298811
16462	Dmel\\CG4511	LOC551696	pairfail	lac	0.807269473634	0.682751581356	0.868674245333
16472	RSG7	LOC551308	pairfail	lac	0.753904219615	0.691513849845	0.866096325783
16479	Rpn13	LOC413299	pairwise	lac	0.72733456894	0.502241510292	0.804362680257
16615	Dmel\\CG2091	LOC552284	pairwise	lac	0.898963335705	0.841378765085	0.948764144801
16617	Psf3	LOC107965817	pairwise	lac	0.717382237572	0.697672123587	0.832233920871
16624	vimar	LOC412679	pairwise	lac	0.792514668082	0.549785301654	0.883927691466
16686	NA	LOC408626	pairfail	lac	0.818385791268	0.701702660215	0.898564631504
16958	mtTFB2	LOC726530	pairfail	alc	0.653568709487	0.712075829039	0.813824277625
17129	NA	NA	pairfail	acl	0.740859809232	0.944744697443	0.884778448667
17326	AC014407	LOC552469	pairwise	lac	0.735815531724	0.590633538469	0.863835216395
17331	VhaSFD	VhaSFD	pairfail	lca	0.865146185102	0.642265811378	0.717014020177
17392	NA	LOC725536	pairfail	alc	0.6767520753	0.82064597462	0.872606349666
17394	NA	NA	pairfail	lca	0.596861005806	0.291360611978	0.585858360422
17459	Dmel\\CG6607	LOC724380	pairfail	lac	0.8790193549	0.805428542614	0.956991068796
17511	Tango5	Vmp1	pairfail	lac	0.864505408067	0.757776699769	0.873983167565
17553	NA	LOC410349	pairwise	alc	0.31405099878	0.577601754378	0.808741049496
17641	Q5BI33_DROME	LOC413450	pairfail	acl	0.513268547706	0.804062019171	0.782859784801
17692	NA	NA	pairwise	lac	0.66409556131	0.529371387074	0.847580840861
17697	CAH2	LOC727237	pairwise	lac	0.409479639539	0.245697568237	0.530784593175
17985	Dmel\\CG32425	LOC725376	pairwise	lca	0.720657828962	0.671275170189	0.695751489275
18092	NA	LOC100576559	pairwise	lac	0.479962031618	0.475662893519	0.677238837868
18313	NA	NA	pairfail	alc	0.41546643067	0.488397268395	0.721919173824
18473	NA	LOC551787	pairfail	cal	0.724097782578	0.821721859596	0.644285184806
18572	NA	NA	pairwise	lac	0.511999972216	0.469437667022	0.743203852294
18583	Dmel\\CG2201	LOC411525	pairwise	alc	0.31505533204	0.407660032174	0.745485450245
18659	NA	NA	pairfail	alc	0.330216340069	0.398281834727	0.715792110002
18721	NC2alpha	LOC100576571	pairwise	alc	0.637657482594	0.901507982405	0.948413934594
18925	NA	LOC100577805	pairwise	lca	0.732291034188	0.455252854863	0.708460510744
