OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11284	Dmel\\CG9667	NA	pairfail	lac	0.443073182301	0.400309717352	0.616143262622
11387	Fas2	LOC409849	pairfail	alc	0.393348712679	0.559004891183	0.817626586632
12578	NA	LOC413721	pairwise	lac	0.595582374033	0.53805293913	0.730430896864
12719	RpS5a	RpS5a	pairfail	lac	0.693582810658	0.635535819909	0.858625855547
12792	CG9422-RC	LOC100578399	pairfail	lac	0.459079352117	0.265563394998	0.509109566099
12857	NA	LOC100577293	pairwise	alc	0.09553345882	0.144384161442	0.457650494433
12979	Duox	Duox	pairwise	lac	0.481111634022	0.306079661164	0.660187601812
13657	BcDNA:RE35789	LOC551477	pairfail	alc	0.397901039147	0.554509874689	0.750559767999
13901	beat-Ia	NA	pairwise	alc	0.602603557265	0.691945271559	0.941858467076
14538	Dmel\\CG5149	LOC100576519	pairfail	lca	0.683051761262	0.36453651599	0.641969470663
14756	NA	Fabp;FABP	pairfail	lac	0.634802429206	0.357150133916	0.678606526935
14796	RpS26	RpS26	pairfail	alc	0.192584718044	0.246044886725	0.470283891467
15302	NA	LOC410148	pairfail	lac	0.593781355269	0.41238699067	0.645903117666
15341	TrpRS-m	LOC411305	pairwise	lca	0.78610000733	0.64437201898	0.783866568614
15753	drk	LOC550857	pairwise	alc	0.668280738084	0.677257660461	0.788358178045
15801	AstA-R1	LOC413582	pairfail	lac	0.605577594238	0.520480468688	0.691410403564
15973	NA	LOC100578813	pairwise	alc	0.390820123608	0.425984479838	0.872089544891
16004	garz	LOC727312	pairwise	lac	0.557630930153	0.53159257488	0.76135276681
16563	Dmel\\CG6465	LOC408969	pairwise	lac	0.666535190729	0.56144479323	0.687169672031
16626	NA	LOC102655120	pairwise	lac	0.490546107117	0.247204468047	0.558483817791
16739	NudC-L	LOC412375	pairfail	alc	0.378728415878	0.447224022673	0.838043021614
17036	ND-13B	Ndufa5	pairfail	lac	0.684484789999	0.659663141402	0.858275599295
17109	CG10348	LOC102655392	pairwise	lac	0.603648367651	0.475831557354	0.687294095687
18684	NA	107965500	pairwise	alc	0.411210860386	0.445033383634	0.760738958864
19092	CG13926-RA	LOC410017	pairwise	alc	0.411714069468	0.550051578305	0.748547198783
19208	NA	NA	pairwise	alc	0.0	0.642650502253	0.813487084443
19274	FBpp0085452	LOC412085	pairwise	lac	0.332014557191	0.324742329497	0.521168669133
