OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11576	Dmel\\CG11122	LOC100578705	pairfail	lac	0.627970147838	0.541848427255	0.829550911145
11642	pxb	LOC100576129	pairfail	cla	0.878472024849	0.796218773465	0.735818352076
12225	EST:LP08211	LOC411452	pairwise	alc	0.466241879594	0.732269862054	0.885112159886
12282	FBpp0303594	LOC410820	pairfail	lca	0.852680152131	0.537161786834	0.712895038157
13404	NA	LOC725844	pairfail	lac	0.805290647986	0.601324495692	0.852365195809
14718	NA	LOC413428	pairfail	lca	0.889283123993	0.831628453896	0.872845277777
15732	NA	LOC725542	pairfail	lac	0.956537058402	0.912862700777	0.957652871002
15752	nudE	LOC409894	pairwise	alc	0.133862440246	0.191882148994	0.482105551106
16034	disco-r	102656661	pairwise	lac	0.935342190101	0.932078603528	0.959576450044
16451	Dmel\\CG3632	LOC413663	pairwise	alc	0.313915815665	0.364790087485	0.542794566508
16611	FBpp0073610	NA	pairwise	lac	0.247282759049	0.220028446905	0.583469480247
17192	NA	NA	pairwise	lac	0.642921469352	0.516761035922	0.70414278883
18791	NA	NA	pairwise	alc	0.501077706021	0.719256911209	0.806978608984
