OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10817	btsz	LOC408337	pairwise	alc	0.295469649426	0.524746185408	0.769827481204
11579	NA	AGLU3	pairfail	alc	0.374398782908	0.490001522753	0.682217320329
11626	Nlg3	B9VMQ5_APIME;NLG-3	pairfail	lca	0.735685517355	0.360726793675	0.721119498528
11674	MET14_DROME	LOC409900	pairwise	lac	0.513362289032	0.444951116485	0.675245463999
12031	chas	LOC100578439	pairfail	lca	0.808665664292	0.353088729128	0.60403051021
12116	Dmel\\CG1607	LOC411772	pairfail	lca	0.589441002665	0.436833082529	0.579576944249
12669	pkaap	LOC726682	pairfail	lac	0.714811563891	0.520558640185	0.720510459875
13759	hpo	LOC410208	pairwise	alc	0.440840140054	0.564103682722	0.810850828144
13830	PICK1	LOC409315	pairwise	lac	0.386323839286	0.200348903905	0.713190366283
13875	Dmel\\CG43295	100576957	pairwise	alc	0.591279296393	0.743662127129	0.910251137505
14138	Q7K490_DROME	LOC411145	pairfail	lac	0.76532057567	0.699035871927	0.90030099417
14230	klu	LOC100577692	pairwise	lca	0.724298275976	0.300594511017	0.475895377704
14234	NaPi-III	LOC551814	pairfail	alc	0.470651267531	0.506186439311	0.793070964788
14302	shot	LOC408779	pairfail	lac	0.533647966563	0.403067154096	0.673289355556
14403	NA	LOC725475	pairwise	alc	0.0713263982277	0.443928857804	0.620372966713
14449	tweek	LOC410019	pairwise	lac	0.568609823048	0.396474960657	0.866724535672
14510	NA	LOC410326	pairwise	alc	0.4926404758	0.580717753328	0.762813013192
14594	FBpp0080396	LOC724545	pairfail	alc	0.408918285379	0.498645607097	0.773199390629
14906	Dmel\\CG2747	LOC412157	pairwise	lac	0.892474576033	0.807094685004	0.946927770058
15078	NA	NA	pairfail	alc	0.279946517881	0.661728580166	0.871166362499
15122	NA	LOC100576221	pairfail	lac	0.95037235415	0.903361165574	0.970631207779
15200	Wnk	LOC725503	pairfail	lac	0.387503050392	0.280589899054	0.616711283299
15211	Hlc	Hlc	pairfail	lca	0.729170540063	0.522415947806	0.700248317799
15629	NA	LOC409963	pairfail	alc	0.463915566679	0.598523086966	0.861641280946
15653	MPND_DROME	LOC410446	pairfail	alc	0.473152121933	0.70256038287	0.915622924605
15729	vlc	LOC408408	pairfail	alc	0.340613362182	0.591221582698	0.879871971405
15797	Dmel\\CG4768	LOC551118	pairwise	lca	0.896286528915	0.758927941545	0.877002450634
16284	escl	LOC551412	pairwise	lac	0.710633915586	0.580393623089	0.765714044665
16432	Indy	LOC725438	pairwise	alc	0.578375728781	0.664191184512	0.927049492562
16528	Nmd3	Nmd3	pairfail	lac	0.801613871351	0.789031490206	0.908897888136
16566	kermit	LOC552503	pairfail	alc	0.408215792079	0.714880658763	0.840129926944
16915	FBpp0088603	107965179	pairwise	lac	0.562986820167	0.332074230058	0.688260318086
17389	Dmel\\CG7781	LOC726321	pairfail	lac	0.435452508182	0.246003211826	0.702740418039
17708	A1ZAC2_DROME	LOC726528	pairfail	alc	0.400221507975	0.515518277386	0.821368476859
17744	CG2691-RA	LOC727591	pairfail	lac	0.543454714621	0.510767540818	0.763599434648
17785	CG32955-ORFB	LOC408633	pairfail	alc	0.490745774397	0.573157143621	0.734995681782
18023	NA	NA	pairwise	alc	0.107228545519	0.291060307999	0.730757435596
18102	NA	LOC100577582	pairwise	lca	0.846638323557	0.415466703554	0.647661595989
18145	Uch	Uch	pairfail	lac	0.237027205415	0.230256535189	0.625862323673
18356	NA	NA	pairwise	alc	0.326075952755	0.417974330748	0.849628775684
18368	NA	LOC410754	pairwise	lac	0.40128821612	0.280413479128	0.591774923008
18528	RpII140	LOC552156	pairfail	lac	0.373954606416	0.367032723876	0.61893135483
18736	FBpp0301178	LOC408964	pairfail	lac	0.220433457283	0.148372900539	0.480470818722
19037	NA	NA	pairwise	alc	0.237759818096	0.526252402597	0.804363180162
