OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11492	NA	LOC724374	pairwise	alc	0.17285064902	0.449446253482	0.79363718718
11935	NA	LOC724389	pairfail	lca	0.734741606669	0.382863211841	0.708738516766
11944	DAAM	LOC409001	pairfail	lac	0.440362463284	0.407673449667	0.827996150101
12481	Eaat1	LOC412382	pairfail	alc	0.16360463419	0.375391291775	0.770531606306
12531	FBpp0075077	LOC552414	pairfail	lca	0.685773898978	0.483451521586	0.681688030105
12591	NA	LOC412128	pairfail	alc	0.790083192654	0.893918610398	0.948358896888
12614	NA	LOC552512	pairfail	alc	0.13335662621	0.467018010244	0.788825843405
12780	FBpp0088549	LOC413089	pairfail	lac	0.64915136235	0.337907639069	0.65377762731
12849	NA	NA	pairfail	alc	0.407339700202	0.464214835395	0.705236806265
12886	sug	LOC100578226	pairwise	alc	0.359010807968	0.572497644202	0.753294110699
12931	Rad17	LOC724559	pairfail	alc	0.590626324362	0.629039999911	0.76161047579
12973	Dmel\\CG10555	LOC552613	pairwise	alc	0.530891532382	0.651532427558	0.847499891164
13359	msi	NA	pairfail	alc	0.154202485086	0.231388139779	0.50379485171
13438	NA	LOC726441	pairfail	alc	0.368552045485	0.472966933023	0.779937793188
13729	bel	bel	pairwise	alc	0.378562304022	0.506044661449	0.811458726687
13864	phr6-4	cry2	pairfail	alc	0.229162997558	0.388818848618	0.568153350564
13969	FBpp0288542	LOC409472	pairfail	lca	0.975907954499	0.848290879078	0.926945195234
14078	EG:152A3.3	LOC410370	pairfail	alc	0.391728370876	0.413132784242	0.705025284681
14248	IntS8	INTS8	pairfail	alc	0.204435625816	0.311938699645	0.519429269901
14271	mr	LOC411942	pairfail	alc	0.61002095922	0.615221276225	0.839208493857
14375	Rtc1	LOC100576850	pairfail	lac	0.906546198647	0.86143484135	0.927438592759
14464	anon-69Ag	LOC551753	pairwise	lca	0.724386323088	0.460488435704	0.709803733112
14659	A0A1B3Q3R0_DROME	RpL32	pairfail	lca	0.869060048492	0.629735950533	0.812164609876
14966	Gcn5	KAT2A	pairwise	alc	0.604015146883	0.69242251845	0.884401185301
15468	Dmel\\CG17493	Cetn2	pairwise	lac	0.641159759162	0.620654413573	0.798341757503
15734	Amyrel	LOC406114;Q9U8X5_APIME	pairwise	lac	0.595159813173	0.544107274986	0.884027441793
16128	CG10373-RA	LOC410130	pairwise	lac	0.781882097852	0.744776737351	0.860919542987
16148	pygo	Pygo	pairwise	alc	0.386233482187	0.412017898602	0.762688112452
16215	A9YJX8_DROME	Trf2	pairwise	lac	0.632943223503	0.566082901966	0.797993105837
16352	Tsp5D	Tspan1	pairfail	lac	0.406496930434	0.253040789934	0.583886477219
16656	anon-WO0118547.153	LOC552560	pairwise	alc	0.388538096888	0.454933050715	0.606954382884
16680	mgl	LOC552358	pairwise	alc	0.107755989075	0.326036607123	0.602856266738
16696	NA	LOC100578629	pairfail	lac	0.747681506992	0.658155407311	0.831311688972
16759	cutlet	LOC726742	pairwise	alc	0.382022721026	0.503560713451	0.74350342578
16770	NA	LOC100577082	pairfail	alc	0.236696214894	0.502770330119	0.682669990352
16855	A2VEJ3_DROME	LOC727485	pairfail	lac	0.355545368436	0.34332429243	0.74234644706
16897	TSG101	LOC409438	pairwise	alc	0.366340892301	0.543736032734	0.759645407084
16972	pgant6	LOC100578215	pairfail	lca	0.811204754012	0.361236700597	0.737131235705
17056	B4YXJ1_DROME	ksr	pairfail	lac	0.452307024581	0.329184875299	0.58556685242
17248	NA	LOC727260	pairwise	cla	0.691867693826	0.664454286726	0.604279765774
17337	RpL8	RpL8	pairfail	alc	0.396958775968	0.464817131894	0.776453374883
17622	CG8204-RA	LOC724786	pairfail	alc	0.288526421086	0.294471233513	0.563919675727
17877	NA	LOC726020	pairfail	alc	0.542714479878	0.554978246402	0.810296012375
18172	NA	LOC100578389	pairfail	alc	0.175368685837	0.637012887529	0.86595070102
18313	NA	NA	pairwise	alc	0.278792363311	0.446087838038	0.928903825402
18487	BHD	NA	pairfail	alc	0.297383058387	0.336453312189	0.639827818453
18514	NA	LOC725684	pairwise	alc	0.395326410425	0.473723008665	0.869428034114
18582	NA	LOC725315	pairfail	alc	0.527955017354	0.559105869448	0.891128168791
