OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11074	GM130	LOC551520	pairfail	alc	0.0485994533924	0.174938778688	0.353801050457
11241	Dmel\\CG2277	NA	pairfail	lca	0.738749049342	0.29180073299	0.506699262072
11535	A4IJ50_DROME	LOC410515	pairfail	acl	0.486679557878	0.706148422473	0.69207624779
11783	NA	LOC411264	pairfail	lac	0.513846860799	0.397341744525	0.762059359892
11860	Dmel\\CG8312	LOC408275	pairfail	lac	0.49398452104	0.437336708328	0.823088087353
11932	pst	NA	pairwise	lac	0.396703927442	0.112844311009	0.475644691964
12030	Alg10	LOC102655688	pairwise	lca	0.746055474397	0.226522087426	0.670336632221
12448	NA	LOC409183	pairfail	lac	0.287369591998	0.242821839587	0.493575297457
12682	NA	LOC414033	pairwise	alc	0.499634140761	0.611901515763	0.74691636522
12769	FBpp0290962	LOC412002	pairfail	alc	0.286830777925	0.328402432011	0.767343352761
13155	Suv3	LOC551613	pairwise	alc	0.345299279224	0.424374892621	0.749777177691
13163	NA	LOC100577231	pairfail	lca	0.658167886432	0.323042589056	0.652374499046
13346	EG:BACR7A4.19	LZTR1	pairfail	lac	0.64728185544	0.615665904348	0.829706314597
14325	NA	LOC413141	pairwise	lac	0.506997214915	0.364599003399	0.644819094424
14379	FBpp0072275	LOC412299	pairfail	alc	0.430751433076	0.526695271897	0.775562095283
14469	NA	NA	pairwise	alc	0.440201666749	0.584150518401	0.903755811403
14530	Madm	Madm	pairfail	lac	0.526126406403	0.518837390324	0.711454618064
15174	anon-WO0172774.89	NA	pairfail	alc	0.19308856031	0.279382992082	0.677841973257
15443	PHGPx	NA	pairfail	alc	0.729918388899	0.730232361976	0.886375283771
15636	NA	LOC410462	pairfail	lac	0.815694369697	0.671691008211	0.854178220799
15666	dUTPase	NA	pairfail	alc	0.54210797654	0.636615780598	0.916930236118
15742	NA	LOC551392	pairfail	lac	0.429433780698	0.333996846871	0.628083830098
15804	NA	LOC725033	pairfail	alc	0.299252563901	0.360088919216	0.585151948925
15903	Dmel\\CG5235	LOC726997	pairwise	alc	0.736398694934	0.776735631991	0.965686815014
16272	NA	LOC410852	pairfail	lac	0.53396776305	0.523236365189	0.853448085993
16351	NA	LOC100576986	pairfail	lac	0.697661990617	0.694115001865	0.920435193727
16391	Gpo1	LOC551904	pairfail	alc	0.320132807845	0.474326755986	0.82766088544
16448	Pmp70	LOC552495	pairfail	lac	0.48731289109	0.352644094658	0.632125957144
16498	Dmel\\CG1136	LOC727578	pairfail	alc	0.370687528466	0.451740259867	0.757039520509
17068	TFAM	NA	pairfail	lac	0.58687507469	0.27935923891	0.720522271307
17176	NA	LOC100579034	pairfail	lac	0.343474132033	0.24567480422	0.56823192914
17469	NA	LOC100577771	pairfail	lac	0.843271060189	0.581201671347	0.856314254447
17608	Dmel\\CG4332	LOC726579	pairwise	alc	0.439858592553	0.651798177613	0.888261643941
17734	NA	LOC412163	pairfail	lac	0.530697122087	0.464013058144	0.77790268288
17858	NA	LOC726669	pairwise	alc	0.249709405254	0.330616232507	0.653899386515
17918	Dmel\\CG13857	LOC102654839	pairfail	alc	0.471967658035	0.54966265861	0.787720936847
18127	NA	GMCOX3	pairfail	lac	0.606714030896	0.571958581656	0.803791985733
18377	NA	LOC727165	pairwise	alc	0.278661844485	0.513391528254	0.772797117487
18519	how	LOC725878	pairwise	alc	0.0856139132116	0.234334327034	0.567639617511
