OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11178	NA	LOC551685	pairwise	lca	0.823141063415	0.592330506061	0.703781451651
11552	NA	LOC410867	pairwise	lca	0.565916790515	0.21029333467	0.564586183698
11751	AdamTS-A	LOC412091	pairwise	lca	0.910574730119	0.261223172137	0.609248734904
11770	pico	LOC100578818	pairfail	alc	0.224062775683	0.28120950155	0.621261577618
11834	NA	LOC412890	pairfail	lac	0.744755696266	0.422649711033	0.834308285861
11876	Set1	LOC411985	pairwise	lac	0.781886791004	0.540995010704	0.786017165125
11877	UQCR-11L	LOC726316	pairwise	alc	0.610982254115	0.656494585422	0.821167964362
11919	Dmel\\CG9527	LOC412020	pairfail	lac	0.580458157373	0.506252015576	0.70877006548
11975	gfzf	NA	pairfail	alc	0.676226331813	0.746242368235	0.893945814003
12032	Dmel\\CG7564	LOC551987	pairfail	lac	0.409559482928	0.270101602373	0.465581430604
12358	twz	LOC411214	pairfail	lac	0.583339387655	0.518569731787	0.875503091334
12417	Alg2	LOC551972	pairwise	lac	0.646348423192	0.434907777101	0.802314388872
12677	kcc	LOC411113	pairwise	alc	0.548623887037	0.579224863485	0.907962119981
12781	Dh44-R1	LOC413829	pairfail	lac	0.465220206696	0.392041969091	0.574427579918
12787	NA	LOC100578296	pairfail	lca	0.777719735672	0.450347230131	0.684130349698
13159	Q9W232_DROME	LOC411649	pairfail	lca	0.765285465023	0.58613501175	0.752472383044
13244	NA	LOC551820	pairfail	alc	0.555210115268	0.582292645062	0.766542821487
13289	A9YGZ1_DROME	LOC410379	pairwise	lac	0.824927967445	0.54955473945	0.84286039697
13322	mRpL13	mRpL13	pairfail	lac	0.550385282293	0.507598820549	0.718233525781
13439	NA	LOC100576116	pairfail	lac	0.655518491536	0.433894822586	0.766257512467
13634	Q7JV61_DROME	LOC724896	pairwise	lac	0.613146360694	0.575922349638	0.761769387648
13705	BcDNA:GH03377	LOC724822	pairfail	alc	0.81390904413	0.878447854222	0.953237827442
13747	FBpp0088658	LOC412916	pairwise	lac	0.249602975242	0.209963153934	0.462504044638
13814	NA	NA	pairfail	alc	0.313567772344	0.373343836676	0.660323878127
13842	Appl	Appl	pairwise	lca	0.807277063488	0.538256228996	0.754534959436
13872	Sulf1	LOC410233	pairwise	lac	0.602992693862	0.390640589997	0.732208627607
13890	l(3)72Dn	LOC724542	pairwise	lac	0.454483679923	0.34366736503	0.617834659223
13900	l(2)k01209	LOC408305	pairfail	lca	0.647311691398	0.237906500096	0.548802934197
14038	Prip	LOC410915	pairfail	lca	0.806284586332	0.419255887999	0.746130557376
14181	Q7JYQ4_DROME	LOC406118	pairfail	alc	0.032332677004	0.17637883431	0.463666910399
14373	CG15744-RA	LOC552108	pairfail	lac	0.720785081798	0.561330380369	0.791051585406
14485	sit	LOC551938	pairwise	alc	0.340312443246	0.357637517131	0.715629084791
14498	NA	LOC410328	pairwise	alc	0.562403505692	0.662912091495	0.839295238993
14584	G8HS56_DROME	Pkc	pairfail	alc	0.252774524693	0.288982306555	0.692923659484
14619	Art4	LOC411458	pairfail	lac	0.40903298898	0.272457585204	0.561944523298
14755	Dmel\\CG14721	LOC727520	pairwise	lac	0.778924093521	0.615560034148	0.830897098621
14923	Dmel\\CG2837	LOC726864	pairfail	alc	0.313783817403	0.32663361089	0.722350509151
14929	EMC3	LOC551505	pairwise	lca	0.721237021063	0.471875669297	0.712237712777
15293	Sec63	LOC412505	pairfail	alc	0.647788370143	0.746582832009	0.852843831171
