CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AntP	AbdP	HedP	DufP	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce111322	5	0	0	0.2543	13747	intron	FBpp0088658	LOC412916	Bilateria	0.9037	0.03359	0.01867	0.5524	(140;7;2)	(131;2;7)	(136;2;4)	(139;3;0)	(141;1;5)
ce59667	5	0	0	0.0545	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(479;10;2)	(502;7;3)	(494;10;2)	(496;9;0)	(477;13;19)
ce87689	5	0	0	0.1777	12539	intron	NA	LOC724138	Bilateria	0.4347	NA	0.04918	NA	(221;1;0)	(221;3;13)	(215;2;8)	(219;2;0)	(221;1;0)
ce14699	5	0	0	0.2532	12790	intron	FBpp0290711	osp	Bilateria	0.07849	0.02385	0.03125	0.3751	(118;2;3)	(120;3;0)	(122;1;0)	(120;2;0)	(122;1;0)
ce130305	5	0	0	0.1685	12436	promoter	Nrx-IV	LOC551807	Bilateria	0.319	0.009406	0.5597	0.07384	(133;9;2)	(141;3;0)	(137;4;0)	(142;1;0)	(139;2;1)
ce52665	5	0	0	0.2864	12510	intron	Fit2	LOC408836	Bilateria	0.3671	0.002505	0.3047	0.8367	(117;1;6)	(116;2;0)	(115;3;0)	(116;2;0)	(116;2;0)
ce63764	5	0	0	0.4357	10232	intron	fas	LOC724195	Bilateria	9.741e-05	NA	0.188	NA	(109;6;0)	(112;3;0)	(112;3;0)	(114;1;0)	(114;1;0)
ce43015	5	0	0	0.0353	16914	intron	snRNP-U1-70K	snRNP70K	Bilateria	0.854	0.06516	0.0107	0.1657	(519;1;1)	(525;6;6)	(533;2;3)	(535;2;2)	(533;3;1)
ce24090	5	0	0	0.124	14053	intron	ec	LOC411038	Bilateria	0.0422	0.1935	0.3691	0.85	(144;1;0)	(143;1;1)	(144;1;0)	(143;2;0)	(144;1;4)
ce156454	5	0	0	0.1863	10379	intron	NA	NA	Bilateria	0.001918	0.9942	0.363	0.1705	(212;1;2)	(211;5;4)	(209;6;0)	(214;1;0)	(214;1;0)
ce129159	5	0	0	0.5684	13059	intron	NA	NA	Bilateria	0.01544	0.746	0.6787	0.2988	(117;6;6)	(119;4;1)	(119;4;4)	(122;2;0)	(121;3;0)
ce43488	5	0	0	0.3616	18277	intron	Rpb8	LOC102655904	Bilateria	0.02823	0.02201	0.03386	0.09526	(138;4;0)	(142;5;9)	(126;4;1)	(130;1;0)	(125;3;4)
ce111251	5	0	0	0.345	13747	intron	FBpp0088658	LOC412916	Bilateria	0.9037	0.03359	0.01867	0.5524	(173;2;0)	(180;5;13)	(175;4;2)	(179;2;0)	(177;4;10)
ce40942	5	0	0	0.4299	12362	intron	BcDNA:RE29468	LOC409956	Neoptera	NA	0.02631	0.06209	NA	(209;8;10)	(186;13;19)	(206;3;0)	(208;1;1)	(206;3;2)
ce139566	5	0	0	0.2614	11514	intron	NA	LOC725354	Bilateria	NA	NA	0.01002	NA	(150;1;0)	(147;4;0)	(149;2;0)	(152;1;0)	(150;1;0)
ce14550	5	0	0	0.0905	12790	intron	FBpp0290711	osp	Bilateria	0.07849	0.02385	0.03125	0.3751	(403;8;18)	(396;8;6)	(393;4;0)	(396;3;0)	(395;2;0)
