OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11008	NA	NA	pairfail	lca	0.585554574092	0.406695727059	0.517854355316
11262	NA	LOC724616	pairfail	lac	0.63459068545	0.535825265778	0.90036927761
11351	NA	LOC100577486	pairfail	lca	0.516870866418	0.303423924155	0.516599002416
11422	RpL40	RpL40	pairwise	lac	0.40904210089	0.361395815962	0.608931197742
11485	Alk	LOC408718	pairwise	alc	0.411124799711	0.44474251417	0.866905623662
12325	BEST:GH05015	LOC412748	pairfail	lac	0.544039144871	0.41029048483	0.644756516671
12486	Dmel\\CG9886	LOC726367	pairfail	lac	0.526879021777	0.514486047346	0.833585462543
12572	NA	LOC100576471	pairwise	lac	0.546268816326	0.469007837869	0.717699590697
12850	SdhB	LOC551169	pairfail	alc	0.665600663394	0.730638312847	0.926129519697
12902	FBpp0073392	LOC409644	pairfail	alc	0.457917650661	0.516940579133	0.715236670065
12996	A8DYI3_DROME	LOC412843	pairwise	lac	0.653985763863	0.57090040746	0.809043045907
13030	CG32138-RC	LOC410904	pairwise	lac	0.604477720622	0.380841422962	0.704360003471
13189	U692_DROME	LOC551982	pairwise	alc	0.150105813379	0.269752795166	0.669115886511
13257	NA	LOC100578989	pairwise	alc	0.187440811242	0.332042730402	0.631782189615
13380	anon-WO02059370.23	LOC413002	pairwise	lac	0.57631052886	0.265716028392	0.658892605585
13501	Incenp	Incenp	pairfail	lca	0.736888620954	0.208884676862	0.626743328846
13619	Shmt	LOC411796	pairwise	lac	0.779071659535	0.684752760967	0.846668141727
13699	Rh3	UVOP	pairwise	alc	0.525022262452	0.593483980288	0.867629758463
13747	FBpp0088658	LOC412916	pairwise	lca	0.713085229827	0.208580849018	0.529437935952
14148	und	Metap2	pairfail	lac	0.625408415755	0.493893280922	0.788248565432
14291	Dmel\\CG13295	LOC412457	pairwise	alc	0.663339322449	0.729770997003	0.879673465281
14443	mRpL4	mRpL4	pairfail	lac	0.834143859548	0.762711442403	0.854204849205
14469	NA	NA	pairfail	lac	0.220028035391	0.179450561473	0.590433758327
14544	ChLD3	NA	pairfail	alc	0.346384625596	0.457205251515	0.78370217791
15053	Dmel\\CG12184	NA	pairfail	lac	0.520432859222	0.520333598454	0.722686153015
15134	NA	LOC410601	pairfail	alc	0.275660488476	0.530182204157	0.728890429098
15586	NA	LOC100577533	pairwise	lac	0.779406485375	0.444503934293	0.845853300613
15598	CPT2	LOC411473	pairfail	lca	0.540190977279	0.42114130112	0.519975080295
15850	EG:39E1.2	LOC412954	pairwise	lac	0.56348579082	0.415068640459	0.861320564799
15911	Tab2	Tab	pairwise	lac	0.74341216452	0.719179622037	0.799257717491
16048	CT21630	LOC552058	pairwise	lac	0.653710289367	0.466991868585	0.758056265057
16316	NA	LOC102654355	pairfail	alc	0.397626794342	0.398817786393	0.6123425507
16340	NA	LOC100578119	pairfail	lac	0.483921536807	0.248340268315	0.697932093155
16623	Baldspot	LOC725031	pairfail	alc	0.323811913373	0.392036998976	0.736693203242
16815	sesB-RD	Ant	pairfail	lac	0.689989071276	0.660582406358	0.813550773541
16837	NA	LOC100578708	pairwise	lac	0.471766669406	0.391699855316	0.819817462037
16897	TSG101	LOC409438	pairwise	lac	0.607948896531	0.548896518083	0.782593157243
17291	Ube3a	As	pairwise	lac	0.494112524218	0.245854543252	0.572809285723
17394	NA	NA	pairfail	alc	0.60666739827	0.658647515028	0.882361122606
17420	NA	NA	pairwise	alc	0.436408778865	0.513842701301	0.68342839724
17541	NA	NA	pairfail	lac	0.473853895847	0.332829859008	0.763110103632
17703	Q1EBX5_DROME	RpL4	pairwise	alc	0.190984846613	0.314266384303	0.693813613805
18002	mRpL15	mRpL15	pairfail	alc	0.463710438509	0.499753759012	0.821431759731
18423	mRRF1	LOC411482	pairfail	lac	0.589050716477	0.476996121368	0.739804964261
18429	A9YK42_DROME	LOC724656	pairfail	lca	0.608774501807	0.440268297187	0.458358388198
19088	NA	LOC100578651	pairwise	alc	0.472312873827	0.486493795927	0.645650761874
19118	NA	LOC102653960	pairwise	lac	0.405147315608	0.224879699881	0.552414075548
