OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11674	MET14_DROME	LOC409900	pairfail	lca	0.804204427325	0.463596206522	0.662444892208
11707	MICAL-like	LOC412959	pairfail	alc	0.0358916953907	0.396917769135	0.759770008998
11937	cwo	LOC726204	pairwise	alc	0.360200676355	0.409218880861	0.710437515866
12226	FBpp0297244	LOC410739	pairfail	alc	0.515777348145	0.69063426682	0.881996830199
12390	Stam	Stam	pairfail	lac	0.416665468521	0.198406604541	0.55555400173
12886	sug	LOC100578226	pairwise	lac	0.782564823858	0.749491403788	0.869350693197
12899	Q7K1C3_DROME	LOC551537	pairfail	alc	0.242326982617	0.334259705598	0.665399290311
13147	NA	LOC409444	pairfail	lac	0.425741448802	0.39406946265	0.656825898681
13349	Dmel\\CG12581	LOC102656070	pairfail	alc	0.933898186186	0.95572277179	0.981241933384
13488	CCT3	Cctgamma	pairwise	lac	0.334040700133	0.0979769641558	0.661529606543
14053	ec	LOC411038	pairwise	lca	0.720153651446	0.441429582567	0.700648492765
14263	B5RIH0_DROME	LOC412227	pairfail	lac	0.128786247383	0.059506982058	0.382286777168
14348	Dbp21E2	LOC552664	pairwise	lca	0.855864535714	0.387075579599	0.685824428722
14396	CG5691-RA	LOC408774	pairfail	alc	0.66008648451	0.861187535041	0.940933976702
14698	FBpp0291165	LOC410317	pairfail	lca	0.90971254842	0.71941406283	0.850309883995
14724	BcDNA:LD23876	NFRKB	pairfail	alc	0.449800263539	0.512703011383	0.785275560102
15629	NA	LOC409963	pairfail	lac	0.73236476891	0.588548435432	0.887955034684
15731	Pdk	Pdk	pairfail	alc	0.40017666453	0.49363969321	0.722738754652
15768	NA	LOC411373	pairfail	lac	0.305136145695	0.286416911863	0.510889765355
15984	NA	LOC727294	pairwise	lac	0.49433164971	0.313491659942	0.587107954787
15991	NA	LOC551340	pairwise	alc	0.261397845272	0.308702797245	0.501249552421
16014	CG10064-RA	552238	pairfail	lac	0.657585313713	0.591440096219	0.762174117041
16456	chic	PRF;PROF_APIME	pairfail	acl	0.404468689052	0.932441421886	0.76120213644
16689	Dmel\\CG10710	LOC725775	pairfail	lac	0.706860938565	0.652210869847	0.824992392162
16848	tty	NA	pairfail	lca	0.762493391328	0.280019404013	0.621058809349
16911	mirr	LOC412839	pairfail	lca	0.940418440079	0.849423368067	0.92133303611
17253	up	TpnT	pairfail	alc	0.625299700714	0.919270140876	0.9608830793
17293	Dmel\\CG2321	LOC413154	pairfail	lac	0.260148732499	0.0950158377614	0.34803952939
17371	Dmel\\CG11158	NA	pairfail	alc	0.370933512613	0.441412186139	0.806192090842
18284	NA	LOC107964494	pairfail	cal	0.632623238816	0.752309575675	0.602761457755
18616	NA	LOC726323	pairwise	lac	0.821748063746	0.484884415547	0.880985211862
18686	Det	Det	pairfail	alc	0.283092224231	0.591735579772	0.763739362115
18741	Q9W1W8_DROME	NA	pairfail	acl	0.525666836857	0.844162821392	0.624167562096
18938	NA	NA	pairfail	alc	0.0292646172393	0.207879598813	0.593253613576
