OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11531	NA	LOC408449	pairfail	lac	0.566487528617	0.380701676049	0.577477174706
11655	Sf3b2	LOC726336	pairfail	lac	0.686561356652	0.600235176923	0.837862330328
12785	Dmel\\CG5355	LOC411896	pairfail	alc	0.263018166925	0.57346789655	0.885472942796
13065	NA	LOC726916	pairfail	alc	0.379136554707	0.450300756688	0.690002024664
13226	Dmel\\CG10581	LOC725299	pairfail	lac	0.34850366545	0.225420100379	0.504409959491
13263	Cat	Cat	pairfail	alc	0.474932517123	0.496964478963	0.777452508078
13488	CCT3	Cctgamma	pairwise	lac	0.579565854265	0.312112489929	0.762641882437
13652	A0A1B2AK92_DROME	TfIIA-S	pairfail	lac	0.487841903219	0.413430546534	0.717885805338
13665	Dmel\\CG13699	LOC100576284	pairwise	lac	0.747076179144	0.409916661199	0.784171073874
13902	CG11880-RA	NA	pairfail	lac	0.620404732884	0.47190831266	0.702430142599
14028	DmRH24	LOC412190	pairwise	alc	0.318935813685	0.38386175396	0.646150528605
14052	NA	NA	pairwise	lac	0.660247084075	0.529339406959	0.816865467245
14110	NA	LOC409206	pairfail	lca	0.642357684249	0.184967019441	0.529190252605
14143	NA	LOC102654206	pairfail	lac	0.523496374845	0.476658115127	0.814511642919
14148	und	Metap2	pairfail	alc	0.219942659303	0.304264458189	0.56773215952
14214	BcDNA:RE59468	LOC725581	pairwise	alc	0.479201621262	0.571813625971	0.84539005097
14392	NA	LOC102656444	pairfail	alc	0.211109945459	0.535297268677	0.74672177528
14821	FBpp0085043	LOC408863	pairfail	alc	0.338099692046	0.61991019829	0.802398535422
14877	mats	LOC409540	pairwise	lac	0.708165502388	0.46771126826	0.766888512393
15507	bwa	bwa	pairwise	alc	0.391669460859	0.399234501838	0.708942545176
15534	ARMC6_DROME	LOC408578	pairwise	alc	0.334553259219	0.512724505378	0.712102728654
15625	CG14755-RA	LOC408435	pairwise	lac	0.457879814303	0.276636457128	0.645951084112
15734	Amyrel	LOC406114;Q9U8X5_APIME	pairfail	lac	0.69405624288	0.58275645728	0.756632690037
15766	aurA	Stk6	pairfail	lac	0.439404969332	0.328104994074	0.705155096225
16640	NA	LOC100576746	pairwise	lac	0.4221614549	0.177914796981	0.596178039353
16673	ND-42	Ndufa10	pairfail	alc	0.42886174407	0.518748412302	0.69784803362
16803	NA	LOC726060	pairwise	lca	0.803032113258	0.271709968982	0.532154566433
16943	fd96Ca	LOC724979	pairfail	lac	0.415504789485	0.299272279732	0.560303458256
17122	NA	orb2	pairfail	lca	0.839017436037	0.415844129345	0.681465391409
17191	AnxB9	LOC412487	pairfail	lac	0.670302804889	0.575593637858	0.769401762146
17263	FBpp0081880	LOC100578470	pairfail	alc	0.483012261123	0.619420619191	0.80291867278
17933	myo	NA	pairfail	alc	0.260450201125	0.603462048763	0.815466854426
18100	FBpp0078795	Cpap3-e	pairfail	alc	0.50414078454	0.632972424303	0.966020310695
19061	NA	NA	pairfail	alc	0.00528904377053	0.299771583152	0.631872056137
19315	mRpS9	NA	pairwise	alc	0.108425397296	0.352141049344	0.736329038455
