OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11119	Tom70	Tom70	pairfail	alc	0.737906869556	0.769718347373	0.907424541883
11294	NA	LOC552680	pairfail	lac	0.570632967739	0.396992003702	0.647321382225
11311	Dmel\\CG7466	LOC725895	pairfail	alc	0.477247876005	0.519829047263	0.655706142475
11348	FBpp0086238	LOC408896	pairfail	lac	0.506198953006	0.33606016885	0.584675333547
11909	NA	LOC412101	pairfail	alc	0.309596453975	0.660720364209	0.936396482192
11982	NA	LOC102655007	pairfail	lac	0.120782928541	0.0785430449736	0.660267041758
12120	Fbxl7	LOC726706	pairfail	lac	0.861675673697	0.668051729816	0.953544825367
12344	Kah	LOC100576293	pairwise	alc	0.40107968832	0.411005148571	0.74163247505
12391	Vps52	LOC412346	pairwise	lca	0.944843133394	0.33464402731	0.800107091787
12781	Dh44-R1	LOC413829	pairfail	alc	0.261378108491	0.326325327371	0.666806002111
13347	Dmel\\CG14395	LOC726699	pairwise	lac	0.267245799706	0.227806700863	0.624448906957
13438	NA	LOC726441	pairfail	lac	0.621041749007	0.616902972158	0.814631140764
13452	NA	LOC100576304	pairfail	alc	0.193399247376	0.450785438424	0.794606524034
13499	Cda4	Cda4	pairwise	lac	0.852228081984	0.518295350186	0.887112244416
13506	Dmel\\CG4552	LOC552363	pairfail	alc	0.603131898499	0.634850808948	0.836909422683
13665	Dmel\\CG13699	LOC100576284	pairwise	lca	0.786779324732	0.379227678518	0.648934752877
13958	XRCC1	LOC100577027	pairfail	alc	0.456833739204	0.641963567265	0.9143249937
14027	MESR4	LOC100576321	pairwise	alc	0.585530589234	0.736697354237	0.894424805083
14078	EG:152A3.3	LOC410370	pairfail	lac	0.714519054761	0.462621126113	0.766318854048
14546	hdm	LOC100576947	pairfail	alc	0.368182410292	0.513096391456	0.794876671428
14547	NA	LOC100576744	pairfail	alc	0.421230666732	0.576404378182	0.795352377152
14602	NA	LOC100578745	pairfail	lac	0.44589076092	0.287336835651	0.643187896528
14613	CG9776-RA	LOC100578159	pairfail	alc	0.420611324217	0.562834283529	0.738304926099
14630	Dmel\\CG11367	LOC413916	pairfail	alc	0.48545342813	0.552083491196	0.738327733524
14782	Cpsf73	LOC102653588	pairwise	alc	0.355663062927	0.475890348235	0.752220894297
14868	Prosbeta1	LOC409831	pairwise	lac	0.583857223869	0.504890650383	0.760351495247
14899	IntS1	LOC411469	pairfail	lac	0.501553930894	0.49964964139	0.732517601486
15008	Dmel\\CG6765	LOC727269	pairwise	alc	0.761142517621	0.77183787778	0.848459621275
15554	A0A0B4LEV3_DROME	LOC409311	pairwise	alc	0.481223391185	0.739686644269	0.923995677548
15658	pdgy	LOC726040	pairwise	lca	0.713832037527	0.399183558484	0.643274566513
15924	CG3267-RA	LOC410554	pairfail	alc	0.428459171055	0.629313471685	0.798109065916
15976	NA	LOC725784	pairfail	lac	0.44852388974	0.38571418514	0.689761813202
16850	CG10508-RG	LOC410057	pairfail	lac	0.735785750854	0.612591972501	0.870774126635
16897	TSG101	LOC409438	pairfail	alc	0.35994657975	0.634986735037	0.872437387376
16998	Dmel\\CG12038	LOC409931	pairwise	alc	0.411182004433	0.554632966579	0.856538857291
17056	B4YXJ1_DROME	ksr	pairwise	alc	0.278888303841	0.358605685349	0.697954065116
17078	nmd	LOC411858	pairwise	alc	0.230519814436	0.240544031436	0.578596358094
17545	NA	NA	pairfail	alc	0.507165654977	0.661535034898	0.851637245093
17768	norpA	LOC724471	pairfail	lac	0.634901982509	0.352550460851	0.675422014946
18044	Tpr2	LOC410037	pairfail	lac	0.41908455522	0.367372515142	0.683028609513
18487	BHD	NA	pairfail	lac	0.238051658997	0.154959842828	0.448641592
18647	NA	NA	pairfail	alc	0.266404685994	0.456288728321	0.930541558633
19079	Set	LOC724665	pairfail	acl	0.593403481923	0.769731194223	0.724369087397
