OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10881	mdy	LOC552377	pairfail	alc	0.197758881411	0.375856366824	0.67780622867
11553	Sbf	Sbf	pairfail	lca	0.833644957212	0.708358752853	0.756925294791
11637	Rexo5	LOC410766	pairwise	lca	0.917928422974	0.465054061038	0.832804641796
11664	Mondo	LOC410953	pairfail	alc	0.149093536846	0.354488821668	0.649312622664
11689	BtbVII	LOC724810	pairfail	lca	0.854669411342	0.736051316002	0.744676197486
11690	Ptpa	LOC409443	pairwise	alc	0.555661585553	0.825163625366	0.926355530341
11993	nopo	LOC100577676	pairfail	lac	0.803298803069	0.625644993744	0.907537714442
12001	Ddx1	Ddx1	pairfail	lca	0.613078603693	0.305333454253	0.55838885662
12056	Dmel\\CG4662	LOC408562	pairfail	alc	0.372547854657	0.726475114033	0.760440521501
12085	FBpp0085155	LOC412083	pairfail	alc	0.370951653532	0.527142417833	0.699772965462
12239	NA	LOC725964	pairwise	lac	0.314479631624	0.297269163324	0.674741928498
12388	Dmel\\CG10383	LOC725516	pairwise	alc	0.726421608552	0.779648879193	0.870557144767
12470	ZFPL1_DROME	LOC411081	pairfail	lac	0.744756704213	0.701156448272	0.838068601881
12509	NA	LOC724743	pairfail	alc	0.520138128994	0.56195327067	0.740652827716
12855	Psf2	NA	pairwise	alc	0.350028283178	0.576292177299	0.800863344119
12965	Marcal1	LOC551616	pairwise	alc	0.577702166192	0.825201807615	0.926792663277
12997	NA	LOC409639;LOC412844	pairfail	alc	0.315602224552	0.493055552888	0.820760857498
13077	NA	LOC412650	pairwise	lac	0.702435983363	0.661852357903	0.896872836348
13188	Grip75	Grip75	pairwise	lac	0.791582010279	0.673041503336	0.831128346327
13189	U692_DROME	LOC551982	pairwise	lac	0.518810103102	0.363487388644	0.612277573234
13204	Dmel\\CG8927	LOC413113	pairfail	lac	0.245310794735	0.197356512175	0.582453053401
13243	bys	bys	pairwise	alc	0.686161478727	0.728757376151	0.871733155284
13290	NA	Acph-1;LOC726703	pairwise	alc	0.618349048831	0.665988395823	0.825249136115
13367	CG	LOC411252	pairwise	alc	0.64277435532	0.675081543644	0.876407775599
13418	Q6IDE2_DROME	LOC409769	pairfail	lac	0.601990134582	0.488056141368	0.834789315906
13557	Csk	Csk	pairfail	lac	0.447648261376	0.424058241788	0.765197427638
13584	Dyrk2	LOC412917	pairwise	alc	0.337338389407	0.453707663249	0.862462439562
13621	A0A1B2AKB3_DROME	mRpS24	pairfail	lac	0.66630203152	0.623941398061	0.837287623651
13771	Hsf	Hsf	pairfail	lac	0.595711051044	0.567128039891	0.80905854449
13925	Dmel\\CG8417	LOC551447	pairfail	lca	0.850950885136	0.428998743445	0.643608713442
14217	NA	LOC409323	pairwise	lac	0.369841061666	0.32242408764	0.809533476033
14381	Dmel\\CG6923	LOC726305	pairwise	alc	0.352896386073	0.561559294848	0.803444343301
14409	Fdh	Fdh	pairwise	alc	0.464171435653	0.567677684735	0.833570843067
14656	Atg17	LOC408358	pairfail	alc	0.413615224693	0.501826278554	0.769403338974
14756	NA	Fabp;FABP	pairfail	alc	0.588585676019	0.613470336564	0.834566313399
14784	bnl	NA	pairwise	lca	0.712936845961	0.389701243055	0.591104573396
14915	Arfrp1	LOC409342	pairfail	lac	0.652556727199	0.548127267103	0.774856838889
15123	Scgbeta	LOC409378	pairwise	lac	0.336557813383	0.227635548301	0.664401211992
15180	AdipoR	LOC550659	pairwise	lac	0.46182067837	0.347390087833	0.64706537279
15260	Dhx15	LOC551824	pairfail	alc	0.522251085481	0.614842745988	0.747313331392
15315	wap	LOC411901	pairwise	lac	0.749472111023	0.495074341271	0.80651830592
15346	shv	LOC552223	pairfail	alc	0.668210651824	0.704177484455	0.836531425112
15455	NA	LOC724950	pairfail	alc	0.165487447994	0.39492471925	0.689363956661
15557	NA	ferrochelatase	pairwise	lac	0.745669465715	0.504224974469	0.780502890493
15602	Dhc64C	LOC725068	pairwise	alc	0.303785079522	0.639998659461	0.844233307181
15734	Amyrel	LOC406114;Q9U8X5_APIME	pairwise	lca	0.941128708494	0.566478925024	0.889285031865
16082	NA	LOC726589	pairwise	lac	0.621907218972	0.461713754892	0.731286304556
16090	Trf	LOC727641	pairwise	lac	0.784538666715	0.759829530637	0.92332052824
16235	BG:DS00004.12	LOC412127	pairwise	lac	0.833666301044	0.658032183098	0.913271388018
16281	Pfdn2	LOC726085	pairwise	lac	0.559638604709	0.407250914177	0.69136692256
16310	FBpp0078963	LOC412528	pairwise	lac	0.550352654077	0.316978551178	0.670425027352
16312	CG3426	LOC107965774	pairwise	lca	0.775067552255	0.416922625319	0.719149595616
16364	Gp93	LOC412150	pairwise	lac	0.449611181615	0.422559620357	0.702036296969
16373	CT28495	LOC409367	pairwise	lac	0.449578990824	0.422223090167	0.702640892603
16665	Pex12	LOC552596	pairfail	lac	0.766892309308	0.573601115645	0.787057269667
16799	nahoda	LOC410725	pairwise	alc	0.206796043077	0.447089950399	0.82399098241
17216	CG1946	LOC409905	pairwise	lac	0.666585978739	0.587544562525	0.856509270055
17513	SerRS-m	Aats-ser	pairfail	alc	0.621791958473	0.741611585482	0.752637624376
18308	CIA30	LOC726255	pairfail	alc	0.292300341314	0.342204290406	0.641336983524
18363	NA	LOC726481	pairwise	lac	0.261422543701	0.168510075773	0.55303705962
18389	4E-T	LOC727230	pairfail	alc	0.388953781448	0.613413922236	0.829376393068
18550	NA	NA	pairfail	lac	0.568398918329	0.437896877516	0.740185829187
18903	NA	NA	pairfail	alc	0.141247126863	0.339899125458	0.630454530874
19007	NA	LOC412084	pairfail	lac	0.61150296744	0.572454849166	0.768474107882
19092	CG13926-RA	LOC410017	pairfail	lac	0.473824949994	0.267422891219	0.650994874594
19274	FBpp0085452	LOC412085	pairwise	lca	0.666568140471	0.463586534264	0.547639393313
19311	NA	NA	pairfail	alc	0.206962025316	0.289508228787	0.735584960674
19497	NA	NA	pairwise	acl	0.498560833891	0.638340625177	0.595984798998
