OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11527	DIP-alpha	LOC725840	pairfail	alc	0.353459336218	0.391652908097	0.64884709963
11935	NA	LOC724389	pairfail	alc	0.475814890756	0.521115123247	0.89375080425
12602	FIGL1_DROME	LOC552806	pairfail	alc	0.175741211949	0.256038465655	0.441878990688
12719	RpS5a	RpS5a	pairfail	lac	0.812780979982	0.790243166487	0.87323205903
13264	NA	NA	pairfail	lac	0.541419104896	0.3162744857	0.58003084609
13349	Dmel\\CG12581	LOC102656070	pairfail	lca	0.842997378869	0.712605933566	0.798011033526
13776	Pfk-RB	LOC724724	pairfail	lac	0.59439300052	0.591489895065	0.758333615885
14060	NA	LOC100578834	pairwise	lac	0.339947513334	0.203735279516	0.678595672004
14330	NA	LOC410986	pairfail	lca	0.925219206524	0.848674242976	0.925031651027
14466	Timp	LOC100576956	pairfail	lca	0.605609335619	0.411703146556	0.59094916686
14481	FBpp0306012	LOC412878	pairwise	alc	0.489711997862	0.500532063507	0.725224386748
15112	Rab3-GEF	LOC102655345	pairfail	lac	0.870151000687	0.703988568996	0.874840394445
16385	NA	LOC412041	pairfail	lac	0.358481124076	0.148046693586	0.384730665559
16404	RpS2	RpS2	pairfail	lac	0.358158597163	0.148047644631	0.487923854486
16767	Q7K0D3_DROME	LOC551406	pairwise	lac	0.371509819426	0.211177072632	0.537920438514
16806	Pdk1	LOC410732	pairwise	lac	0.932259962842	0.922505057415	0.952958774203
