OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11726	Dcr-1	Dcr-1	pairfail	lac	0.241895182423	0.199377581117	0.520965612874
11868	NA	NA	pairfail	lac	0.348641585881	0.300548285991	0.585886175435
11988	ed	LOC413423	pairfail	lac	0.790134215526	0.781288705303	0.794893125322
12037	D	LOC102653993	pairwise	alc	0.643772686567	0.942552323195	0.969135035761
12727	NA	LOC413451	pairfail	lac	0.331928489884	0.31665986725	0.497862594529
13502	NA	LOC727202	pairfail	lca	0.740931280294	0.456412090034	0.711963467734
13574	mei-9	LOC725405	pairfail	alc	0.478825498666	0.491383877536	0.865895994328
13806	pcs	LOC552162	pairfail	lac	0.251944249006	0.233157975145	0.58234354134
14139	NA	NA	pairwise	alc	0.591435752453	0.677839310882	0.892248422217
14348	Dbp21E2	LOC552664	pairwise	lac	0.747454913578	0.554890060243	0.840230117006
16064	EndoA	LOC408623	pairwise	alc	0.75765327476	0.807643953326	0.919759681511
16155	NA	LOC725091	pairfail	lac	0.724467094187	0.46028009259	0.761803719434
16366	Cnx99A	LOC552528	pairfail	lac	0.475770997317	0.298991587524	0.529465783128
16561	Sec61alpha	Sec61alpha	pairfail	lac	0.562324374915	0.52436620906	0.818076255679
16610	Cpr	NA	pairfail	alc	0.275489905503	0.424232406063	0.588377051226
16915	FBpp0088603	107965179	pairwise	alc	0.372583506238	0.540208957865	0.742879122184
17718	NA	Dop2;DopR2	pairwise	alc	0.600010283391	0.765145055953	0.908224540653
17933	myo	NA	pairwise	alc	0.6092980703	0.704402035627	0.925260090819
