OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11912	BCL7-like	LOC410033	pairfail	alc	0.452589220032	0.652479282133	0.868154596942
12216	Nep3	LOC408500	pairfail	lca	0.808095096229	0.520191842702	0.692745704941
12244	FBpp0085095	LOC551687	pairfail	alc	0.603744918275	0.726511745796	0.904657773076
12477	CG12950-RA	LOC411078	pairwise	lac	0.682506182718	0.596555179105	0.914480415672
12481	Eaat1	LOC412382	pairwise	alc	0.284314661574	0.614583007907	0.837392446506
12669	pkaap	LOC726682	pairfail	lac	0.560894444932	0.395294454676	0.698188987891
12727	NA	LOC413451	pairfail	alc	0.412412909175	0.576066988778	0.757414129816
12769	FBpp0290962	LOC412002	pairfail	lac	0.468905653583	0.377223578326	0.61821836416
12800	FBpp0074449	LOC413488	pairwise	lac	0.610090426177	0.336132636512	0.705372531284
12913	NA	LOC411403	pairfail	alc	0.498088618821	0.598132791873	0.782854110498
13010	gus	NA	pairwise	lac	0.653712324817	0.482188122518	0.689060858909
13107	pds5	LOC551462	pairwise	alc	0.0851455443076	0.268626502791	0.58983801506
13245	RapGAP1	LOC408271	pairwise	alc	0.326326755457	0.462480911766	0.880973982209
13274	Ent3	Ent3	pairfail	alc	0.186318568098	0.372560328911	0.616004417843
13328	BEST:GH23590	NA	pairfail	alc	0.140411279427	0.253419044549	0.582686979103
13469	NA	LOC724634	pairwise	alc	0.190406893019	0.451846437708	0.757041577231
13589	Rbcn-3A	LOC725436	pairwise	lac	0.565297529285	0.528027737309	0.776028194368
13663	geko	LOC726987	pairwise	lac	0.554249873038	0.375585411264	0.668588646799
13784	CSN6	LOC410195	pairfail	lac	0.752493188687	0.516290819479	0.768324594861
13842	Appl	Appl	pairwise	lac	0.420412259216	0.329587227807	0.620184048183
13905	CG12441	LOC410247	pairfail	lac	0.721066176035	0.702665207666	0.860787939813
14080	FBpp0306050	Nep2	pairwise	alc	0.307641683333	0.530990795227	0.812792400137
14110	NA	LOC409206	pairwise	lac	0.814375552867	0.705360402869	0.86461711094
14305	A0A0C4FEI6_DROME	Arpc3A	pairwise	lac	0.613113974796	0.315547491011	0.666006629645
14306	NA	LOC725703	pairfail	lca	0.610924328748	0.335202185514	0.601946569883
14408	put	LOC412471	pairwise	lca	0.91633609611	0.777066567981	0.888088836747
14515	Mekk1	LOC100578195	pairfail	alc	0.51687236068	0.596929196109	0.758553411484
15454	al	LOC552251	pairfail	alc	0.518739741406	0.666080379341	0.822664596202
15576	CR43698	LOC413309	pairfail	lac	0.626817400999	0.436231124186	0.668645457886
15630	NA	LOC411632	pairfail	alc	0.616862406869	0.634370667791	0.702508974927
15639	NA	LOC552354	pairfail	lca	0.699587993871	0.540460412983	0.653670917428
15920	Dmel\\CG13676	LOC552724	pairwise	lac	0.609155493352	0.53412931779	0.718331452984
15973	NA	LOC100578813	pairwise	alc	0.346777148613	0.457369655584	0.920824733537
16202	NA	SPH54	pairfail	alc	0.616966891527	0.798708396032	0.932571602744
16531	Dmel\\CG10463	LOC409969	pairfail	lac	0.4887572994	0.456884877341	0.704851504899
16539	rdgBbeta	rdgBbeta	pairwise	alc	0.283074614108	0.664297823195	0.871030172676
16543	BEST:LD38280	LOC102656322	pairwise	alc	0.408533401195	0.419980659048	0.654514646429
16891	Dmel\\CG17168	LOC410672	pairwise	alc	0.101554685528	0.466410503611	0.801577231914
16975	Q7JVW5_DROME	LOC726568	pairfail	lac	0.440416134783	0.266693494284	0.654605588826
17040	BcDNA:RE74890	NA	pairwise	lac	0.521347335431	0.353948897335	0.793144692851
17165	sd	LOC408616	pairfail	lac	0.461391134034	0.340219436169	0.598758690343
17309	NA	NA	pairwise	alc	0.316507581846	0.359916999129	0.59446192757
17703	Q1EBX5_DROME	RpL4	pairfail	lac	0.817961907814	0.752419735514	0.869765233741
17854	NA	LOC410415	pairfail	acl	0.613212029074	0.790627459559	0.729112705827
18177	BcDNA:GH06717	LOC725069	pairfail	alc	0.436231318365	0.452516363792	0.754271719458
18189	dup	dup	pairfail	alc	0.617779076046	0.750246525317	0.956421654863
18635	sosie	LOC102654257	pairfail	alc	0.118533896839	0.716968782492	0.874966433304
18708	NA	NA	pairwise	lac	0.634763441929	0.549171912221	0.801863862005
