OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11092	CG30357-RA	LOC725699	pairfail	alc	0.117615567869	0.295760542803	0.627555564701
11135	FBpp0073116	LOC550735	pairfail	alc	0.301752682915	0.432040875976	0.657062911343
11191	Dhod	LOC100577081	pairfail	alc	0.215384816626	0.339268931496	0.795622961789
11495	Ndae1	LOC409792	pairfail	alc	0.172831772219	0.367259786205	0.679014974618
11633	NA	LOC100577967	pairfail	lca	0.678952537098	0.406954287229	0.530554126456
11636	HDAC6	LOC727620	pairfail	alc	0.346099366954	0.706900476085	0.751429663346
11667	poe	LOC412281	pairwise	alc	0.165052552336	0.448388402848	0.854588936732
11822	NA	LOC551749	pairwise	lac	0.5559484889	0.457182907629	0.677835356608
11834	NA	LOC412890	pairwise	lac	0.467368976574	0.422735514419	0.662397517332
11910	Q4QPU3_DROME	NA	pairwise	alc	0.276820699307	0.589316937533	0.745144718486
12028	ial	Ial	pairwise	lac	0.392263915284	0.300648609688	0.780122893996
12321	NA	LOC100578691	pairwise	lac	0.90010397585	0.516033986745	0.959260321241
12380	sha	LOC411336	pairwise	lac	0.571785579991	0.537591912974	0.787887761363
12910	FBpp0071077	LOC724510	pairfail	lac	0.599952309378	0.361669700662	0.692417577079
12957	CG8728-RA	LOC552175	pairfail	lac	0.891328340471	0.461468671223	0.897402442307
13020	Dmel\\CG2818	LOC410117	pairwise	alc	0.464778890556	0.739669822022	0.902741253133
13044	NA	LOC725174	pairfail	lac	0.658296865201	0.567416027741	0.863829190185
13046	Dmel\\CG13618	LOC100577380	pairfail	alc	0.50769276343	0.664739398478	0.863275231205
13221	Rich	LOC411939	pairwise	alc	0.574371269621	0.615117525749	0.76722250746
13265	NA	LOC410012	pairfail	alc	0.581223237673	0.582083900716	0.832344816176
13274	Ent3	Ent3	pairfail	alc	0.524520590421	0.58174547853	0.833008959111
13316	CG15531	LOC727333	pairfail	lac	0.647654030853	0.339683714129	0.689354742534
13452	NA	LOC100576304	pairwise	lac	0.707935496456	0.63540812125	0.904646959351
13508	Hip14	LOC411148	pairfail	alc	0.320412426012	0.457010970907	0.659326555687
13518	MESK2	LOC413005	pairfail	lac	0.553944971113	0.44297352528	0.715188665203
13527	VhaAC39-1	VhaAC39	pairwise	alc	0.680371962733	0.814087063073	0.902481801752
13544	Dmel\\CG14341	LOC552306	pairfail	lac	0.478942036756	0.43911629298	0.682553435174
13693	NA	Y-x2	pairwise	lac	0.811157461952	0.717270326407	0.843755146525
13787	koi	LOC551485	pairwise	lac	0.452646783411	0.435228917412	0.736191175595
13796	NA	NA	pairwise	lac	0.527551020552	0.43900062504	0.748697393318
13890	l(3)72Dn	LOC724542	pairwise	lac	0.841559842247	0.600315698503	0.847432364196
13993	yellow-b	NA	pairfail	lac	0.367528135168	0.225658037536	0.604898026402
14052	NA	NA	pairfail	lac	0.392880902777	0.216949127603	0.62770295557
14078	EG:152A3.3	LOC410370	pairwise	lac	0.58487528706	0.278105935622	0.737185957584
14346	NA	LOC726378	pairfail	lac	0.620330193017	0.497504793836	0.726104204324
14609	FBpp0306158	LOC409068	pairfail	alc	0.486776978514	0.523937778986	0.813173876412
14620	NA	RnpS1	pairfail	alc	0.476588105193	0.494474535709	0.813838241041
14634	NA	LOC725462	pairfail	lac	0.506314774459	0.186955488131	0.511572978489
14660	CG7890	Hs3st-B	pairfail	lac	0.364313588583	0.295712359766	0.467508166877
14769	FBpp0302679	LOC411646	pairwise	alc	0.366977426312	0.518059675512	0.833360900759
14787	cnn	LOC408563	pairfail	alc	0.336179271732	0.490871983171	0.660443845541
14851	A0A0B4LGG8_DROME	LOC410166	pairfail	alc	0.476485542549	0.534670664503	0.847599679362
15008	Dmel\\CG6765	LOC727269	pairfail	lca	0.791799543465	0.347800775796	0.588306292078
15772	srl	LOC727127	pairwise	lca	0.882807668605	0.645965269322	0.789932834744
15853	E(Pc)	E(Pc)	pairfail	alc	0.614416276243	0.696868539933	0.864373150044
16064	EndoA	LOC408623	pairfail	lac	0.427327792528	0.252172541431	0.709229544923
16178	NA	LOC412315	pairwise	lac	0.765304412789	0.547673031205	0.80852683838
16208	Dmel\\CG9590	LOC551672	pairwise	lca	0.703201591198	0.210791177702	0.61646185534
16259	DNApol-eta	DNApol-eta	pairfail	alc	0.401191666109	0.648010016549	0.802701067062
16325	FBpp0310594	LOC408699	pairfail	alc	0.576835304519	0.690137568395	0.835653836885
16385	NA	LOC412041	pairwise	alc	0.301214116519	0.477954687695	0.835805693822
16404	RpS2	RpS2	pairwise	alc	0.300838054983	0.470075822926	0.807514429307
16766	Mtch	LOC726264	pairfail	lac	0.647163114846	0.338720184808	0.814297745206
17050	CG32847	LOC408751	pairfail	lca	0.798672751193	0.212064967644	0.579031397409
17151	Efr	LOC725569	pairwise	alc	0.300376421694	0.522403679934	0.746341891252
17247	pasha	LOC414009	pairfail	alc	0.531792422532	0.642076272865	0.851230635489
17549	PNKP	LOC552254	pairfail	lca	0.64189033052	0.496139023866	0.634728226495
17777	Dnz1	LOC552426	pairfail	lca	0.679562471723	0.479299749976	0.589814747384
18063	Mgat1	Mgat1	pairwise	lac	0.640719559796	0.614916073279	0.722126885469
18157	Sep15	LOC410663	pairfail	alc	0.132215407831	0.515557465461	0.789941022339
18161	NP15.6	LOC724719	pairfail	lac	0.733183742555	0.593329598136	0.780545875562
18277	Rpb8	LOC102655904	pairfail	alc	0.272557559038	0.427894979281	0.758204284721
19081	Dmel\\CG33290	LOC726803	pairfail	alc	0.272160846247	0.505503713674	0.54404896458
19237	NA	LOC726611	pairwise	lac	0.481725566611	0.106773833004	0.735204446454
19311	NA	NA	pairfail	alc	0.064707655214	0.181632954206	0.544081454781
19769	NA	NA	pairwise	alc	0.375219623392	0.455082969325	0.892354116046
