OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11074	GM130	LOC551520	pairfail	alc	0.641581955103	0.737186029792	0.73946610889
11326	Sdic2	LOC413409	pairwise	lac	0.55901812976	0.437836009299	0.769882275784
12140	Atu	Atu	pairfail	lac	0.567845553791	0.327606482571	0.681124741803
12217	enok	NA	pairwise	lca	0.369864376159	0.100897602616	0.36301989491
12228	A1ZBW6_DROME	LOC408439	pairfail	lac	0.550077959448	0.471500182941	0.822620737179
12511	NA	LOC408853	pairwise	lac	0.484469760948	0.332085638354	0.570706696113
12515	corto	LOC102655661	pairwise	alc	0.190588439179	0.334658892997	0.49516599745
12563	Pka-R1	LOC412714	pairfail	lca	0.77939428168	0.500757078901	0.744498439922
12679	NA	LOC100577941	pairwise	lac	0.706629567937	0.680575817593	0.850577112686
12707	CG14367-RA	LOC100576859	pairfail	lac	0.413877816967	0.338180486968	0.705247297665
12895	NA	LOC413416	pairwise	lac	0.287890664574	0.179276524427	0.662363872807
13005	RpL37A	LOC725432	pairfail	alc	0.37190382904	0.38421738975	0.59694777876
13285	NA	LOC102656245	pairwise	alc	0.519715869093	0.539830862052	0.927901819749
13385	NA	JIL-1	pairwise	lac	0.59621946212	0.187639869912	0.685211394188
13461	COX4	Cox4I1	pairfail	lca	0.702484051957	0.452071316823	0.616902698222
13709	Dmel\\CG11247	LOC100578529	pairfail	alc	0.792969215067	0.869846687494	0.967619085848
13714	NUBP1_DROME	LOC409365	pairwise	lac	0.731368600473	0.533732225766	0.772966604163
13864	phr6-4	cry2	pairfail	alc	0.150805828178	0.382138229959	0.609231158785
13957	hd	LOC410194	pairwise	lac	0.554401705974	0.537728294824	0.739596757192
14128	NA	LOC100576666	pairwise	alc	0.438353146074	0.489267647538	0.752909207597
14425	NA	LOC724473	pairfail	lac	0.406469017809	0.385292238832	0.590408014401
14793	FBpp0293063	LOC408389	pairfail	lac	0.611861277691	0.360484914056	0.623583991703
14825	Dap160	LOC409554	pairwise	alc	0.38991793891	0.544734512032	0.78752036214
14988	NA	LOC409424	pairwise	lac	0.565759574091	0.275396421264	0.711632426032
15137	ApepP	LOC410616	pairfail	lac	0.80500429485	0.681970260933	0.82919143977
15258	ASGL1_DROME	LOC552839	pairfail	lac	0.438539075705	0.316516515233	0.508187614078
15311	Vmat	LOC408517	pairwise	alc	0.15607699975	0.342235220419	0.681408458988
15319	RnrS	RnrS	pairfail	lca	0.84749994647	0.41594458345	0.662979478101
15596	anon-ct	LOC725458	pairfail	lac	0.658510455577	0.458633729396	0.690379870378
16017	Ns1	ns1	pairwise	lac	0.458441247935	0.316169218261	0.645434882564
16224	Wsck	LOC551743	pairfail	lac	0.488370919375	0.367223798528	0.651287057961
16337	Zw	LOC725325	pairwise	lac	0.623993672406	0.566226478284	0.729187663851
16391	Gpo1	LOC551904	pairwise	lac	0.613668988036	0.559995680843	0.796028302776
16563	Dmel\\CG6465	LOC408969	pairwise	alc	0.504336293669	0.652072994773	0.800925073453
16701	NA	LOC100576370	pairwise	alc	0.167904623446	0.199245251757	0.623073768889
16978	Chmp1	Chmp1	pairfail	alc	0.21705859986	0.460037401807	0.730639060772
17107	kri	LOC551948	pairwise	alc	0.299792995325	0.301454364916	0.563344504474
17268	NA	LOC411407	pairfail	lac	0.507106063512	0.409664708168	0.714874459042
17439	dsf	LOC102654580	pairfail	alc	0.29438588263	0.618506365841	0.91974189828
17499	NA	LOC102655452	pairwise	lac	0.667806736308	0.308171944225	0.680981777434
17657	A9YHM3_DROME	Fbxl4	pairfail	alc	0.256961103086	0.307339572882	0.648114090078
17700	NA	NA	pairfail	alc	0.0873093125512	0.139951179005	0.531154695193
17859	Dmel\\CG9706	LOC408402	pairfail	alc	0.381306931036	0.510660559405	0.708854424091
17894	Acon	LOC408446	pairwise	lca	0.600151553161	0.154244589538	0.507169096024
18000	GstT3	GstT1	pairwise	alc	0.386444148176	0.502240818253	0.816361848339
18433	BcDNA:RH29237	LOC411291	pairwise	alc	0.293929224517	0.483810452464	0.638192968157
18573	Q7K188_DROME	LOC411664	pairfail	alc	0.529451276885	0.687194049558	0.787444407994
18603	Q9W2L7_DROME	411958	pairfail	alc	0.181537077301	0.321427943961	0.62769598211
18883	slim	LOC552147	pairwise	alc	0.156408840393	0.226508657404	0.455130295194
19070	l(2)k09913	LOC552562	pairfail	alc	0.419582372336	0.655245784973	0.749649713864
19192	NA	LOC100578245	pairfail	alc	0.243222872431	0.432024554331	0.490371671039
19297	NA	LOC102655078	pairfail	lac	0.395287163542	0.382547435833	0.661372343702
19337	isoQC	LOC411943	pairfail	lac	0.411530973276	0.402732841891	0.591273254105
19769	NA	NA	pairfail	alc	0.262481922265	0.472943852735	0.87432313188
