OG	P	FDR_P	numtax	bp
11254	7e-132	6.293e-128	16	2592
16520	6e-118	2.697e-114	18	2949
14944	1e-108	2.99666666667e-105	19	3900
11048	3e-98	6.7425e-95	13	3627
12263	1e-93	1.798e-90	18	4791
15866	7e-89	1.04883333333e-85	19	1911
10804	1e-87	1.28428571429e-84	10	1434
13892	2e-87	2.2475e-84	19	3705
19684	6e-87	5.99333333333e-84	13	330
11667	1e-84	8.99e-82	18	16407
10931	2e-84	1.63454545455e-81	13	9693
16618	3e-80	2.2475e-77	19	1761
10525	1e-78	6.91538461538e-76	14	3957
17934	9e-78	5.77928571429e-75	18	1737
12246	6e-74	3.596e-71	19	12861
15994	8e-71	4.495e-68	19	11679
10823	4e-67	2.11529411765e-64	18	26466
15306	8e-67	3.99555555556e-64	18	5652
11757	6e-66	2.83894736842e-63	18	5433
11697	7e-65	3.1465e-62	19	1806
12049	7e-64	2.99666666667e-61	14	1599
11533	6e-59	2.45181818182e-56	10	411
17248	3e-57	1.17260869565e-54	17	4524
14732	3e-56	1.12375e-53	19	612
12364	2e-55	7.192e-53	10	1413
19323	4e-55	1.38307692308e-52	10	534
14626	4e-54	1.33185185185e-51	19	4281
11670	4e-53	1.28428571429e-50	17	57279
13638	7e-53	2.17e-50	19	1884
11052	3e-52	8.7e-50	17	3429
16371	3e-52	8.7e-50	19	11955
19245	1e-51	2.809375e-49	15	396
15200	3e-51	8.17272727273e-49	19	9636
19453	1e-50	2.64411764706e-48	10	777
19665	2e-50	5.13714285714e-48	12	339
16405	1e-48	2.49722222222e-46	19	4485
10648	8e-48	1.94378378378e-45	17	1158
11412	2e-45	4.73157894737e-43	17	7122
12785	3e-45	6.91538461538e-43	19	2310
19627	2e-44	4.495e-42	11	747
16555	4e-44	8.77073170732e-42	19	3582
11149	1e-43	2.14047619048e-41	18	4347
11915	3e-43	6.27209302326e-41	18	4437
19046	2e-42	4.08636363636e-40	16	3618
11051	1e-41	1.99777777778e-39	14	1233
16793	7e-41	1.36804347826e-38	19	669
15789	7e-40	1.33893617021e-37	19	3777
14475	5e-39	9.36458333333e-37	18	6114
10481	8e-38	1.46775510204e-35	18	6942
14743	3e-34	5.394e-32	19	2115
10347	6e-34	1.05764705882e-31	14	8115
16568	7e-31	1.21019230769e-28	19	2460
17985	6e-28	1.01773584906e-25	18	4968
18816	2e-16	3.32962962963e-14	17	594
18983	4e-16	6.53818181818e-14	16	903
15570	3e-14	4.81607142857e-12	18	1608
14560	7e-14	1.10403508772e-11	19	2769
15584	8e-13	1.24e-10	18	3183
17616	1e-12	1.52372881356e-10	18	603
16009	2e-12	2.99666666667e-10	19	2907
17565	8e-12	1.17901639344e-09	18	2274
15583	1e-11	1.45e-09	19	4818
10645	9e-11	1.28428571429e-08	13	2310
18771	1e-10	1.4046875e-08	15	1221
12917	3e-10	4.08636363636e-08	19	4740
14584	3e-10	4.08636363636e-08	18	2016
12547	4e-10	5.3671641791e-08	19	10110
11695	7e-10	9.25441176471e-08	18	768
16024	1e-09	1.30289855072e-07	19	306
11391	4e-09	5.06478873239e-07	18	2076
12929	4e-09	5.06478873239e-07	19	2925
16842	7e-09	8.74027777778e-07	19	10995
13937	1e-08	1.19866666667e-06	19	4038
18543	1e-08	1.19866666667e-06	17	564
19450	1e-08	1.19866666667e-06	10	1032
18509	2e-08	2.36578947368e-06	17	1629
13015	3e-08	3.5025974026e-06	17	5988
10768	5e-08	5.61875e-06	11	903
10935	5e-08	5.61875e-06	11	471
16708	5e-08	5.61875e-06	19	3825
15668	6e-08	6.65925925926e-06	18	441
13600	8e-08	8.77073170732e-06	18	2847
10446	9e-08	9.74819277108e-06	13	7494
11388	1e-07	1.04534883721e-05	18	4095
15855	1e-07	1.04534883721e-05	19	3129
16036	1e-07	1.04534883721e-05	19	867
13691	2e-07	2.0202247191e-05	18	657
15225	2e-07	2.0202247191e-05	19	7200
18049	2e-07	2.0202247191e-05	17	468
13558	4e-07	3.90869565217e-05	19	1746
13744	4e-07	3.90869565217e-05	19	6672
16292	4e-07	3.90869565217e-05	18	1407
12879	5e-07	4.73157894737e-05	19	3144
17746	5e-07	4.73157894737e-05	18	741
18213	5e-07	4.73157894737e-05	18	4860
10274	6e-07	5.56082474227e-05	18	852
15033	6e-07	5.56082474227e-05	19	1038
13135	7e-07	6.42142857143e-05	18	369
10430	9e-07	8.17272727273e-05	12	1536
11467	1e-06	8.64423076923e-05	18	4716
12235	1e-06	8.64423076923e-05	16	4674
15704	1e-06	8.64423076923e-05	19	4551
17668	1e-06	8.64423076923e-05	18	447
17891	1e-06	8.64423076923e-05	18	645
11769	2e-06	0.00016495412844	19	3261
12293	2e-06	0.00016495412844	17	558
12596	2e-06	0.00016495412844	17	2532
12734	2e-06	0.00016495412844	19	1065
13333	2e-06	0.00016495412844	19	1170
16990	3e-06	0.000238672566372	15	435
18009	3e-06	0.000238672566372	17	402
18380	3e-06	0.000238672566372	17	867
19685	3e-06	0.000238672566372	12	420
10540	4e-06	0.00030735042735	16	15624
10696	4e-06	0.00030735042735	15	5493
10901	4e-06	0.00030735042735	11	1428
11784	4e-06	0.00030735042735	18	2814
13516	6e-06	0.0004495	19	1500
15921	6e-06	0.0004495	17	402
19039	6e-06	0.0004495	16	657
12334	7e-06	0.00050344	18	2796
12359	7e-06	0.00050344	16	561
14216	7e-06	0.00050344	13	873
