OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11616	crol	LOC409470	pairfail	lca	0.830066954094	0.581256737367	0.755078444113
11718	Dmel\\CG4338	LOC409232	pairfail	lac	0.597116310899	0.347299475691	0.63186721741
11838	CG16790-RA	LOC724953	pairfail	alc	0.360087710654	0.453770049327	0.665159380847
12464	mtd	NA	pairfail	alc	0.28920557902	0.327657703289	0.612355666357
12679	NA	LOC100577941	pairwise	lac	0.660157761093	0.427520396386	0.724417973629
12968	Dmel\\CG4829	LOC726158	pairfail	lac	0.455346879645	0.364348988907	0.730588269093
13081	anon-WO0118547.413	LOC552793	pairfail	lac	0.442590906653	0.344195074502	0.584651443604
13487	NA	LOC411980	pairwise	lca	0.771291268618	0.257454487585	0.565240842595
13502	NA	LOC727202	pairfail	lca	0.774358437727	0.484565784875	0.760928062715
13596	Dmel\\CG3940	LOC725261	pairfail	lac	0.349687872815	0.304246125733	0.447030873303
13600	NA	LOC725589	pairfail	alc	0.306986631213	0.515026277892	0.807362483204
13778	CG4908	LOC552253	pairfail	lac	0.497203051544	0.445988530736	0.681105777635
14362	BEST:CK02656	LOC414051	pairwise	alc	0.244419882949	0.270388583136	0.671605814171
14412	NA	LOC409316	pairwise	lac	0.552516162574	0.456118214539	0.799601903199
14650	trmt44	LOC410286	pairfail	lac	0.723993641836	0.619481612481	0.769331430025
14868	Prosbeta1	LOC409831	pairwise	lac	0.566989736096	0.191479584638	0.774205599762
15194	NA	LOC100577909	pairwise	alc	0.655088675965	0.684484473678	0.870312485108
15355	Mo25	LOC409886	pairfail	lac	0.477860096621	0.423267531389	0.739059205458
15529	Dmel\\CG7049	LOC409298	pairwise	lac	0.512828590844	0.36291663987	0.66427564472
15708	Spx	Spx	pairfail	lac	0.913614592911	0.862153676452	0.946853293014
15711	ear	LOC724205	pairfail	lac	0.912808325327	0.862182477221	0.946750300974
15837	Q8MLQ7_DROME	LOC552592	pairfail	alc	0.17612380209	0.386064111746	0.718569394304
15864	Rh5	BLOP	pairwise	lca	0.832019797541	0.484158087236	0.699585997265
16025	NA	LOC408619	pairfail	alc	0.731224344414	0.791746577079	0.881512973678
16121	Dmel\\CG3225	LOC413147	pairfail	lac	0.565361338297	0.498663697087	0.7905311259
16318	NA	LOC100578586	pairfail	alc	0.624223590557	0.632909437146	0.857486117369
16623	Baldspot	LOC725031	pairwise	lac	0.409016810145	0.280069928835	0.744837823989
16644	bai	LOC409026	pairfail	alc	0.543527220676	0.588292853422	0.808087610101
16659	Ing5	LOC551029	pairwise	lac	0.389484234288	0.30729413868	0.639613554191
16841	NA	LOC413968	pairwise	lac	0.481907993583	0.1041556892	0.567763008424
16911	mirr	LOC412839	pairfail	lac	0.668096406129	0.586025482035	0.836395228397
17036	ND-13B	Ndufa5	pairfail	lac	0.687149478784	0.659171831375	0.801535818781
17439	dsf	LOC102654580	pairfail	alc	0.11693535127	0.739683771783	0.921170390401
18436	Dmel\\CG10864	LOC725219	pairwise	alc	0.209105263019	0.426815264643	0.688542342271
19032	Dmel\\CG7841	LOC409645	pairwise	lac	0.397353322755	0.32918343961	0.739945516861
