OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11431	frm	LOC102654867	pairwise	alc	0.0999214769051	0.201685936821	0.653261673462
11567	Dmel\\CG3999	LOC100577053	pairfail	alc	0.580419025287	0.596510133579	0.61452462799
11792	Q7JQT9_DROME	TBL3	pairwise	alc	0.186588365351	0.302794727942	0.531727667464
11871	CG1544-RA	LOC412569	pairwise	lac	0.327815640833	0.133180751588	0.592400553386
11934	NA	LOC100576784	pairfail	lac	0.800954031954	0.416484562974	0.820985132229
12125	NA	NA	pairwise	lac	0.285675248495	0.274228023356	0.65687745041
12219	Mvl	LOC494509	pairfail	alc	0.564202574372	0.642860967986	0.810121445881
12281	NA	LOC100578654	pairfail	alc	0.447218484752	0.600074323518	0.68002614557
12334	NA	LOC727495	pairfail	lca	0.67428391494	0.537786367005	0.639160389646
12558	A1ZBJ2_DROME	LOC412025	pairfail	alc	0.376711996269	0.678832574336	0.809070676545
12596	GlyP	GlyP	pairfail	lac	0.331956288423	0.218955885876	0.539465369645
12814	Sec16	LOC409888	pairwise	lca	0.973194776516	0.724736747165	0.864840732306
12843	Pc	Pc	pairfail	alc	0.517907488048	0.530315801312	0.700731414612
12997	NA	LOC409639;LOC412844	pairfail	alc	0.265879759036	0.32432423196	0.581990915373
13117	GC1	LOC414011	pairfail	lac	0.520913488991	0.504169661777	0.74487578655
13121	Q7JUN9_DROME	LOC411837	pairwise	lac	0.597279319923	0.5421992262	0.787017928043
13173	NA	LOC413783	pairwise	alc	0.357921004913	0.566279559581	0.827505558318
13217	NA	LOC100576157	pairwise	lac	0.409096616781	0.290542359444	0.613013855238
13238	dzy	LOC408810	pairfail	lac	0.389833142803	0.352946150865	0.612373182703
13245	RapGAP1	LOC408271	pairfail	alc	0.369748911753	0.413661383151	0.63426035648
13279	MET15_DROME	LOC724742	pairwise	alc	0.411560751831	0.671040833305	0.88272709721
13458	Clc	Clc	pairfail	lac	0.384442944352	0.196649588184	0.530410629509
14074	NA	NA	pairwise	lac	0.276436236982	0.169918573617	0.599816761697
14086	Mcm2	LOC411640	pairfail	lac	0.726440045216	0.691647837022	0.838277975606
14255	FucTA	100578168	pairfail	lac	0.453979281829	0.26422074838	0.546769956061
14496	Mtpalpha	LOC410325	pairwise	alc	0.438396320207	0.536552329939	0.789466702125
14509	FBpp0079208	LOC552716	pairfail	alc	0.456551941828	0.612011299533	0.837945287312
14589	NA	LOC727221	pairwise	lac	0.488932908865	0.374186415192	0.653901554937
14611	FBpp0088079	LOC411433	pairwise	alc	0.641423403314	0.644294422732	0.899583001443
14670	mahe	NA	pairfail	lac	0.504313980693	0.379792717574	0.870220275604
14776	NA	LOC725618	pairfail	lac	0.555480715883	0.539612671502	0.759382280558
14891	TM9SF3	LOC551549	pairwise	lac	0.513553051325	0.494124159522	0.694831026147
15110	rols	LOC727137	pairwise	alc	0.365864383868	0.46826227282	0.756491959778
15286	Dmel\\CG9577	LOC100578624	pairfail	lac	0.543121980227	0.373247791272	0.619127011323
15529	Dmel\\CG7049	LOC409298	pairfail	lac	0.832477166821	0.687953105693	0.927128567138
15900	dati	LOC100576251	pairwise	alc	0.163846649525	0.191804131609	0.716737455521
16028	Dmel\\CG15814	LOC410740	pairwise	alc	0.379499720286	0.513880237485	0.887069336983
16129	Non1	LOC410799	pairfail	lac	0.399570775622	0.327643616721	0.634348970461
16250	NA	LOC725419	pairfail	alc	0.577944918709	0.80098014457	0.933887381218
16325	FBpp0310594	LOC408699	pairfail	lac	0.529832177846	0.438257704817	0.7616284183
16398	Nup160	LOC725332	pairfail	alc	0.580350156502	0.583024768325	0.746066375671
16430	Pink1	LOC550929	pairfail	lac	0.729530806374	0.570877237541	0.849608825354
16439	ctp	DLC-D	pairfail	alc	0.890782836549	0.890828536391	0.93075796764
16678	NA	NA	pairfail	lac	0.681256348697	0.668655935285	0.838080327045
16741	path	path	pairfail	alc	0.313133335069	0.517267406042	0.883722799091
17036	ND-13B	Ndufa5	pairwise	alc	0.451316186263	0.564226056581	0.775182383559
17067	NA	LOC726365	pairfail	acl	0.742592520181	0.819457244018	0.773230938428
17089	A1Z6G6_DROME	LOC727415	pairfail	lac	0.767416461328	0.447029557431	0.770329240713
17453	NA	LOC100576637	pairwise	alc	0.279277535714	0.324895196424	0.66660766215
17537	CG6751-RA	NA	pairfail	alc	0.429936657824	0.647198265939	0.804437018943
18049	NA	NA	pairfail	alc	0.443559445964	0.558997773832	0.765444377794
18561	NA	NA	pairwise	lac	0.40404927693	0.390416341627	0.748103108979
18569	NA	LOC725656	pairfail	alc	0.304434289029	0.487193716954	0.657578731685
18710	NA	LOC410803	pairwise	lac	0.483554293255	0.108772586086	0.672994343976
18727	NA	NA	pairfail	alc	0.247151718845	0.502620865699	0.75802849927
18997	spoon	LOC724955	pairfail	lac	0.49404345015	0.236798083336	0.499034249643
19054	NA	LOC727144	pairfail	alc	0.247158011602	0.314028060123	0.430252761933
