OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10501	NA	PRM1	pairfail	lac	0.245386668781	0.0823400140685	0.438867089911
12190	FoxP	Foxp	pairfail	alc	0.475893152395	0.649314832579	0.826160536657
12453	CG12018-RA	LOC725330	pairwise	lac	0.188522644301	0.176038128249	0.530026194127
12460	smt3	smt3	pairwise	lca	0.428596894101	0.0893273473159	0.357498547858
12475	NA	NA	pairfail	lca	0.850464350114	0.541130359807	0.813345172988
12507	FBpp0071630	LOC724925	pairfail	lca	0.692610760007	0.480968405602	0.67388366026
12705	sll	sll	pairwise	lac	0.412642904142	0.131061703354	0.437277514251
12720	dnk	dnk	pairfail	lac	0.212616206848	0.153909287343	0.436917978416
13110	Apc	LOC552177	pairfail	lac	0.767625707744	0.599855273762	0.781579213112
13544	Dmel\\CG14341	LOC552306	pairfail	lac	0.578076311393	0.448007130884	0.670938990266
14069	CG4365-RC	NA	pairfail	alc	0.138746508872	0.144049989816	0.518890215189
14166	NA	NA	pairfail	lca	0.930970023664	0.870080768751	0.927445242642
14237	dbo	dbo	pairfail	alc	0.386252820101	0.460988421877	0.600268779968
14305	A0A0C4FEI6_DROME	Arpc3A	pairfail	lca	0.866008044312	0.672263121109	0.813165067538
14625	MED19	MED19	pairfail	lca	0.582633314307	0.355635695987	0.54380631945
14699	Dmel\\CG5958	LOC552447	pairfail	lac	0.524167867943	0.236303278316	0.650763622785
14752	CT19169	LOC102654777	pairfail	alc	0.684136582406	0.689252410093	0.83830394387
14841	NA	LOC409783	pairwise	alc	0.707420393302	0.743990409192	0.915223780167
15213	FBpp0081481	LOC724242	pairwise	lac	0.82550935781	0.773703511436	0.878521502846
15422	ths	NA	pairfail	alc	0.498428097148	0.543540100368	0.724510026242
15470	FBpp0071028	LOC100577187	pairfail	alc	0.355242434694	0.360866275651	0.686503276902
15581	NA	LOC100578020	pairwise	alc	0.251040399304	0.413638374836	0.673555652593
15779	aSMase	LOC726315	pairwise	lac	0.430242277949	0.143736590672	0.518632359197
15926	prominin-like	LOC726582	pairfail	alc	0.773889828302	0.863094849904	0.987709605749
15973	NA	LOC100578813	pairfail	alc	0.600848377534	0.637447384997	0.90385538297
16978	Chmp1	Chmp1	pairfail	lac	0.159085590512	0.0634590702782	0.452584339843
17451	NAT1	LOC411154	pairwise	lac	0.647610789442	0.610394900826	0.735602727566
17559	NA	LOC107965192	pairfail	alc	0.572811696862	0.594051431435	0.818148338096
17731	Dop1R1	dop1	pairfail	alc	0.415664298607	0.72454115165	0.855865921406
