OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11299	Slob	LOC409492	pairfail	lac	0.687912462522	0.57009192646	0.789733575251
11508	Fnta	LOC551732	pairwise	alc	0.279331501636	0.50466292627	0.731890695763
11550	Mhcl	LOC726044	pairwise	lca	0.539462301705	0.295758455069	0.468034776771
11553	Sbf	Sbf	pairfail	lca	0.792272258331	0.638686350925	0.67529768329
11726	Dcr-1	Dcr-1	pairfail	alc	0.339680764872	0.368249373432	0.681052380331
11742	NA	Gr10	pairwise	alc	0.251398710629	0.517250692946	0.871693063208
11761	NA	LOC100578345	pairfail	lac	0.570324977152	0.429469196998	0.755131668454
11890	Usp10	LOC726488	pairwise	lac	0.413364309203	0.290422549514	0.739662560738
11933	XYLK_DROME	LOC410911	pairfail	alc	0.135480433516	0.281589529199	0.655812729785
12178	NA	NA	pairwise	alc	0.139355419415	0.344319646594	0.683573194999
12212	NA	LOC410539	pairfail	alc	0.188484278948	0.24479494616	0.604872396737
12214	Dmel\\CG16771	LOC410530	pairfail	lac	0.635723443102	0.595142756492	0.818302271184
12396	NA	NA	pairwise	lca	0.643520243711	0.216648555943	0.557155867418
12569	A1Z6H6_DROME	LOC412784	pairfail	alc	0.387463788501	0.409684141232	0.770201905883
12751	PpV	PpV	pairfail	alc	0.346964064003	0.43464362951	0.809459424131
12789	Dmel\\CG3104	NA	pairwise	lca	0.701110492145	0.229166783286	0.627432795723
12844	Gk1	LOC551041	pairfail	lac	0.727460627691	0.463146334482	0.795188771562
13051	Dmel\\CG14894	LOC551047	pairfail	lac	0.595672201988	0.42434501822	0.666852241593
13356	Prosalpha2	Pros25	pairwise	alc	0.341158333785	0.522710688068	0.744889683873
13360	Dmel\\CG7675	LOC413168	pairwise	alc	0.280508520458	0.567647321112	0.778752454683
13473	Dmel\\CG14535	LOC411018	pairwise	alc	0.520975977624	0.529741112365	0.856220098585
13544	Dmel\\CG14341	LOC552306	pairfail	lac	0.452352884469	0.224915336607	0.652518500309
14090	Atf3	ATF-3-like	pairwise	lca	0.728279415017	0.310019871494	0.564274886343
14140	Cht5	Cht5	pairwise	lac	0.638250760935	0.593526796845	0.798986686773
14259	Dmel\\CG8507	LOC411533	pairwise	lac	0.633603510647	0.461498296042	0.784252060692
14397	NA	LOC725546	pairfail	alc	0.482162456231	0.587411469839	0.857718505215
14699	Dmel\\CG5958	LOC552447	pairfail	lac	0.557495896937	0.334529896298	0.655084668838
14753	Adk1	Adk1	pairwise	alc	0.189674664488	0.339063608972	0.698125892265
14845	CG8654-RA	LOC412056	pairwise	alc	0.275356200953	0.278204320281	0.582001678278
14879	NA	LOC724772	pairfail	lac	0.548835488674	0.362480123658	0.611457495545
14978	NA	LOC413892	pairfail	alc	0.360275380875	0.420883165928	0.746949486133
14987	FBpp0080265	LOC412455	pairfail	lca	0.77923285201	0.414017752902	0.724001268871
15070	anon-EST:Posey170	LOC100577399	pairfail	alc	0.463723292919	0.598522404994	0.868317300611
15081	Dmel\\CG9990	LOC409666	pairfail	alc	0.371627146221	0.413735487512	0.781997948921
15166	NA	NA	pairfail	lac	0.716939174746	0.446030020781	0.877476028824
15214	BEST:GH02390	LOC409180	pairwise	alc	0.33569182346	0.552630131605	0.786680786731
15369	Yeti	Yeti	pairfail	alc	0.762125774187	0.929635284777	0.989817557228
15379	NA	LOC102654496	pairfail	lac	0.649888834512	0.41540876387	0.690729945001
15384	NA	LOC726240	pairwise	lac	0.564329950746	0.394191822897	0.78925714471
15650	Dmel\\CG9220	LOC413549	pairfail	lac	0.692798779411	0.678036347202	0.858508736083
15703	l(2)37Cc	LOC408412	pairwise	lac	0.408815379875	0.185779444303	0.67304109364
16283	SAK	SAK	pairwise	lac	0.691060323511	0.595412082296	0.885971919869
16289	Gdi	Gdi	pairwise	lac	0.521229200791	0.357098219975	0.690144748569
16302	Klc	LOC726991	pairfail	lac	0.530132359951	0.342463153445	0.657854497413
16335	Strip	LOC412331	pairfail	alc	0.272285408147	0.415622773518	0.652113960584
16350	CG1665-RA	LOC724919	pairwise	lac	0.316413793	0.283924340471	0.55411039248
16509	NA	LOC413984	pairwise	alc	0.635503246724	0.832521042866	0.959534492081
16511	Dlic	Dlic	pairwise	alc	0.405003641705	0.468724277342	0.708990881476
16531	Dmel\\CG10463	LOC409969	pairwise	lac	0.783393282505	0.506092168168	0.794461525409
16913	caup	LOC412840	pairwise	lca	0.626588893238	0.272359551394	0.62463529149
17163	NA	LOC102655703	pairfail	alc	0.48585473593	0.539141079385	0.841935646117
17206	lin-52	Lin-52	pairwise	lca	0.763515107735	0.320176906219	0.736788762234
17226	RpI12	LOC100578235	pairwise	alc	0.480154619686	0.683884245161	0.926227158821
17248	NA	LOC727260	pairfail	lca	0.662507507219	0.365923480947	0.494687182203
17434	Cpr100A	CPR19	pairfail	alc	0.322285025529	0.427921131844	0.504786052077
17703	Q1EBX5_DROME	RpL4	pairwise	alc	0.221801214385	0.28415190128	0.559039116056
17731	Dop1R1	dop1	pairfail	alc	0.209749552833	0.407981452034	0.785192742695
18084	Mpp6	Mpp6	pairwise	alc	0.261912666193	0.399353690373	0.710610362499
18088	Q8SWV5_DROME	NA	pairwise	lac	0.738324031713	0.554217411415	0.831550327415
18117	NA	LOC100576198	pairfail	alc	0.357800123385	0.573246078945	0.794115931063
18321	NA	LOC100576930	pairwise	lac	0.470669239458	0.303774324796	0.654778248545
18540	NA	LOC100188904	pairfail	alc	0.235722773324	0.417373897761	0.619472982053
18711	NA	LOC100576796	pairfail	alc	0.332353954667	0.693803023053	0.85369925596
