OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11383	Ac78C	LOC726262	pairfail	lac	0.467927842497	0.421109756648	0.701982609204
11803	NA	NA	pairfail	alc	0.421006955894	0.633375466918	0.779150598438
12607	NA	LOC410788	pairfail	lac	0.342914234209	0.217833331028	0.608917507066
12839	Tob	LOC100578925	pairfail	alc	0.814521892851	0.87506633673	0.912747849482
12883	Dmel\\CG43861	NA	pairfail	lac	0.617611678833	0.5532700366	0.756323087128
13362	Fsn	LOC413637	pairwise	alc	0.280603705628	0.351783056833	0.733847884143
13575	Vps53	LOC550700	pairwise	alc	0.234813564044	0.344611925026	0.681393193042
14023	FBpp0081008	LOC413474	pairfail	lac	0.709782531032	0.455184928487	0.812171351798
14562	NA	LOC100576985	pairfail	alc	0.593388479754	0.610156059856	0.72907070696
14643	spz6	spz6	pairfail	lac	0.527212792575	0.362380944601	0.789385718679
15240	NA	LOC100578924	pairwise	lac	0.811840502249	0.75114004221	0.913296431886
15658	pdgy	LOC726040	pairwise	lac	0.449043468041	0.326125562568	0.569621818426
15731	Pdk	Pdk	pairfail	lac	0.757709862538	0.497390988741	0.897064202825
16064	EndoA	LOC408623	pairwise	lac	0.567702473901	0.567524606786	0.89014848558
16367	ric8a	ric8a	pairfail	alc	0.724877449859	0.777758631187	0.927106988109
17144	Rac1	Rac	pairwise	alc	0.811955825883	0.836896169485	0.897694215598
17439	dsf	LOC102654580	pairfail	alc	0.273480139583	0.708258408093	0.980655854347
17561	Dmel\\CG12104	LOC551624	pairwise	lac	0.926130127249	0.918744128405	0.967300029936
17981	NA	CSP2	pairfail	lac	0.69854053081	0.663155402378	0.883461399798
18169	NA	LOC408601	pairwise	alc	0.50713882339	0.737282866076	0.856401555906
18700	NA	107964828	pairwise	alc	0.236543199928	0.330328190279	0.518698294876
