OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11674	MET14_DROME	LOC409900	pairfail	alc	0.413833581744	0.484508231278	0.69453505902
11707	MICAL-like	LOC412959	pairwise	alc	0.177734306308	0.410041437514	0.727329019678
11871	CG1544-RA	LOC412569	pairwise	lac	0.552627838036	0.52027911949	0.812302941345
12102	mspo	LOC726068	pairfail	alc	0.5725430119	0.702473888091	0.82883605709
12301	NA	LOC413029	pairfail	alc	0.710583702526	0.765466766291	0.897658149029
12539	NA	LOC724138	pairwise	lac	0.766471313022	0.620145646161	0.912216107119
12924	NA	LOC100576333	pairwise	lac	0.33344608928	0.288272187673	0.588230577258
13550	JhI-26	LOC726672	pairfail	lac	0.559229946667	0.39524306787	0.743879412229
14431	Sirt1	Sir2	pairfail	alc	0.407785107383	0.433613800455	0.67658247512
14653	LACB2_DROME	LOC408355	pairwise	alc	0.447940716335	0.466565656164	0.789739479805
14987	FBpp0080265	LOC412455	pairwise	lca	0.648268508882	0.26429046095	0.563547502144
15050	Dmel\\CG6678	LOC410602	pairwise	lac	0.810050946138	0.622298978389	0.865203907006
15422	ths	NA	pairfail	lac	0.54410962128	0.436912545425	0.703048428498
15837	Q8MLQ7_DROME	LOC552592	pairfail	lac	0.622869935585	0.392568693411	0.623310253842
16129	Non1	LOC410799	pairfail	alc	0.203227957973	0.36491198311	0.60542447348
16431	Q7K581_DROME	LOC100577746	pairfail	lac	0.625321823365	0.462364570315	0.703517956646
16663	Dmel\\CG14238	LOC552631	pairwise	lac	0.622763914977	0.52141940352	0.671645089502
16676	Br140	LOC411881	pairwise	lac	0.766192647354	0.688397692397	0.850875518951
16890	mgr	LOC551893	pairwise	alc	0.444866861395	0.597394856394	0.785164545652
17505	ato	LOC102656170	pairfail	alc	0.387542040747	0.531917717136	0.721243273919
17862	NA	LOC726434	pairfail	alc	0.438085835654	0.685915332662	0.870171918882
17869	phm	CYP306A1	pairfail	lac	0.624211459138	0.467865588796	0.706695253132
17908	PKN	LOC410562	pairfail	acl	0.705395501734	0.762946958093	0.73323117634
18061	ND-19	Ndufa8	pairwise	alc	0.176142115949	0.2239938389	0.494981541925
19023	NA	NA	pairwise	lac	0.680422743361	0.634736681149	0.901638921213
