OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11422	RpL40	RpL40	pairfail	cla	0.837298968419	0.732248193022	0.723806657958
11520	B4YXH6_DROME	gprs	pairwise	lac	0.273184885068	0.237022749206	0.672245390943
12013	BcDNA:RE55923	LOC725594	pairfail	alc	0.369171561866	0.423395742585	0.657830987974
12034	CG7744-RA	LOC724770	pairwise	lac	0.480379203286	0.475360670966	0.551634791464
12177	tum	LOC410144	pairwise	lca	0.7154653783	0.502195236764	0.712019862517
12311	Idgf6	LOC413324	pairfail	lac	0.586181866151	0.408111544193	0.706640658121
12325	BEST:GH05015	LOC412748	pairfail	lca	0.804202705233	0.511612548436	0.78568108935
12358	twz	LOC411214	pairfail	lca	0.829401073113	0.390020386065	0.788938029913
12503	NA	LOC411077	pairfail	alc	0.622265006246	0.651639111577	0.779993878604
12527	cue	LOC552401	pairwise	alc	0.456707393267	0.476925004632	0.757000636635
12531	FBpp0075077	LOC552414	pairwise	alc	0.206246316689	0.506575737572	0.755915471563
12535	A0A1B2AK42_DROME	LOC107964950	pairwise	alc	0.53032189094	0.754052050429	0.917379329337
12611	NA	LOC724415	pairfail	lca	0.734048284561	0.44206860666	0.684218190342
12613	NA	LOC410784	pairfail	lca	0.734129905668	0.446470633701	0.659999355143
12714	NA	LOC409818	pairwise	lac	0.218947279778	0.10752114198	0.461661051394
12922	ana3	LOC100578040	pairfail	lac	0.724321128008	0.614542523735	0.831300722041
12939	Dmel\\CG12395	LOC102655189	pairwise	lca	0.803189023415	0.55051657189	0.757898222819
12947	NA	LOC726129	pairfail	alc	0.504328105349	0.725453483034	0.851353736721
12949	MFS3	LOC410920	pairwise	lca	0.899900639972	0.620679300386	0.758343363564
13384	SH3PX1	LOC413831	pairfail	lac	0.519382201456	0.424440119903	0.744922732572
13537	FBpp0100147	LOC724826	pairfail	alc	0.400894963297	0.494993735124	0.7086525955
13914	Dmel\\CG5056	LOC724683	pairwise	alc	0.30008797875	0.543885748804	0.826254335732
14016	CG4573-RA	NA	pairfail	lac	0.810332603105	0.782331429761	0.914664073405
14280	hoip	LOC102655272	pairwise	lac	0.643440646985	0.255855048032	0.671167363451
14511	NA	LOC726800	pairwise	lac	0.752675424877	0.704307648666	0.841302023517
14642	NA	LOC408354	pairwise	lac	0.523600844605	0.465244957138	0.923743130639
14789	cbs	LOC410659	pairfail	alc	0.541680637526	0.609958433007	0.836088083372
14793	FBpp0293063	LOC408389	pairfail	lac	0.674519634401	0.564114423624	0.813184334965
15010	NA	LOC409533	pairfail	lca	0.71296215454	0.616316908738	0.70574140928
15305	NA	CPR17	pairfail	alc	0.579775924224	0.703977150721	0.902909908629
15423	Dmel\\CG17249	LOC725042	pairwise	lca	0.722120754413	0.267974112831	0.565570558133
15752	nudE	LOC409894	pairfail	lca	0.729495799325	0.403383249342	0.704987907413
15920	Dmel\\CG13676	LOC552724	pairfail	alc	0.0675307764789	0.268559444915	0.576916576314
15927	NUBP2_DROME	LOC410516	pairfail	alc	0.258768022044	0.291220233403	0.617889137518
16068	bowl	LOC410399	pairfail	lca	0.693490356638	0.324681261698	0.626065759731
16107	Q29QY2_DROME	RpS3	pairfail	lac	0.558142835445	0.554864845023	0.803000617902
16233	NA	LOC100578833	pairfail	lca	0.610069727153	0.325563334528	0.569923627641
16517	Wwox	Wwox	pairfail	lac	0.636429880045	0.445761601962	0.706329410395
16606	Dmel\\CG5071	LOC100577578	pairfail	alc	0.252460004132	0.341376828689	0.647726920958
16811	NA	LOC409392	pairwise	lca	0.794836511327	0.562087904182	0.767513045401
16822	Hsc70-5	Hsc70-5	pairwise	lac	0.591786899774	0.582664857646	0.816047067342
17062	NA	NA	pairfail	lac	0.59241824579	0.52041648286	0.823662451817
17068	TFAM	NA	pairfail	lac	0.502757550286	0.445884015557	0.757014055558
17248	NA	LOC727260	pairwise	lac	0.485394531719	0.411645497507	0.559752078854
17296	Dmel\\CG6431	LOC410884	pairfail	lac	0.559254382629	0.419398137077	0.691139655406
17323	Csp	LOC724965	pairwise	alc	0.606035858444	0.617539934974	0.929669230416
17410	FBpp0074685	LOC409170	pairfail	cal	0.810364793897	0.843133547141	0.782239696062
17459	Dmel\\CG6607	LOC724380	pairfail	lac	0.440062758532	0.195221916545	0.50025266096
17541	NA	NA	pairwise	lac	0.797884095266	0.704445702583	0.840872208374
17578	Tpc1	LOC727424	pairwise	alc	0.482162254966	0.801599720683	0.90474326984
17858	NA	LOC726669	pairwise	alc	0.044362770261	0.268297923965	0.676150586957
17963	Alg-2	LOC408672	pairfail	lca	0.756044341349	0.430709896527	0.620126949383
18330	Ipp	LOC724969	pairwise	lac	0.500940244193	0.446873438835	0.664530635108
18702	wol	LOC100576818	pairfail	lca	0.707854914648	0.413191803932	0.619902366436
19224	NA	NA	pairfail	alc	0.238087550922	0.377314098985	0.520105650492
