OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10926	tnc	LOC726252	pairwise	lac	0.457406159396	0.351546164655	0.852313246461
11421	Fak	LOC724973	pairwise	lca	0.825599457839	0.458002258136	0.811952974818
11680	f	LOC409402	pairfail	lac	0.541038385454	0.451649127765	0.669974157023
11938	KRI1_DROME	NA	pairwise	lac	0.58162240085	0.533245039823	0.867142820283
12282	FBpp0303594	LOC410820	pairfail	lca	0.904788695558	0.515898928727	0.698968865748
12805	Dmel\\CG32645	LOC412295	pairfail	lac	0.736111918578	0.551332457671	0.755333927646
12882	mtm	MTMR2	pairfail	alc	0.471142187397	0.64123716671	0.862024997434
12982	Dmel\\CG13893	LOC725676	pairwise	lca	0.829636764497	0.56503115723	0.725452926156
13143	Dmel\\CG15186	LOC102654281	pairfail	lac	0.789184385613	0.594091116349	0.895481709287
13147	NA	LOC409444	pairwise	lac	0.415912354502	0.300418001888	0.574885954789
13573	Dmel\\CG9586	LOC551099	pairfail	alc	0.340994348211	0.429889806278	0.588410727336
14483	ND-B18	LOC724827	pairfail	lca	0.543633079964	0.227530797617	0.456412300396
14633	NA	PROH2_APIME	pairfail	lac	0.792879573418	0.748935568057	0.897472101707
14698	FBpp0291165	LOC410317	pairfail	lac	0.772775623724	0.449199876306	0.839498862904
14805	NA	NA	pairwise	alc	0.686314339954	0.692661054519	0.87848356629
14965	NA	LOC412943	pairfail	alc	0.656039456213	0.661911350867	0.819664508385
14986	CstF50	LOC409688	pairfail	lac	0.654764838623	0.630923046426	0.819852255673
15266	NA	LOC100578519	pairwise	lac	0.388656792631	0.203646371348	0.474367505742
15493	NA	otd2	pairwise	alc	0.567828303508	0.619707303757	0.777770496305
15803	CG14043-RA	LOC100578513	pairfail	lac	0.388063528301	0.325107740261	0.637435843466
16075	Atg5	Atg5	pairfail	alc	0.594963969644	0.622339192468	0.840024404651
16297	psq	psq;Psq	pairfail	lca	0.903504120839	0.672224986184	0.799675115228
16597	ste14	NA	pairwise	alc	0.269485848711	0.565977710193	0.815556459628
16973	NA	LOC724432	pairfail	alc	0.396468925379	0.62910528292	0.815535029654
17296	Dmel\\CG6431	LOC410884	pairwise	lac	0.768852505981	0.522998654435	0.858333073769
17665	Dmel\\CG3756	LOC411510	pairfail	alc	0.0823554454268	0.1390838915	0.509336370077
17684	NA	LOC552675	pairfail	alc	0.647747758467	0.65838139257	0.818275181
18952	NA	NA	pairfail	acl	0.455345665	0.600961160094	0.577373248431
