OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11207	RhoGEF64C	LOC412354	pairfail	alc	0.133673781842	0.250381037661	0.453306704061
11348	FBpp0086238	LOC408896	pairwise	lac	0.337792947844	0.241859368796	0.791781708162
11608	A9UNF9_DROME	LOC725632	pairfail	lac	0.691619985221	0.384166506275	0.744523035235
11665	Sur	LOC410944	pairfail	lac	0.578132122773	0.438451939818	0.636928763633
11790	Ufm1	LOC726196	pairfail	lca	0.735665825851	0.339870395208	0.549280366321
11839	Rbbp5	LOC410855	pairwise	lac	0.697081556376	0.574125547617	0.843759985961
11840	Seipin	LOC410854	pairwise	lac	0.695914944311	0.469164723196	0.777781952171
11902	NA	NA	pairwise	alc	0.141463059653	0.524345615481	0.8202912973
12116	Dmel\\CG1607	LOC411772	pairfail	lac	0.417720948118	0.3324431437	0.473300737997
12240	BcDNA:LD30051	LOC408656	pairwise	alc	0.377647647004	0.667286433312	0.861730400599
12388	Dmel\\CG10383	LOC725516	pairfail	lca	0.768715700147	0.436441558861	0.750652936734
12636	Rab19	Rab-RP3	pairfail	alc	0.530799209675	0.559965168703	0.772704397449
12694	Bmcp	LOC413711	pairfail	lca	0.707269082094	0.317965056353	0.535831041229
12730	pic	LOC412593	pairwise	lac	0.550642525194	0.470376173862	0.736334024137
12842	NA	NA	pairwise	lac	0.521326263685	0.508019876398	0.670828285807
12858	CG2182	LOC724214	pairfail	alc	0.0648441781146	0.196951991337	0.579138206908
13150	NA	LOC726915	pairwise	lca	0.715093582948	0.463447675434	0.693876699086
13255	NA	LOC411531	pairwise	lac	0.453161868673	0.338125243482	0.608293212389
13289	A9YGZ1_DROME	LOC410379	pairfail	lca	0.63956418698	0.199029370881	0.499549043898
13303	Dmel\\CG8064	LOC552439	pairfail	lac	0.494848172082	0.457795736534	0.749140590467
13318	Dmel\\CG9804	LOC726239	pairfail	lca	0.837471904223	0.585095359523	0.765888664625
13338	NA	LOC414028	pairfail	lac	0.467088255049	0.451973763905	0.67817599502
13444	Dmel\\CG14985	LOC724982	pairfail	lac	0.332504640908	0.232890938446	0.456490772397
13523	fws	LOC552540	pairfail	lac	0.784524088514	0.758028963412	0.881678284364
13626	stck	LOC551547	pairfail	alc	0.208990108725	0.533262213859	0.781783756603
13679	NA	LOC724353	pairfail	alc	0.305518691207	0.37109045323	0.705704022051
13888	NA	RabGAP3	pairfail	lca	0.905329215871	0.790931165745	0.898888746424
14018	Dmel\\CG2006	LOC551981	pairfail	alc	0.530193104048	0.656390076538	0.804353789672
14775	Sos	LOC552718	pairwise	alc	0.355626480101	0.438424365449	0.791853625966
15014	Q9W5T4_DROME	LOC412789	pairfail	alc	0.643966177584	0.699848937293	0.855315953562
15018	Dmel\\CG9921	LOC726746	pairfail	alc	0.669310736011	0.699773748856	0.856334346133
15200	Wnk	LOC725503	pairwise	alc	0.509804093093	0.692747235393	0.908668942556
15268	NA	LOC100576829	pairfail	alc	0.203903037205	0.39168586199	0.658039642638
15288	FBpp0076500	Clk	pairfail	alc	0.115436688662	0.481200267495	0.740927523092
15315	wap	LOC411901	pairwise	alc	0.45174140159	0.531411999565	0.763942599222
15422	ths	NA	pairwise	lac	0.436371970967	0.200403475531	0.776237786927
15535	Dmel\\CG14543	LOC724413	pairwise	lca	0.954233691151	0.71219253858	0.900890591351
15542	Dmel\\CG6833	LOC413245	pairfail	lca	0.870218373053	0.636447987379	0.855186436452
15603	B5RIL2_DROME	LOC726034	pairwise	lac	0.863260844721	0.689702830865	0.868121470055
15650	Dmel\\CG9220	LOC413549	pairfail	lac	0.907813107679	0.800284524665	0.922445411968
15716	Pex14	LOC552256	pairfail	alc	0.335810132154	0.40630923284	0.617811670303
15813	NA	LOC100576591	pairfail	alc	0.269697293774	0.504280526371	0.819357454247
15903	Dmel\\CG5235	LOC726997	pairfail	lac	0.939460577093	0.806847160802	0.958407947789
16220	Rack1	Rack1	pairwise	lac	0.435040822772	0.280434427504	0.656829899843
16696	NA	LOC100578629	pairfail	lac	0.892675382038	0.822424512946	0.944904681761
16774	Tudor-SN	Tudor-SN	pairwise	alc	0.401550564871	0.513862310934	0.848237258865
16995	Acsl	LOC409515	pairfail	lac	0.304233850019	0.13951948361	0.482353935183
17130	Liprin-beta	LOC411631	pairwise	alc	0.43003333709	0.433460836594	0.685173565733
17149	NA	LOC100578113	pairfail	lca	0.76488252237	0.416279699702	0.619861859635
17384	Dmel\\CG2556	LOC409057	pairfail	alc	0.340105886929	0.363687859402	0.791684961015
17438	NA	LOC100576125	pairfail	lca	0.453551292591	0.112239617814	0.408431204908
17797	endos	NA	pairwise	alc	0.529733359222	0.801394372079	0.935945142177
18099	rngo	LOC552049	pairfail	lac	0.809727741007	0.783236351591	0.89914844401
