OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11422	RpL40	RpL40	pairfail	acl	0.545783913796	0.790529270035	0.755933080719
11608	A9UNF9_DROME	LOC725632	pairfail	lca	0.753388269682	0.365863718949	0.691631307775
12116	Dmel\\CG1607	LOC411772	pairfail	alc	0.322524216431	0.328331250599	0.571021944222
12301	NA	LOC413029	pairfail	alc	0.209718556066	0.345571181049	0.804507469088
12312	NA	LOC726829	pairwise	lac	0.597672715189	0.557462834919	0.798076829545
12385	eRF1	LOC725555	pairfail	lac	0.696827700747	0.381263011635	0.794893170097
12440	TTLL15	LOC724974	pairfail	alc	0.272944284774	0.385769241827	0.723089242475
12667	PNPase	LOC413542	pairfail	lca	0.662760230055	0.317241911168	0.655854458007
12757	NA	LOC409308	pairwise	lca	0.661232248974	0.355427971536	0.633575205384
13005	RpL37A	LOC725432	pairwise	lac	0.767794944305	0.603046241229	0.810575447832
13194	KrT95D	LOC725093	pairfail	alc	0.257227959163	0.314478084125	0.667450242139
13328	BEST:GH23590	NA	pairwise	lac	0.263764873594	0.225047216874	0.571066847719
13375	Sod1	Sod1	pairwise	alc	0.411437555612	0.424402049251	0.684594610773
13443	CCT2	LOC409809	pairfail	lca	0.899283218551	0.432551999209	0.672924742434
13551	UFSP2	LOC413447	pairfail	lca	0.862681286958	0.587280293413	0.802573933159
13660	NA	EAAT	pairfail	lac	0.518076441601	0.400463352032	0.655538223739
13718	NA	LOC726900	pairfail	alc	0.336641326516	0.466701733781	0.794818306068
14031	d	LOC727368	pairfail	lac	0.610867734939	0.53376703387	0.713224907892
14602	NA	LOC100578745	pairwise	lac	0.568301163996	0.489004557452	0.834747213426
14637	Pi3K92E	LOC551500	pairwise	lac	0.454675743384	0.359684254986	0.826466677343
14649	NA	LOC100576761	pairwise	alc	0.392877499161	0.501328957396	0.827834137468
14858	SdhD	LOC725566	pairfail	alc	0.668509947033	0.702933847615	0.907517350873
14970	ifc	NA	pairfail	lac	0.677234955604	0.603238128701	0.818971676842
14980	NA	LOC100577943	pairfail	lac	0.568396670457	0.338657317419	0.713536789017
15903	Dmel\\CG5235	LOC726997	pairfail	lac	0.980813895452	0.937824586656	0.991619016766
15943	NA	LOC408464;LOC552735	pairwise	alc	0.839712541386	0.896118502676	0.963840687698
15973	NA	LOC100578813	pairwise	lac	0.437655745911	0.166256778372	0.614491129423
16003	Dmel\\CG1317	MARCH6	pairwise	lac	0.685240726755	0.628042111159	0.778050390646
16377	Gbeta76C	NA	pairfail	lac	0.555009960168	0.537528349056	0.739516508804
16473	Scm	Scm	pairfail	alc	0.55721348226	0.710183023245	0.870519444973
16604	l(2)37Cd	LOC727205	pairwise	lac	0.542409117248	0.521802927493	0.774567178401
16611	FBpp0073610	NA	pairwise	lac	0.383945903992	0.21057228279	0.585782360346
16628	NA	NA	pairwise	lac	0.65036076762	0.470104106614	0.717357599481
16804	NA	LOC552067	pairfail	lac	0.828972465045	0.770535460434	0.894830176746
17818	AhcyL1	LOC551762	pairfail	alc	0.523203298876	0.630477692525	0.827538896009
18013	AP-1-2beta	LOC726187	pairfail	lac	0.220149998828	0.185942152564	0.509268331278
18111	Hrd3	LOC409281	pairwise	lac	0.566071792685	0.510849565934	0.750040110252
19271	sut1	LOC726814	pairfail	lac	0.453354709528	0.304003135945	0.570618001527
