OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10698	U505_DROME	LOC411237	pairfail	lac	0.508534699746	0.448658128254	0.517850649672
11152	anon-WO0172774.138	LOC410116	pairwise	lac	0.47156234363	0.331463682559	0.776968841337
11354	babo	LOC550930	pairfail	lca	0.696510800998	0.364979838407	0.621705590084
11424	NA	LOC408801	pairwise	lca	0.849669558631	0.363356309614	0.641538656298
11548	Rbp	LOC724299	pairfail	lac	0.246957861861	0.219711208687	0.472489830151
11755	NA	NA	pairfail	lac	0.402936460118	0.394345983879	0.581026634961
11765	BcDNA:LD22339	LOC552514	pairfail	acl	0.695152011441	0.797792543675	0.739204378112
11766	Cad96Cb	LOC552546	pairfail	lac	0.46613951033	0.315109806315	0.712050126509
11980	pit	LOC413727	pairwise	lac	0.327731634127	0.260610349396	0.600297600299
12127	Golgin84	Golgin84	pairfail	lac	0.425854764098	0.248274152582	0.57203464122
12140	Atu	Atu	pairfail	alc	0.347303269631	0.367657524029	0.671642740023
12156	Dmel\\CG15373	LOC412436	pairfail	lac	0.428776911346	0.296560300382	0.574009495601
12256	NA	LOC410885	pairfail	alc	0.244040139448	0.317696641733	0.701472458009
12389	NA	LOC725012	pairwise	lac	0.631034942782	0.431346298785	0.718755875978
12602	FIGL1_DROME	LOC552806	pairfail	lca	0.606056474498	0.331996801641	0.580720290689
12693	CD98hc	LOC552381	pairwise	lac	0.489197026143	0.469474657813	0.719332357455
12841	Rab26	NA	pairwise	lac	0.514350603737	0.267740356958	0.664731413258
13037	EMC1	LOC552077	pairfail	lac	0.516895922935	0.467037459366	0.677361925108
13195	tna	LOC409337	pairfail	lac	0.630876846547	0.480163696812	0.775197487687
13254	nompB	LOC411047	pairwise	lac	0.358262967896	0.24717231611	0.636939149479
13506	Dmel\\CG4552	LOC552363	pairfail	alc	0.574849330987	0.670440972741	0.824180055391
13513	NA	Pcl	pairwise	lac	0.651918537943	0.575546025376	0.757319459636
13514	Dmel\\CG6763	LOC411406	pairwise	alc	0.219741639048	0.336316158501	0.666906685683
13672	B7YZF8_DROME	LOC552074	pairfail	lac	0.559792158828	0.558062766967	0.803754242306
13696	kuz	LOC409611	pairfail	lca	0.789769750251	0.52599416563	0.774313998105
13864	phr6-4	cry2	pairfail	alc	0.441869835132	0.467760686962	0.740979312552
13931	NA	crc	pairwise	lac	0.386358052458	0.142442800246	0.492426623574
14069	CG4365-RC	NA	pairwise	lac	0.497078527508	0.46819201611	0.647540364505
14311	PGAP2	LOC408784	pairfail	lac	0.590839474077	0.489857960558	0.674729514453
14324	PheRS-m	Aats-phe	pairwise	alc	0.2184124638	0.314770659125	0.649992215905
14397	NA	LOC725546	pairfail	alc	0.21204001812	0.658330424193	0.883529683909
14398	NA	LOC412727	pairfail	lac	0.66537323759	0.606758600828	0.842353862619
14425	NA	LOC724473	pairwise	alc	0.439589969076	0.588286071406	0.764381638604
14626	NA	LOC100576185	pairwise	lca	0.850683062325	0.409135777848	0.723126917744
14680	CG7156-RA	LOC724179	pairfail	lac	0.507213130909	0.390415342726	0.738090887035
15095	Osi24	LOC102655520	pairfail	lac	0.88747717637	0.674799101909	0.904159079735
15099	NA	LOC102656905	pairfail	alc	0.426877811017	0.477067664108	0.684048006041
15177	NA	LOC100578556	pairwise	alc	0.202238122075	0.317003329247	0.680749140256
15426	bgm	bgm	pairwise	lca	0.683966407357	0.264178795852	0.57186635077
15445	GPHR	LOC551156	pairfail	lac	0.327764994745	0.305067813396	0.654313190894
15581	NA	LOC100578020	pairfail	lac	0.572999902631	0.468411138176	0.820121593651
15606	ERp60	ERp60	pairfail	alc	0.446146880469	0.776431334287	0.893786898037
15832	byn	LOC412976	pairwise	lac	0.623844352321	0.422962146838	0.762861932094
16116	Kr-h2	Kr-h2	pairwise	lac	0.333977448318	0.285959341718	0.598447620094
16286	Gclm	LOC413735	pairwise	lca	0.554666644608	0.169859088018	0.549581227772
16287	Odc1	LOC410043	pairwise	lac	0.524549868731	0.417654360533	0.677309742811
16499	aop	LOC100576369	pairfail	alc	0.44133206297	0.5745422936	0.756650424186
16501	Dbp73D	LOC726819	pairfail	lac	0.714467734317	0.553870167096	0.847475750863
16618	NA	LOC100576187	pairwise	lca	0.829755409211	0.606507143336	0.797766703207
16663	Dmel\\CG14238	LOC552631	pairfail	alc	0.381223042298	0.552769074378	0.857693701239
16853	ImpL3	LOC411188	pairwise	lac	0.589654198565	0.547747552887	0.864577490963
16972	pgant6	LOC100578215	pairwise	lac	0.483874441564	0.191752365861	0.646661134283
17128	NA	LOC409045	pairfail	lac	0.878034398925	0.764480417399	0.898432583199
17268	NA	LOC411407	pairwise	lac	0.358102225023	0.336251334667	0.688461273243
17860	CG31473	LOC551533	pairwise	alc	0.156675749599	0.400623708438	0.694352276893
17918	Dmel\\CG13857	LOC102654839	pairwise	lac	0.595419076188	0.282598285974	0.655595501122
17962	NA	LOC408673	pairfail	alc	0.30181550279	0.438610031239	0.593480762178
