OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10839	Dmel\\CG14207	LOC408875	pairwise	alc	0.0678183930203	0.248567691203	0.534256157167
11207	RhoGEF64C	LOC412354	pairfail	alc	0.298933813267	0.374046183569	0.600478639432
11336	Dmel\\CG42534	LOC409678	pairwise	lac	0.420786413081	0.205595982641	0.667395781522
11742	NA	Gr10	pairwise	lac	0.343121038057	0.284663814766	0.703254624832
11768	Dmel\\CG10375	LOC410294	pairfail	lac	0.562406071749	0.529435889433	0.582448882697
11901	Dmel\\CG6574	LOC412431	pairfail	lac	0.509051955959	0.4384441947	0.732208588175
12009	Q8MSJ9_DROME	LOC552070	pairfail	lac	0.52972014375	0.282661231887	0.641283441759
12440	TTLL15	LOC724974	pairfail	alc	0.32906030289	0.663587049636	0.844898300773
12510	Fit2	LOC408836	pairfail	lac	0.519928721021	0.400144619281	0.618066159199
13005	RpL37A	LOC725432	pairfail	alc	0.773237413755	0.836773695109	0.944463912821
13150	NA	LOC726915	pairfail	lac	0.761851239711	0.714369166821	0.90508571934
13153	PI4KIIIalpha	LOC551182	pairfail	alc	0.568146575111	0.714366311756	0.90558218285
13191	Prosbeta5	LOC411206	pairwise	lac	0.330664543111	0.0968793587577	0.510155779175
13229	NA	NA	pairwise	alc	0.189636797389	0.305369058728	0.603846225098
13312	bru1	LOC409780	pairwise	lac	0.483474941852	0.364943807475	0.77338507056
13482	Tao	Tao-1	pairfail	alc	0.766095841273	0.827244719706	0.898469557944
13516	NA	LOC724309	pairfail	lac	0.135799211808	0.115256434487	0.476013967563
13561	Dmel\\CG9855	LOC552063	pairfail	lca	0.920574151558	0.64147485354	0.809286290375
13563	RRP8_DROME	LOC724435	pairwise	lac	0.710461071726	0.448463474156	0.802542926498
13657	BcDNA:RE35789	LOC551477	pairfail	alc	0.539943964699	0.586389456621	0.861387809182
13659	NA	LOC725491	pairfail	alc	0.469620813229	0.586390407666	0.861230934336
13770	NA	LOC552275	pairwise	alc	0.303836469502	0.535811185789	0.688375252221
14078	EG:152A3.3	LOC410370	pairfail	alc	0.17335467903	0.188477070349	0.419431928298
14189	NA	LOC102654555	pairwise	alc	0.227998898103	0.413880279115	0.707017011795
14290	Pcmt	LOC409488	pairfail	lac	0.785332263397	0.776338596796	0.924011044209
14340	Pbp95	LOC102656620	pairfail	lca	0.860188227438	0.71646149654	0.810464840579
14530	Madm	Madm	pairfail	alc	0.368212796791	0.651933278271	0.796082376822
14861	Arl5	LOC551034	pairwise	lac	0.798796459724	0.685469164565	0.915825836257
15067	NA	LOC100576273	pairfail	lca	0.744996329036	0.353648016395	0.736098248936
15241	NA	LOC726041	pairwise	alc	0.493317267482	0.539986171635	0.702454036477
15302	NA	LOC410148	pairfail	lac	0.646425572889	0.516975590552	0.811287733677
15419	EG:100G10.1	LOC411218	pairfail	alc	0.306578070978	0.365263077471	0.602222986941
15501	NA	LOC100578255	pairfail	lac	0.500135450434	0.395963398743	0.660722847962
15511	pall	LOC726708	pairfail	lac	0.588158242398	0.46652476706	0.754637503502
15694	brun	LOC408401	pairfail	lac	0.611285213801	0.610067551225	0.788974261825
15750	Dmel\\CG2519	LOC409752	pairfail	alc	0.412820787564	0.491463900202	0.731234311183
16308	Spase22-23	Spase22-23	pairfail	lac	0.473297521133	0.296574352249	0.624519473123
17126	DCP2	Dcp2	pairwise	alc	0.387455566747	0.445680354184	0.703226029445
17193	NA	LOC102656583	pairfail	lac	0.584877879508	0.440364061168	0.635225688176
17577	Dmel\\CG8032	LOC726801	pairwise	lac	0.38071068942	0.334379599439	0.740708268299
17652	Dmel\\CG1316	LOC412116	pairfail	alc	0.316322231045	0.584224590215	0.907764407217
17758	Den1	LOC726605	pairfail	lac	0.509329595665	0.418230245215	0.700201001112
17819	NA	LOC410690	pairfail	alc	0.344920497125	0.387836322619	0.640205772996
18001	anon-WO0118547.337	LOC413244	pairfail	lac	0.356913127849	0.203643998797	0.600449864714
18293	Dmel\\CG4686	LOC552441	pairfail	alc	0.390765771232	0.610188633924	0.688945589548
18565	Pgd	Pgd	pairwise	lca	0.798828650515	0.685132732641	0.752112761256
19024	CG10251	LOC726278	pairfail	lca	0.580786152558	0.474330700585	0.574156446579
19208	NA	NA	pairwise	alc	0.0	0.335947933353	0.79788622235
