OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11048	pea	LOC550940	pairfail	lac	0.345845609052	0.289216403255	0.480618081437
11611	FBpp0087635	LOC727090	pairfail	lac	0.498404543578	0.407230617351	0.681191715946
11878	Dmel\\CG6761	LOC412000	pairfail	lac	0.909592275626	0.795727312495	0.990824337478
12284	gkt	LOC408668	pairfail	alc	0.146344238668	0.755284582615	0.84906084011
12311	Idgf6	LOC413324	pairwise	lac	0.537556441239	0.380294873519	0.665382773612
12469	Clbn	LOC412408	pairfail	lac	0.788552764069	0.627860736046	0.818006242097
12614	NA	LOC552512	pairfail	alc	0.14757949988	0.277755563641	0.691323764246
12892	Pex2	LOC102655950	pairfail	alc	0.256228445505	0.328308921061	0.606592186705
12915	NA	LOC409642	pairfail	alc	0.404345127217	0.492006676281	0.651862588975
12959	p115	p115	pairfail	lac	0.541592478974	0.405672564986	0.679124261927
13058	EG:22E5.5	LOC413958	pairfail	lac	0.679025441634	0.556510130221	0.755660802745
13102	Q9VKZ7_DROME	Ncln	pairwise	alc	0.342373500816	0.434573746167	0.656416992745
13309	msps	msps	pairfail	acl	0.835459722163	0.990748113831	0.942180046743
13376	Usp8	LOC411362	pairwise	alc	0.494394599301	0.512602399261	0.783183275742
13413	Ns3	ns3	pairwise	alc	0.432558334698	0.614806413177	0.725074901306
13416	CG8605-RA	LOC552312	pairfail	alc	0.526385526858	0.552856322184	0.733173697445
13450	Ankle2	LOC100577386	pairwise	alc	0.440618667819	0.509164469445	0.732486523302
13588	Ns4	LOC727600	pairwise	lac	0.623295126922	0.396348455839	0.643442672959
13675	Hsc70Cb	Hsc70cb	pairfail	lac	0.769427144101	0.70415794759	0.899523255367
13760	NA	LOC552169	pairfail	lac	0.741223934524	0.727938474121	0.831776312681
13770	NA	LOC552275	pairwise	lac	0.238981830359	0.199862462352	0.419044097773
13837	Dmel\\CG11964	LOC409671	pairfail	lac	0.732244056043	0.63342197488	0.85919062134
13838	DEFI8_DROME	LOC410206	pairwise	lca	0.82723710802	0.503008062789	0.724346063446
13870	DCN1L_DROME	NA	pairfail	alc	0.795032593918	0.850692102429	0.925656069515
13961	Oatp30B	LOC100577188	pairfail	alc	0.29217262836	0.524581005542	0.726982444239
14126	Blm	LOC412756	pairwise	lac	0.793359350204	0.55787897356	0.872369458529
14139	NA	NA	pairwise	lac	0.34893691966	0.296217205512	0.461848699239
14194	hfw	LOC412164	pairfail	lac	0.751938266852	0.538530037284	0.832518453779
14260	retm	LOC551515	pairfail	alc	0.671535828185	0.744544090477	0.90394861827
