OG_15993	NOL11
OG_15991	FOXK2
OG_13897	TM55B
OG_15997	TEX2
OG_15995	ATG12
OG_15994	SMG1
OG_13890	UTP4
OG_15999	TEX9
OG_15998	INHBB
OG_13891	PP1RA
OG_15990	GCP6
OG_13892	KIF14
OG_13893	ECP
OG_17738	UBCP1
OG_16466	SNX13
OG_16467	NOL10
OG_16464	CCNY
OG_16465	NMD3A|neuro
OG_16462	TXND9
OG_16463	PCIF1
OG_16460	MED26
OG_16469	NC2B
OG_14644	SSBP3
OG_14645	ZFYV9
OG_14646	NCBP1
OG_14640	STX18
OG_14641	STMN4|neuro
OG_14642	NFAT5
OG_14648	NUP98
OG_14649	SPDLY
OG_17598	TTPAL
OG_17591	SHC1
OG_17593	PR40A
OG_17595	SH2D3
OG_17594	GOGA4
OG_17847	FAAA
OG_17846	CC113
OG_17843	CCD34
OG_17841	PIWL1
OG_17840	OSR2
OG_17848	F210A
OG_13032	GNA13
OG_13033	SF3A1
OG_13030	FMNL3
OG_13037	EMC1
OG_13034	PDIP3
OG_13035	TBRG4
OG_13038	MPRI
OG_13039	CCD94
OG_17295	RN126
OG_12295	TSC2|autism_S
OG_18907	RL7
OG_16649	RMP
OG_16642	SMRD1
OG_16643	THOC2
OG_16641	CSRP3
OG_16646	B3GT6
OG_16647	CSAD
OG_16644	TMEDA
OG_16645	TRM6
OG_13698	ISCA1
OG_13696	ADA10
OG_13697	SRP54
OG_13695	NCKAP1|autism_2
OG_13692	CELF3|neuro
OG_13690	MYBPP
OG_13691	TSN31
OG_12343	MAL|autism_5
OG_12342	EIF3A
OG_12341	PRICKLE2|autism_3
OG_12340	ZN363
OG_12346	SFPQ
OG_12613	GTPB6
OG_12618	RMI1
OG_13964	GPR84
OG_13966	GPTC2
OG_13967	IRF2BPL|autism_2
OG_13960	TP4A1
OG_13961	SO5A1
OG_13962	HYOU1
OG_13963	CDC27
OG_13968	ITPK1
OG_13969	SMAG2
OG_17961	SH3R3
OG_10922	GPC6|autism_4
OG_15346	DJB11
OG_15347	ALS2
OG_15345	SBDS
OG_15343	DTX1
OG_15340	CC124
OG_15341	SYWM
OG_15698	TTC14
OG_15348	SALL3|neuro
OG_15349	RM03
OG_11193	PP16B|neuro
OG_11191	PYRD
OG_11190	LCP2
OG_19474	TRA2B
OG_19470	SPT17
OG_11199	ARHGH
OG_11198	LSM6
OG_10829	DPOLA
OG_10824	SSRD
OG_10825	FEZ2
OG_10827	NCOR1|autism_4
OG_10821	CENPE
OG_10823	TTN|autism_4
OG_15528	PHC3
OG_15529	SUMF1
OG_15522	PAK5|neuro
OG_15523	PAG15
OG_15520	FCF1
OG_15521	DTBP1
OG_15526	D2HDH
OG_15524	PGPI
OG_19690	RPB3
OG_19699	ZC11A
OG_14235	PABP1
OG_17552	PMS1
OG_14234	EFHC1
OG_14348	DDX28
OG_14340	SNPC4
OG_14342	PIHD1
OG_14345	NOP9
OG_14344	MEN1
OG_14347	SI1L1
OG_14346	APC11
OG_17698	RM32
OG_17699	CC142
OG_14237	KLH20
OG_17696	SRP19
OG_17694	SNR27
OG_15838	CUL2
OG_15839	CARME
OG_15830	CFA65
OG_15831	ACPH
OG_15832	BRAC
OG_15833	CCT4|autism_3
OG_15834	SV2B|neuro
OG_15836	RL22
OG_17735	TPPC1
OG_14236	YTHD2
OG_14138	NISCH
OG_11445	RUSD2
OG_11444	OXA1L
OG_11446	MPP5
OG_11337	HD
OG_17733	SMIM8
OG_17472	INP4A
OG_18122	CRHBP
OG_18124	RENR
OG_18129	ARRD3
OG_14130	PWP2
OG_16875	BICRA
OG_16877	ATX3
OG_14131	SMN
OG_16871	PSB1
OG_16870	RISC
OG_16873	CECR2|autism_0|neuro
OG_16872	ABHGA
OG_16879	GMDS
OG_16878	CSDE1
OG_17448	ELP4|autism_3
OG_20293	BABA2
OG_20294	FBX22
OG_17115	HPCL1
OG_17034	SYSC
OG_19231	DPOG2
OG_17114	SZRD1
OG_17116	RFC2
OG_17447	SDHF2
OG_17984	S41A1
OG_16251	FKBP4
OG_16250	AR6P4
OG_16253	RNFT2|neuro
OG_16252	CPT1A
OG_16255	SPTCS
OG_16254	PTPRG
OG_16257	FA98A
OG_16256	DESI2
OG_16259	POLH
OG_16258	KDM5A
OG_19238	SLC30A3|autism_5|neuro
OG_17985	C2CD3
OG_18542	NUDT8
OG_18547	PLK1
OG_18134	SELT
OG_13209	CLUA1
OG_13759	STK3
OG_13758	SPCS2
OG_13757	FA76A
OG_13756	WDR70
OG_13207	PO4F3
OG_13206	ELOA1
OG_13201	MTNA
OG_13200	TMOD1
OG_13751	GSAP
OG_13750	SNPC3
OG_16863	EPN4
OG_17031	ZXDB
OG_19540	STAC3
OG_15755	ENAH
OG_15754	HNRL1
OG_15757	ASH1L|autism_1
OG_15756	INT13
OG_15751	UNK
OG_15753	GRB2
OG_15752	NDEL1
OG_19543	UBP14
OG_15759	VPS11
OG_16865	PIGO
OG_20003	ALG13
OG_12404	PLCB4
OG_12405	FRMD8
OG_12159	WNT6
OG_12156	CASC1
OG_12157	UCP2
OG_12152	TIPIN
OG_12153	LASP1
OG_12150	ANM7
OG_14806	DLG2|neuro
OG_14807	NSF|neuro
OG_14802	PCYOX
OG_14801	S352B
OG_14808	SETDB1|autism_4
OG_14809	WEE1
OG_17962	SPG21
OG_11677	HGD
OG_14668	NECP1|neuro
OG_14669	TM10A
OG_14662	KINH
OG_14663	HECW2|autism_3
OG_14660	HS3SA
OG_14661	SPB1
OG_14666	GEMI5
OG_14667	XPO5
OG_14665	AXIN1
OG_17865	FEZF1
OG_17861	ITPA
OG_17862	DCST2
OG_20268	ZN474
OG_17737	S26A5
OG_16404	RS2
OG_16407	SNX30
OG_16400	TWF1
OG_16401	PEX16
OG_16402	CF106
OG_17657	FBXL4
OG_17736	TAF8
OG_17318	LTOR1
OG_17313	AN32A
OG_17312	RPE
OG_17310	BBS5
OG_17315	SQSTM
OG_17731	DRD1|autism_0|neuro
OG_17730	PADC1
OG_12361	SNAG
OG_12360	HEMK2
OG_17732	F173B
OG_12099	CT027
OG_12097	RT26
OG_12096	ARL3
OG_12094	HXK2
OG_12093	PSD3|autism_4|neuro
OG_12092	FBX9
OG_12896	PTEN|autism_1
OG_12895	BICC1
OG_12894	MK10|neuro
OG_12893	RET
OG_12892	PEX2
OG_12890	RM30
OG_12899	ECHD3
OG_12898	KAT3
OG_10947	RBM48
OG_10945	PAR16
OG_10943	CNGA3
OG_10942	RN220
OG_15326	TM205
OG_15327	CAND1
OG_15320	MGAT2
OG_15321	RMD5A
OG_10948	MRE11
OG_13418	EFC14
OG_13419	ERMP1
OG_13948	TAF9
OG_13410	RIPL1
OG_13411	TM38A
OG_13412	WDR33
OG_13413	LSG1
OG_13947	OSBL1
OG_13416	RINT1
OG_13417	CYHR1
OG_19325	NR2C2
OG_19328	RM42
OG_10803	ELF2
OG_10801	RA51D
OG_10805	NELL1|autism_0|neuro
OG_10809	RSMB
OG_17752	KCRB
OG_18768	MAP10
OG_18866	NEUL2
OG_14329	GALE
OG_14328	L2HDH
OG_14327	WBP4
OG_14325	OSGI1
OG_14324	SYFM
OG_14323	TINAL
OG_14322	RL15
OG_17671	RCAS1
OG_17672	RM47
OG_17675	PRS6B
OG_17677	RPB9
OG_17678	GTPBA
OG_17679	SARNP
OG_18320	RL27
OG_18327	PUSL1
OG_15818	KANL2
OG_15819	MON2
OG_15816	IFT46
OG_15817	SQOR
OG_15814	DPH7
OG_15815	CLCN7
OG_15813	CCD66
OG_15810	PCY2
OG_17496	CEBPG
OG_18767	VAPA
OG_18766	GNB5
OG_11311	MEGF8
OG_14494	TOP1|autism_5
OG_14497	FOG2
OG_14496	ECHA
OG_11315	ACSA
OG_11314	XYLB
OG_11316	IQEC1
OG_15907	NDUB5
OG_14499	NKRF
OG_14498	ZN341
OG_10371	DCAM
OG_10379	DNJC9
OG_18146	ILK
OG_18145	UCHL3
OG_18144	CNDP2
OG_18141	FXL12
OG_18140	RL9
OG_18149	RD23B
OG_19747	LAMP1
OG_17079	PHP14
OG_14059	DPH1
OG_11123	GCYB1
OG_16237	DNJC2
OG_11575	MFS11
OG_16235	PTH2
OG_14953	CROCC
OG_16232	RAD1
OG_16239	TTC28
OG_14056	DCLK2|neuro
OG_11124	NUFP1
OG_11573	SYDE2
OG_13775	TRAM1
OG_13774	INTS6|autism_2
OG_13777	LPIN2
OG_13776	PFKAM
OG_13771	HSF1
OG_13778	BCS1
OG_17506	PTRD1
OG_17507	TMTC2
OG_17504	UBE2C
OG_12615	SRR
OG_17502	TCP4
OG_12617	TTL12
OG_17503	SPIDR
OG_12616	RBM34
OG_12611	DNMBP
OG_17501	BL1S2
OG_12610	PLXNA4|autism_3
OG_11959	ABCB6
OG_12345	DHDDS
OG_11953	TEX10
OG_11952	S35F6
OG_11951	UHRF1
OG_11950	AAPK2
OG_11957	BOLL
OG_11956	RERE|autism_4
OG_11955	RL3
OG_11954	MARF1
OG_13744	SVIL
OG_14753	KAD1
OG_13210	CHIP
OG_13211	GALK1
OG_13216	ENASE
OG_13214	PPIB
OG_12135	PAF15
OG_12136	TPC13
OG_12130	RL11
OG_12132	I5P1
