OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11642	pxb	LOC100576129	pairfail	lac	0.324001606154	0.314005364262	0.461891294232
11713	ND-23	Ndufs8	pairwise	lac	0.504856092754	0.297371091267	0.741258461841
11840	Seipin	LOC410854	pairfail	lac	0.610078008199	0.375571603518	0.781655010974
12083	NA	NA	pairfail	lca	0.929135508315	0.513878995438	0.749355493761
12252	e(r)	e(r)	pairwise	lac	0.45023060991	0.194755752247	0.701495195842
12523	NA	LOC726213	pairwise	alc	0.595837797554	0.693236371538	0.942193268808
12539	NA	LOC724138	pairfail	alc	0.286768672556	0.360868117941	0.637955189449
12562	anon-18DEc	LOC411299	pairfail	lac	0.883936605941	0.609600924944	0.887641668598
13144	Dmel\\CG14647	LOC412259	pairfail	lac	0.487799745951	0.44660942333	0.698016357156
13297	NA	NA	pairwise	lac	0.497973497545	0.389973479578	0.71535569349
13307	numb	LOC727399	pairwise	alc	0.289750850235	0.290903424984	0.677842034596
13689	NA	LOC412797	pairfail	lac	0.473210907683	0.433639678915	0.807005847527
13788	rho-4	LOC412319	pairfail	alc	0.497371156153	0.503962926738	0.708418166442
13790	wash	LOC724795	pairwise	lac	0.584802171683	0.501149503564	0.857057994927
13840	Q960Q8_DROME	PPWD1	pairwise	lac	0.467445963565	0.466373273927	0.859310158887
14449	tweek	LOC410019	pairwise	lac	0.525839701561	0.36384990262	0.730710773719
14840	NA	LOC412167	pairfail	alc	0.240425327168	0.240542973375	0.587802035748
14851	A0A0B4LGG8_DROME	LOC410166	pairwise	lca	0.777719800632	0.415631321711	0.751772286858
14862	dSLC5A8	LOC724546	pairwise	lac	0.71688222715	0.533887831495	0.741836199388
14868	Prosbeta1	LOC409831	pairwise	lac	0.455571814239	0.200118238535	0.699319544319
14994	FBpp0083898	LOC725395	pairwise	alc	0.160622327232	0.19890377826	0.728467058536
15124	Rh2	Lop1;OPSD_APIME	pairfail	lca	0.84561028932	0.425008349724	0.671771616337
15390	FBpp0088806	LOC551111	pairfail	alc	0.173677950465	0.39032764146	0.760563848822
15523	BcDNA.GH02384	LOC552091	pairfail	lac	0.671112652796	0.509192261664	0.746565332286
15612	Drak	LOC551895	pairwise	lca	0.618427228751	0.270869908094	0.545032271043
15903	Dmel\\CG5235	LOC726997	pairfail	lac	0.749245061829	0.423161530801	0.799950188501
16391	Gpo1	LOC551904	pairwise	lac	0.635635793801	0.492598504991	0.701550848299
16524	FBpp0311212	MED14	pairfail	alc	0.554102393527	0.608313763178	0.842927978065
16787	NA	NA	pairfail	alc	0.549039176873	0.653270113324	0.820962828717
17081	fax	fax	pairfail	alc	0.37279588502	0.50056176166	0.689794959834
17232	Rap1	R	pairfail	alc	0.0895653274137	0.203272122915	0.517452947262
17537	CG6751-RA	NA	pairfail	lac	0.563025294826	0.321517131031	0.611289930618
17692	NA	NA	pairwise	lac	0.830289520509	0.500731900887	0.869844255825
17806	CG32225-RA	LOC724761	pairfail	lac	0.542836609957	0.386157736848	0.648861433236
17889	A0A1B2AJJ7_DROME	LOC725054	pairwise	lac	0.603990158972	0.322906181167	0.816896705362
17981	NA	CSP2	pairfail	alc	0.652542714929	0.686844616134	0.943446417966
18151	NA	pfk	pairfail	alc	0.231000205624	0.344739952708	0.560587633213
18671	zuc	NA	pairwise	alc	0.395495196962	0.736276060515	0.809373729333
18878	NA	NA	pairfail	alc	0.204611211573	0.708150610567	0.890464458548
18988	CG4553-RA	LOC725822	pairfail	cla	0.795313599723	0.6340724313	0.566448434877
19040	NA	NA	pairfail	alc	0.532041689242	0.660507306484	0.7395574233
19446	NA	NA	pairwise	alc	0.0481310656338	0.272585410374	0.720533721077
