OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11040	FBpp0312566	LOC725606	pairfail	lac	0.392720996305	0.306766855678	0.501800151756
11073	exp	LOC551519	pairfail	cla	0.53264738863	0.442182871765	0.439282713197
11302	NA	LOC414002	pairfail	lac	0.399893542201	0.344346015717	0.640553272027
11374	dnt	Dnt	pairfail	alc	0.318689343662	0.677474717756	0.793130651598
11529	CG10512-RA	LOC410520	pairfail	lac	0.657297616252	0.654488139169	0.810343423855
11535	A4IJ50_DROME	LOC410515	pairfail	lac	0.551072771927	0.316021450345	0.609383649782
11693	NA	LOC100579037	pairwise	lac	0.402385289363	0.385436668352	0.673634076981
12034	CG7744-RA	LOC724770	pairfail	alc	0.255567683244	0.351588566776	0.496224473192
12135	NA	LOC102655670	pairwise	alc	0.380907157545	0.452606457091	0.729784546478
12141	mtg	mtg	pairfail	lac	0.550481061221	0.503251333871	0.671402685312
12328	NA	NA	pairfail	alc	0.298366104605	0.462094820505	0.743874628701
12345	Dmel\\CG10778	LOC551358	pairfail	alc	0.366817141047	0.660026961633	0.706244048972
12420	Dmel\\CG6178	LOC411105	pairfail	lac	0.656127950885	0.471007201665	0.862856657434
12652	A0A1B3Q3N5_DROME	RpS25	pairwise	lac	0.636170268556	0.440268969513	0.710669584681
13035	GH07286p	NA	pairwise	alc	0.298858981277	0.522266703046	0.833710010794
13118	Tak1	LOC413809	pairfail	lac	0.665362464621	0.529874546754	0.735537459284
13606	NA	LOC726418	pairwise	alc	0.401948218019	0.573968977333	0.828570748198
14014	Dmel\\CG9109	LOC552204	pairwise	lac	0.522125442622	0.439795784268	0.915113086293
14063	NA	LOC552061	pairfail	alc	0.552657342883	0.623226886957	0.812927158745
14180	NA	LOC725494	pairwise	lca	0.591414848102	0.26565347124	0.585886182879
14212	NA	LOC727493	pairwise	lca	0.542767927765	0.182966416473	0.465572134495
14365	pgant2	LOC411054	pairwise	alc	0.635007333437	0.664154995604	0.821112990361
14379	FBpp0072275	LOC412299	pairfail	lac	0.370063187967	0.17660852749	0.567969186705
14403	NA	LOC725475	pairwise	alc	0.449612975166	0.513832645567	0.635028818537
14418	Nurf-38	LOC100578006	pairfail	lac	0.53348626413	0.513977825059	0.867063468125
14490	Oli	LOC726594	pairwise	lac	0.587778911112	0.416580381339	0.868942559665
14507	FBpp0290163	LOC409396	pairwise	lac	0.400797351299	0.39746105567	0.659579579241
14579	Syx8	Syx8	pairwise	alc	0.71358160712	0.817066089304	0.949278228853
14661	Dmel\\CG8939	107963983	pairfail	alc	0.26793877525	0.350910683606	0.584130015472
14752	CT19169	LOC102654777	pairwise	lac	0.294730276871	0.270273135741	0.509943603228
14910	NA	Syt20	pairwise	alc	0.38888504625	0.491366089897	0.706280132929
14937	sty	LOC725117	pairfail	alc	0.410823115703	0.436608782972	0.664532806593
15003	Kap3	Kap3	pairfail	alc	0.23242253684	0.311398987622	0.667994613928
15029	CG6166	LOC724865	pairfail	lca	0.782802231332	0.566393827091	0.720685111167
15095	Osi24	LOC102655520	pairwise	lac	0.289288009971	0.274860695781	0.652933458799
15295	lov	LOC412955	pairwise	lac	0.772107356716	0.601661786716	0.892534585739
15333	NA	LOC100578727	pairfail	alc	0.504121349221	0.658101048167	0.849323044926
15454	al	LOC552251	pairwise	lac	0.731431345186	0.473615678794	0.936443544862
15513	Mtr4	LOC551637	pairfail	alc	0.147022065106	0.471142307888	0.728319335161
15643	Piezo	LOC408427	pairfail	alc	0.326517837092	0.649646202465	0.853990517752
15825	NA	NA	pairfail	lac	0.842778642113	0.712601604718	0.875110391525
16158	sra	LOC413142	pairwise	alc	0.350207151331	0.520186597213	0.830423886914
16191	A0A1B2AKQ4_DROME	LOC725718	pairfail	alc	0.584015837062	0.655725835012	0.85217857684
16352	Tsp5D	Tspan1	pairfail	alc	0.726097842192	0.751954298931	0.888462828944
16395	NA	LOC409553	pairfail	lca	0.730061169042	0.371703535474	0.72008021143
16742	NA	LOC410723	pairwise	alc	0.234206929942	0.446020138583	0.784829541459
16819	BRWD3	LOC726985	pairfail	alc	0.529440226104	0.669623419794	0.856206398669
16824	SREBP	LOC413422	pairfail	lac	0.881368640365	0.551641381212	0.895506766999
16865	PIG-O	LOC409860	pairwise	lac	0.621637986373	0.552813185705	0.772488267702
16880	mbf1	mbf1	pairwise	alc	0.544172309034	0.624437143225	0.831264011222
17228	Q7JRB2_DROME	LOC413065	pairfail	alc	0.327753405077	0.521319974458	0.583614318105
17320	NA	LOC552459	pairfail	alc	0.406148893895	0.603631239865	0.851174136262
17368	NA	LOC726592	pairfail	alc	0.344794929665	0.550067981648	0.780328782913
17434	Cpr100A	CPR19	pairfail	lac	0.401721708266	0.373157299933	0.663689298457
17559	NA	LOC107965192	pairfail	alc	0.367118644666	0.389307978024	0.669414896505
17657	A9YHM3_DROME	Fbxl4	pairfail	lca	0.769387804621	0.539093820031	0.721299680367
17663	NA	LOC411378	pairfail	alc	0.508083887894	0.628991219442	0.883271451583
17681	NA	NA	pairwise	alc	0.430690450948	0.478226044681	0.754256727373
17939	mRpS34	mRpS34	pairfail	alc	0.277563825674	0.417943150163	0.677102167419
18065	Dmel\\CG3556	LOC551780	pairfail	lac	0.423043487395	0.310299144813	0.593140262543
18990	His2Av	His2Av	pairwise	lac	0.341364400957	0.183907849662	0.58323033321
19009	Sf3a2	LOC552334	pairwise	lac	0.332247316673	0.258712895635	0.806684246432
