OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
10986	ds	LOC408767	pairfail	acl	0.319200192725	0.880853853659	0.790111083457
11872	NA	LOC725749	pairwise	lac	0.465438010671	0.308498969914	0.651118255189
12390	Stam	Stam	pairfail	lac	0.272993304275	0.241412763563	0.50592402198
12476	Dhit	LOC726284	pairfail	lac	0.713315647237	0.604189772779	0.804063659396
13488	CCT3	Cctgamma	pairwise	lac	0.387017138563	0.140366700506	0.667256440836
13780	A0A1B2AJ56_DROME	Spec2	pairfail	alc	0.665135048414	0.78893563711	0.925858747746
14060	NA	LOC100578834	pairwise	lac	0.289085917493	0.253333547186	0.508287554588
14259	Dmel\\CG8507	LOC411533	pairwise	lac	0.665013535201	0.520419940184	0.759134648735
14469	NA	NA	pairfail	alc	0.505823226376	0.591891875928	0.909237717809
15629	NA	LOC409963	pairfail	lac	0.607319145493	0.593031354279	0.837527574451
15696	arm	LOC550976	pairwise	alc	0.814104950943	0.822980973588	0.900618414036
15790	Cals	LOC413977	pairwise	lac	0.19009004152	0.160419304571	0.403624208499
16014	CG10064-RA	552238	pairfail	lac	0.556300184441	0.470503898769	0.631046328629
18609	ND-24	Ndufv2	pairwise	lca	0.737074174707	0.338397301059	0.679580667995
18938	NA	NA	pairwise	alc	0.100994575045	0.374533694535	0.67309017233
19079	Set	LOC724665	pairwise	lac	0.319107889619	0.211736012291	0.367449211346
