OG	FlyBase	HAv3.1	Pair_consistency	Behavior_means	MeanAncSol	MeanSolLoss	MeanSoc
11338	Dmel\\CG3726	LOC551432	pairwise	alc	0.49773414706	0.639726658403	0.871396492386
11707	MICAL-like	LOC412959	pairwise	alc	0.0744624768032	0.42854714948	0.717344545708
12033	A0A0C4DHM8_DROME	LOC410336	pairfail	cla	0.858712291801	0.76637478396	0.742034661698
12300	FucTB	LOC100577519	pairfail	lac	0.429244349022	0.316911940613	0.675460137934
12737	fliI	LOC412468	pairfail	lac	0.463639906264	0.210760165966	0.547185385567
12794	CG8841	LOC550991	pairwise	lca	0.876080498867	0.522475790844	0.715054390172
13147	NA	LOC409444	pairwise	alc	0.23852741161	0.311033285073	0.73325614703
13571	kek5	LOC411158	pairfail	lac	0.851521046346	0.697261283741	0.868824255356
14327	Dmel\\CG4291	LOC726024	pairwise	lca	0.81640642295	0.362409741172	0.74977500372
14914	AP-1gamma	LOC412884	pairfail	lac	0.112307975815	0.0987423646767	0.420625924802
14918	NA	LOC102653773	pairfail	lca	0.607772381196	0.221492594102	0.574968854222
15124	Rh2	Lop1;OPSD_APIME	pairwise	lca	0.648189737357	0.265199826064	0.582452781084
15610	NA	NA	pairwise	lca	0.71494781772	0.545461556767	0.702875451696
15794	Dmel\\CG9018	LOC412928	pairfail	lac	0.804194414965	0.639445069327	0.857550343702
15797	Dmel\\CG4768	LOC551118	pairfail	lac	0.804784207427	0.733785106982	0.858001107476
16014	CG10064-RA	552238	pairfail	lac	0.416598532232	0.285539755097	0.514632398298
16064	EndoA	LOC408623	pairfail	lac	0.74808142518	0.438305296763	0.871954091531
16111	NA	LOC412780	pairwise	lac	0.542272924269	0.290507505009	0.673352758479
16141	NA	LOC724425	pairwise	alc	0.415548699392	0.417325674186	0.695912647818
16318	NA	LOC100578586	pairwise	lac	0.670393985888	0.274881703647	0.696150741036
17852	NA	LOC724829	pairfail	acl	0.407802393041	0.770471060927	0.662934970363
17955	NA	NA	pairwise	alc	0.341675738752	0.384661932126	0.671735164462
18352	NA	LOC100576349	pairfail	alc	0.635058401869	0.723029110977	0.892183712907
18686	Det	Det	pairwise	alc	0.215672091621	0.286302155814	0.56359812526
18736	FBpp0301178	LOC408964	pairfail	lac	0.609788461273	0.486732056554	0.634993562387
